,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31
AccountsPayableAndAccruedLiabilitiesCurrent,704850.000,798656.000,1056096.000,1043034.000,988657.000,1200768.000,,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,,,,,,1063000.000,1117000.000,1476000.000
AccountsReceivableNet,,,3911.000,45311.000,33462.000,36412.000,,,
AccountsReceivableNetCurrent,5882.000,89093.000,,,,,2991000.000,4966000.000,5283000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,789481.000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1111362.000,-1054260.000,-1012024.000,-1054288.000,-1023752.000,-1185751.000,215000.000,178000.000,55000.000
AdditionalPaidInCapital,,,,,,,13166000.000,,
AdditionalPaidInCapitalCommonStock,5663020.000,5679789.000,5688173.000,5704941.000,5713325.000,5741752.000,,14081000.000,15052000.000
AdvancesOnInventoryPurchases,,,,,,,47547000.000,40439000.000,50429000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,,15000.000,15000.000,15000.000
AllowanceForDoubtfulOtherReceivablesCurrent,,,,,,,173000.000,172000.000,170000.000
Assets,6033286.000,5975900.000,4861044.000,4357523.000,4264942.000,4172593.000,75656000.000,76175000.000,82842000.000
AssetsCurrent,634183.000,661562.000,360756.000,229987.000,146846.000,173189.000,68130000.000,68893000.000,75747000.000
AssetsNoncurrent,5399103.000,5314338.000,4500288.000,4127536.000,4118096.000,3999404.000,7526000.000,7282000.000,7095000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,,,,8811.000,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,74853.000,99894.000,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,,,,,,7184.000,,,
CapitalLeaseObligations,,,,,,,,638000.000,625000.000
CapitalLeaseObligationsCurrent,610057.000,609789.000,610284.000,598818.000,609245.000,598380.000,646000.000,638000.000,625000.000
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassOtherPropertyPlantAndEquipmentNet,,,,,,634332.000,,,
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassPropertyPlantAndEquipmentOtherAccumulatedDepreciation,,,,,,102197.000,,,
CashAndCashEquivalentsAtCarryingValue,51861.000,25708.000,35249.000,27442.000,10057.000,4573.000,14000.000,1605000.000,55000.000
CashEquivalentsAtCarryingValue,,,35249.000,,,,,,
