,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AccountsPayableCurrent,7199000.000,5937000.000,8215000.000,9613000.000,8239000.000,6931000.000,7170000.000,7634000.000,7951000.000,10157000.000
AccountsReceivableGrossCurrent,,,,32361000.000,29134000.000,,32632000.000,,,
AccountsReceivableNetCurrent,33215000.000,27465000.000,23456000.000,31601000.000,28482000.000,31574000.000,32360000.000,30667000.000,31483000.000,28893000.000
AccruedIncomeTaxesCurrent,288000.000,796000.000,26000.000,,386000.000,,19000.000,336000.000,150000.000,1603000.000
AccruedIncomeTaxesNoncurrent,,,,416000.000,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,-55412000.000,57518000.000,58649000.000,57791000.000,58981000.000,59294000.000,59453000.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,,,,-16000.000,-106000.000,143000.000,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,433000.000,215000.000,349000.000,-186000.000,75000.000,-523000.000,-641000.000,-38000.000,-90000.000,-253000.000
AdditionalPaidInCapitalCommonStock,169991000.000,172174000.000,174832000.000,176305000.000,178369000.000,179221000.000,180324000.000,181669000.000,184782000.000,186973000.000
AllowanceForDoubtfulAccountsReceivable,,,,760000.000,652000.000,694000.000,272000.000,299000.000,300000.000,279000.000
AllowanceForDoubtfulAccountsReceivableCurrent,1389000.000,987000.000,908000.000,760000.000,652000.000,694000.000,272000.000,299000.000,300000.000,279000.000
Assets,161238000.000,172283000.000,177609000.000,210021000.000,212119000.000,218326000.000,218220000.000,216176000.000,225332000.000,230542000.000
AssetsCurrent,125619000.000,136895000.000,142480000.000,156640000.000,158521000.000,165169000.000,163633000.000,168219000.000,174132000.000,180686000.000
AssetsNet,,,,,20815000.000,24668000.000,,,,
BillingsInExcessOfCost,,,,,,7807000.000,6481000.000,5177000.000,2855000.000,2832000.000
CashAndCashEquivalentsAtCarryingValue,62936000.000,82184000.000,89300000.000,84053000.000,77347000.000,79901000.000,83056000.000,84484000.000,90441000.000,97056000.000
CommonStockParOrStatedValuePerShare,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100
CommonStockSharesAuthorized,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000
CommonStockSharesIssued,20095156.000,20272508.000,20435327.000,20499861.000,20798084.000,20832269.000,20858158.000,21085662.000,21306223.000,21423168.000
CommonStockSharesOutstanding,17842423.000,18019620.000,18176979.000,18239941.000,18481423.000,18509482.000,18532623.000,18687638.000,18870502.000,18979845.000
CommonStockValue,2010000.000,2027000.000,2044000.000,2050000.000,2080000.000,2083000.000,2086000.000,2109000.000,2131000.000,2142000.000
CostsInExcessOfBillingsOnUncompletedContractsOrProgramsExpectedToBeCollectedAfterOneYear,,,,,,562000.000,,,,
CostsInExcessOfBillingsOnUncompletedContractsOrProgramsExpectedToBeCollectedWithinOneYear,,,,2371000.000,5365000.000,5265000.000,5342000.000,4756000.000,5123000.000,2677000.000
DeferredIncomeTaxLiabilities,,,,-2580000.000,,,828000.000,,,
DeferredTaxAssetsCapitalLossCarryforwards,,,,,,,434000.000,,,
DeferredTaxAssetsGoodwillAndIntangibleAssets,,,,664000.000,,,428000.000,,,
DeferredTaxAssetsGross,,,,23514000.000,,,25348000.000,,,
DeferredTaxAssetsInventory,,,,3117000.000,,,3388000.000,,,
DeferredTaxAssetsLiabilitiesNet,,,,19184000.000,,,21400000.000,,,
DeferredTaxAssetsNetCurrent,55000.000,,,13760000.000,11337000.000,11874000.000,7261000.000,13085000.000,10384000.000,11900000.000
DeferredTaxAssetsNetNoncurrent,,,,8004000.000,13766000.000,13760000.000,14967000.000,6189000.000,9026000.000,8214000.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,14192000.000,,,15328000.000,,,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,,13922000.000,,,16157000.000,,,
DeferredTaxAssetsOperatingLossCarryforwardsForeign,,,,4454000.000,,,2871000.000,,,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,,3270000.000,,,4535000.000,,,
DeferredTaxAssetsTaxCreditCarryforwardsForeign,,,,1247000.000,,,1247000.000,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,,,,3583000.000,,,4434000.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,,1669000.000,,,1251000.000,,,
DeferredTaxAssetsValuationAllowance,,,,-1750000.000,,,3120000.000,,,
DeferredTaxLiabilitiesCurrent,,,,,,,,122000.000,122000.000,122000.000
