,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,88117000.000,,,,91341000.000,,,,92038000.000,,,,93543000.000,,,,87180000.000,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,,,573000.000,579000.000,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,,,30132000.000,30132000.000,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-15060000.000,-15290000.000,-23529000.000,-23775000.000,-23983000.000,-23997000.000,-29559000.000,-29553000.000,-30345000.000,-30328000.000,-8540000.000,-8531000.000,-8364000.000,-8465000.000,-21509000.000,-20794000.000,-20855000.000,-20515000.000,-22257000.000,-21149000.000,-20579000.000,-21277000.000,-26225000.000,-25904000.000
AdditionalPaidInCapitalCommonStock,37724000.000,38074000.000,37838000.000,38101000.000,38260000.000,38493000.000,38707000.000,39580000.000,40210000.000,40481000.000,41152000.000,41220000.000,41628000.000,41637000.000,42569000.000,42941000.000,37625000.000,37738000.000,38256000.000,38671000.000,32855000.000,33152000.000,34188000.000,34859000.000
Assets,2599258000.000,2523972000.000,2641312000.000,2660278000.000,2645850000.000,2493784000.000,2633984000.000,2605313000.000,2561858000.000,2514472000.000,2611903000.000,2633040000.000,2567492000.000,2499617000.000,2627169000.000,2693715000.000,2654144000.000,2615094000.000,2797860000.000,2792186000.000,2767636000.000,2753154000.000,2845197000.000,2895531000.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,,,,,,,,,274557000.000,321944000.000,341024000.000,403217000.000,432135000.000,441985000.000,450883000.000,460514000.000,483010000.000,498458000.000,523412000.000,541275000.000
AvailableForSaleSecurities,304313000.000,306038000.000,307149000.000,284490000.000,280753000.000,288166000.000,296985000.000,307502000.000,350614000.000,271838000.000,251420000.000,229615000.000,275082000.000,322297000.000,341548000.000,404887000.000,433688000.000,444071000.000,451028000.000,462444000.000,485848000.000,500139000.000,522734000.000,541102000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,804000.000,649000.000,,,,,,,2927000.000,1929000.000,898000.000,1009000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,279000.000,296000.000,,,,,,,89000.000,248000.000,1576000.000,1182000.000
AvailableForSaleSecuritiesAmortizedCost,,,,,,287207000.000,296059000.000,306569000.000,351096000.000,271652000.000,251147000.000,229347000.000,274557000.000,321944000.000,341024000.000,403217000.000,432135000.000,441985000.000,450883000.000,460514000.000,483010000.000,498458000.000,523412000.000,541275000.000
AvailableForSaleSecuritiesAndHeldToMaturitySecurities,,,,,,,,,,211100000.000,,252400000.000,243900000.000,225500000.000,505129000.000,588376000.000,635617000.000,638911000.000,638435000.000,650093000.000,691443000.000,690968000.000,699480000.000,698987000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss,,,,,,,,,,,,,,,,,,,,,34000.000,51000.000,35000.000,17000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAccumulatedLoss,,,,,,,,,,,,,,,,,,,,,89000.000,248000.000,1576000.000,1182000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,,,,,,40632000.000,50729000.000,47048000.000,120063000.000,78120000.000,75322000.000,59056000.000,54695000.000,143071000.000,89468000.000,71445000.000,70631000.000,36612000.000,247887000.000,46043000.000,37712000.000,76045000.000,253741000.000,239611000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss,,,,,,,,,,,,,,,,,,,,,55000.000,197000.000,1541000.000,1165000.000
