,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31
AccountsPayableAndAccruedLiabilitiesCurrent,2050000.000,1999000.000,1928000.000,1972000.000,2010000.000,2062000.000
AccountsPayableTradeCurrent,,,,1362000.000,1359000.000,1385000.000
AccountsReceivableNetCurrent,2000.000,8000.000,1000.000,20000.000,1000.000,4000.000
AccruedProfessionalFeesCurrent,,,,72000.000,94000.000,112000.000
AccruedRoyaltiesCurrent,,,,229000.000,236000.000,243000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,368000.000,375000.000,383000.000,389000.000,395000.000,397000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1000.000,-1000.000,,,,-1000.000
AdditionalPaidInCapital,159747000.000,159747000.000,159747000.000,159747000.000,159747000.000,159755000.000
Assets,2096000.000,1962000.000,1952000.000,1876000.000,1816000.000,1766000.000
AssetsCurrent,323000.000,227000.000,261000.000,230000.000,211000.000,199000.000
AuctionMarketPreferredSecuritiesStockSeriesLiquidationValue,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000
CashAndCashEquivalentsAtCarryingValue,73000.000,10000.000,63000.000,8000.000,5000.000,15000.000
CommonStockCapitalSharesReservedForFutureIssuance,,,,,,91093638.000
CommonStockParOrStatedValuePerShare,0.030,0.030,0.030,0.030,0.030,0.030
CommonStockSharesAuthorized,800000000.000,800000000.000,800000000.000,800000000.000,800000000.000,800000000.000
CommonStockSharesIssued,547826416.000,547826416.000,700168157.000,700168157.000,700168157.000,700168157.000
CommonStockSharesOutstanding,547826416.000,547826416.000,700168157.000,700168157.000,700168157.000,700168157.000
CommonStockValue,15249000.000,15249000.000,16163000.000,16163000.000,16163000.000,16163000.000
ConvertibleDebtCurrent,60000.000,60000.000,60000.000,60000.000,60000.000,60000.000
DeferredTaxAssetsGross,,,,,,31875000.000
DeferredTaxAssetsNet,,,,,,0.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,28799000.000
DeferredTaxAssetsOther,,,,,,1927000.000
DeferredTaxAssetsTaxCreditCarryforwardsResearch,,,,,,1149000.000
DeferredTaxAssetsValuationAllowance,,,,,,31875000.000
EmployeeRelatedLiabilitiesCurrent,,,,45000.000,38000.000,41000.000
