,2011-06-30,2012-06-30,2013-06-30,2014-06-30
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,,,,3272000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,11070000.000,13290000.000,17112000.000,16419000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,1644000.000
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,170225000.000,1504891000.000,459283000.000,734563000.000
AdvertisingExpense,,,,255900000.000
AllowanceForDoubtfulAccountsReceivableChargeOffs,,-113001000.000,-213884000.000,
AllowanceForDoubtfulAccountsReceivableWriteOffs,,,,156354000.000
AmortizationOfFinancingCosts,6512000.000,1071000.000,8460000.000,14160000.000
AmortizationOfIntangibleAssets,8085000.000,7640000.000,6841000.000,6343000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,9200000.000,,
AssetImpairmentCharges,,,1200000.000,568216000.000
CapitalExpendituresIncurredButNotYetPaid,14360000.000,13201000.000,9022000.000,13780000.000
CapitalizedComputerSoftwareAmortization,,,,18300000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,29678000.000,-212216000.000,-60313000.000,139872000.000
ComprehensiveIncomeNetOfTax,239574000.000,-1521588000.000,-263580000.000,-658488000.000
CostOfGoodsAndServicesSold,1480776000.000,1504378000.000,1447097000.000,1373699000.000
CostsAndExpenses,,4170647000.000,2624642000.000,2761983000.000
CurrentFederalTaxExpenseBenefit,,104730000.000,32441000.000,7472000.000
CurrentIncomeTaxExpenseBenefit,,118757000.000,30878000.000,10363000.000
CurrentStateAndLocalTaxExpenseBenefit,,14027000.000,-1563000.000,2891000.000
DeferredIncomeTaxExpenseBenefit,24047000.000,-132500000.000,-18840000.000,36274000.000
DefinedContributionPlanCostRecognized,,28500000.000,27100000.000,26000000.000
DefinedContributionPlanEmployerMatchingContributionPercent,,0.060,0.060,
DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,,,,0.060
DepreciationAndAmortization,146480000.000,158663000.000,164712000.000,152501000.000
DerivativeInstrumentsGainLossReclassificationFromAccumulatedOCIToIncomeEstimatedNetAmountToBeTransferred,,7100000.000,7800000.000,7000000.000
EarningsPerShareBasic,1.670,-11.970,-2.150,-5.290
EarningsPerShareDiluted,1.660,-11.970,-2.150,-5.290
EffectOfExchangeRateOnCashAndCashEquivalents,316000.000,-405000.000,-171000.000,-74000.000
EffectiveIncomeTaxRateContinuingOperations,,-0.009,12038.000,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,-0.350,-89579.000,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,0.002,151.000,
EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,,0.001,2913.000,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseImpairmentLosses,,0.344,103061.000,
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,-0.001,-14.000,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,-0.005,-196.000,
EffectiveIncomeTaxRateReconciliationTaxContingenciesOther,,0.000,-490.000,
EffectiveIncomeTaxRateReconciliationTaxSettlementsStateAndLocal,,,-3808.000,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,449000.000,,,3417000.000
FairValueInputsDiscountRate,,0.145,,
GainLossOnContractTermination,,-2500000.000,,
GainLossOnSaleOfPropertyPlantEquipment,,,3500000.000,3491000.000
GainLossRelatedToLitigationSettlement,,,,7859000.000
GainsLossesOnExtinguishmentOfDebt,-11368000.000,-9474000.000,-5232000.000,
GeneralAndAdministrativeExpense,759099000.000,760841000.000,689143000.000,667567000.000
GoodwillImpairmentLoss,,1618449000.000,294460000.000,433747000.000
GoodwillPeriodIncreaseDecrease,,1750000000.000,,
ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,,128300000.000,,
ImpairmentOfLeasehold,,,,6100000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,-1531052000.000,-256739000.000,-619243000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,,1568000.000,801000.000,1963000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,369212000.000,-1529484000.000,-255938000.000,-617280000.000
IncomeTaxExpenseBenefit,139704000.000,-13743000.000,12038000.000,46637000.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,127738000.000
IncomeTaxReconciliationChangeInEnactedTaxRate,,,,1880000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,,,-216048000.000
