,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,1057743.000,1094084.000,1177868.000,1250075.000,1190204.000,,,,,,,,,,,,,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,1308113.000,,,,522980.000,,,,,,,
AccountsPayableCurrent,,,,,,919477.000,878201.000,951562.000,845022.000,712670.000,602556.000,344451.000,428827.000,248821.000,273058.000,225001.000,349415.000,244069.000,500653.000
AccountsPayableCurrentAndNoncurrent,,,,,,,,822006.000,,,,344451.000,,,,,,,
AccountsPayableRelatedPartiesCurrent,,,,,,80923.000,9568.000,278568.000,133568.000,122127.000,82267.000,82267.000,74001.000,84158.000,0.000,28561.000,27864.000,47066.000,47930.000
AccountsReceivableNetCurrent,,,,,,,,,,,43225.000,,1000.000,8015.000,8965.000,,15995.000,17198.000,118300.000
AccruedLiabilitiesAndOtherLiabilities,,,,,,,,129556.000,,,,,,,,,,,
AccruedLiabilitiesCurrent,,,,,,57630.000,65260.000,74483.000,91253.000,96766.000,111460.000,93762.000,74902.000,63081.000,79101.000,77335.000,69411.000,105047.000,150132.000
AccumulatedAmortizationOfOtherDeferredCosts,,,,,,,,-123508.000,,,,132830.000,,,,144517.000,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,-357982.000,,,,416074.000,,,,488007.000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,,,,-600000.000,-1770000.000,18000.000,33600.000,57000.000,18000.000,33000.000
AdditionalPaidInCapital,32775187.000,33141170.000,34365966.000,34722781.000,35144199.000,38582231.000,39520634.000,40557726.000,42700519.000,46049020.000,46872263.000,46314765.000,55344764.000,56700563.000,57737305.000,58997912.000,60025286.000,62070833.000,62911907.000
Assets,2771083.000,2350035.000,704596.000,746301.000,768668.000,546099.000,465659.000,385802.000,818655.000,1013249.000,859262.000,6817980.000,6068969.000,3833354.000,2736546.000,1993456.000,2048815.000,1907177.000,2072973.000
AssetsCurrent,625762.000,336815.000,54831.000,80864.000,53891.000,99588.000,44149.000,101775.000,333576.000,621302.000,476895.000,5509460.000,4360736.000,3584309.000,2496094.000,1548133.000,1569975.000,1424173.000,1610344.000
AvailableForSaleSecurities,,,,,,,,,,,,,1200000.000,30000.000,48000.000,63600.000,87000.000,0.000,63000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainLossBeforeTax,,,,,,,,,,,,,,,,63600.000,,,
AvailableForSaleSecuritiesCurrent,,,,,,,,,,,,,,,48000.000,,87000.000,48000.000,63000.000
BankOverdrafts,,,52904.000,,10737.000,,,,,,,,,,,,,,
CapitalLeaseObligationsCurrent,,,,16042.000,,,,,,,,,,,,,,,
CapitalLeaseObligationsNoncurrent,,,,53958.000,,,,,,,,,,,,,,,
CapitalizedComputerSoftwareGross,,,,,,,,56166.000,,,,56232.000,,,,56232.000,,,
Cash,337810.000,125205.000,,7352.000,0.000,76782.000,24328.000,77876.000,323680.000,580412.000,402477.000,2185702.000,1031179.000,853675.000,547134.000,394325.000,971712.000,224120.000,169454.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000
CommonStockSharesIssued,33570779.000,34535557.000,38620207.000,39834598.000,41923246.000,61215239.000,64300449.000,70296203.000,79447357.000,85571925.000,88542654.000,95280257.000,97311664.000,99554270.000,101082637.000,102133344.000,103892588.000,108854548.000,113531151.000
CommonStockSharesOutstanding,33570779.000,34535557.000,38620207.000,39834598.000,41923246.000,61215239.000,64300449.000,70296203.000,79447357.000,85571925.000,88542654.000,95280257.000,97311664.000,99554270.000,101082637.000,95280257.000,103892588.000,108854548.000,113531151.000
CommonStockSharesSubscriptions,,,,,,,,,,,,35000.000,,,,0.000,,,
CommonStockValue,33571.000,34536.000,38621.000,39834.000,41922.000,61217.000,64302.000,70297.000,79450.000,85577.000,88550.000,95287.000,97318.000,99559.000,101090.000,102140.000,103901.000,108861.000,113537.000
ConvertibleDebtNoncurrent,888348.000,1309034.000,930343.000,1394071.000,696133.000,,,,,,,,,,,,,,
ConvertibleLongTermNotesPayable,,,,,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,
ConvertibleNotesPayable,,,,,,434114.000,586568.000,764705.000,634805.000,837743.000,827748.000,692748.000,,724527.000,,1029718.000,,,
ConvertibleNotesPayableCurrent,218397.000,223491.000,296716.000,314082.000,395846.000,434114.000,586567.000,764705.000,634805.000,837743.000,827748.000,572400.000,362000.000,724527.000,1003896.000,1029718.000,2111411.000,2131269.000,2052335.000
DebtInstrumentUnamortizedDiscountPremiumNet,6603.000,1509.000,13284.000,35918.000,49154.000,,,161043.000,272943.000,35005.000,35005.000,0.000,0.000,77473.000,58104.000,22282.000,47413.000,6495.000,546429.000
DeferredRevenue,,,,,,,,3500.000,,,,2500.000,,,,,,,
