,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31
AccountsPayableTradeCurrent,772405.000,686244.000,908840.000,883319.000,927579.000,943964.000,773275.000,798321.000,712986.000,725775.000,714884.000,697010.000,781732.000,780105.000,805484.000
AccountsReceivableBilledForLongTermContractsOrPrograms,,,,40398.000,49178.000,32193.000,,,,,,,,,
AccountsReceivableGross,,16000.000,31116.000,,,,,,,,,,,,
AccountsReceivableNetCurrent,,,,,,,64800.000,0.000,,6000.000,,,,16330.000,15086.000
AccruedProfessionalFeesCurrent,,,,,,,1927029.000,,,,1295310.000,,,,1036393.000
AccruedRentCurrent,,,,,,,54875.000,,,,,,,,
AccruedRentCurrentAndNoncurrent,,,,,12900.000,12900.000,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,9090.000,,,,12149.000,,,,
AdditionalPaidInCapitalCommonStock,15543444.000,15543444.000,19143444.000,19149425.000,19149425.000,19189399.000,19189382.000,19193378.000,19174588.000,20566885.000,20856120.000,20856120.000,20860110.000,20864100.000,20864100.000
Assets,1920146.000,1817487.000,1478212.000,1404051.000,1410553.000,1341523.000,813433.000,657249.000,358813.000,448300.000,356936.000,39519.000,17761.000,27920.000,28442.000
AssetsCurrent,362116.000,237702.000,271130.000,220504.000,250250.000,201024.000,226497.000,79687.000,24645.000,440057.000,101048.000,32297.000,11557.000,22736.000,28442.000
AssetsNoncurrent,,,,,,,,,,,255888.000,7222.000,6204.000,5184.000,
BorrowedFunds,,,,,,,,12500.000,,,310000.000,,,,
Cash,28476.000,52461.000,55296.000,9119.000,44108.000,13996.000,49147.000,0.000,5365.000,104153.000,15102.000,5815.000,406.000,406.000,3356.000
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,,,,,,,23711052.000,,,,,,,,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,50000.000,50000.000,0.000,,,,,,,,,,,,
CommonStockSharesAuthorized,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000
CommonStockSharesIssued,443977432.000,443977432.000,443977432.000,444164932.000,444164932.000,44416493.000,44585243.000,44625243.000,63415417.000,64015417.000,65418448.000,65418448.000,65518448.000,65618448.000,65618448.000
CommonStockSharesOutstanding,443977432.000,443977432.000,443977432.000,444164932.000,444164932.000,44416493.000,44585243.000,44625243.000,63415417.000,64015417.000,65418448.000,65418448.000,65518448.000,65618448.000,65618448.000
CommonStockValue,44397.000,44397.000,44397.000,44416.000,44416.000,4442.000,4459.000,4463.000,23253.000,23313.000,6542.000,6542.000,6552.000,6562.000,6562.000
DebtAndCapitalLeaseObligations,,,,,,,,,,,,,86729.000,155430.000,
DebtInstrumentConvertibleConversionPrice1,,,,,,,,,,,0.200,,,,0.200
DebtInstrumentFaceAmount,,,,,,,,,,,,,,,286530.000
DebtInstrumentInterestRateStatedPercentage,,,,,0.070,0.070,0.080,,,,0.165,,,,
DebtInstrumentUnamortizedDiscount,,,,,,,,,,,,24522.000,,,
DeferredCosts,837477.000,874149.000,646051.000,629095.000,617430.000,609207.000,575635.000,567280.000,324906.000,,247646.000,,,,
DeferredCostsCurrent,138686.000,7937.000,46367.000,46659.000,46659.000,33431.000,33431.000,33431.000,,255056.000,33431.000,,,,
DeferredCostsCurrentAndNoncurrent,,,,,,,609000.000,,,,281000.000,,,,0.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,3686190.000,,,,3659271.000,,,,3839107.000
DerivativeFairValueOfDerivativeLiabilityAmountNotOffsetAgainstCollateral,,,,,,,,,1659677.000,584.403,1332360.000,,,,
DerivativeLiabilities,,,,,,,,,,,,324261.000,275367.000,267467.000,99187.000
DerivativeLiabilitiesCurrent,,,,,,,474203.000,2133940.000,1659677.000,584403.000,163299.000,324261.000,275367.000,267467.000,99187.000
DueToRelatedPartiesCurrent,,,,,,,27500.000,37500.000,27500.000,27500.000,28500.000,28500.000,28500.000,28500.000,65758.000
EmployeeRelatedLiabilitiesCurrent,,,,,,,955179.000,,,,1009267.000,,,,1009267.000
FiniteLivedLicenseAgreementsGross,641920.000,631360.000,538560.000,528000.000,517440.000,506880.000,0.000,,,,,,,,
IntangibleAssetsCurrent,,,,,,,0.000,,,,,,,,
InterestPayableCurrent,,,,,745.000,1559.000,102937.000,,,,174807.000,,,,267516.000
Liabilities,2000191.000,2667214.000,3666693.000,,,,,,,,4527010.000,4567044.000,4699524.000,4742519.000,4722562.000
LiabilitiesAndStockholdersEquity,1920146.000,1817487.000,1478212.000,1404051.000,1410553.000,1341523.000,813433.000,657249.000,358813.000,448300.000,356936.000,39519.000,17761.000,27920.000,28442.000
LiabilitiesCurrent,1963847.000,2633857.000,3666693.000,4121767.000,4594239.000,4831733.000,5117436.000,7195285.000,6522402.000,4215100.000,4407010.000,4397044.000,4529524.000,4572519.000,4722562.000
LinesOfCreditCurrent,500000.000,,0.000,,,,,,,,,,,,
LongTermDebt,,,,,,,,,,,120000.000,170000.000,170000.000,170000.000,
LongTermNotesPayable,36344.000,33357.000,,,,,,,,,,170000.000,170000.000,170000.000,
NotesPayableCurrent,11531.000,11622.000,0.000,,39500.000,57500.000,59746.000,50000.000,,84226.000,41786.000,16710.000,53353.000,4110.000,50000.000
NotesPayableRelatedPartiesClassifiedCurrent,108000.000,239400.000,239400.000,500000.000,500000.000,500000.000,739400.000,1051900.000,781622.000,759592.000,979157.000,826657.000,864146.000,932087.000,956530.000
NotesPayableRelatedPartiesCurrentAndNoncurrent,,,,,,,,1089400.000,,,979157.000,871867.000,892646.000,960587.000,956530.000
OperatingLossCarryforwards,,,,,,,10531971.000,,,,10455061.000,,,,10969000.000
OtherAccruedLiabilitiesCurrent,571911.000,1196591.000,2018453.000,2499048.000,2887760.000,3090869.000,3043312.000,3123624.000,3340617.000,2033604.000,2479384.000,2503906.000,2526426.000,2560250.000,2625603.000
OtherAssetsCurrent,132430.000,135930.000,52540.000,52540.000,52540.000,52540.000,6000.000,8500.000,6000.000,,6000.000,6000.000,6000.000,6000.000,
OtherAssetsNoncurrent,9612.000,10092.000,7092.000,12092.000,12092.000,12091.000,0.000,,,,,,,,
PreferredStockParOrStatedValuePerShare,,,,,,,,,,,0.000,,,,
PreferredStockSharesAuthorized,,,,,,,,,,,50000.000,,,,
PreferredStockSharesIssued,,,,,,,,,,,1200.000,,,,
PreferredStockSharesOutstanding,,,,,,,,,,,1200.000,,,,
PrepaidExpenseCurrent,52033.000,25374.000,85811.000,71788.000,57765.000,68864.000,73119.000,37756.000,13280.000,74848.000,46515.000,20482.000,5151.000,,10000.000
ProductWarrantyAccrualClassifiedCurrent,,,,,,,,,,,,,,,312427.000
PropertyPlantAndEquipmentGross,,,,,,,20391.000,,,,20391.000,,,,
PropertyPlantAndEquipmentNet,69021.000,64184.000,15379.000,14360.000,13341.000,12321.000,11301.000,10282.000,9262.000,8243.000,8242.000,7222.000,6204.000,5184.000,
ReceivableWithImputedInterestDiscount,,,,,,,310000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
ReceivablesLongTermContractsOrPrograms,10491.000,,,,,,,,,,,,,,
RetainedEarningsAccumulatedDeficit,-15617886.000,-16387568.000,-21376322.000,-21911557.000,-22377527.000,-22684050.000,-23497844.000,-25735877.000,-25361430.000,-24356998.000,-25032736.000,-25390187.000,-25548425.000,-25585261.000,-25564782.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,,,,,,,31545948.000,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,,,78348958.000,7834895.000,,7834896.000,7834896.000,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,,,0.140,0.140,,1.400,1.400,,,,,,
SharesIssuedPricePerShare,,,,,,,,,,,,,,,0.040
StockholdersEquity,-80045.000,-849727.000,-2188481.000,-2717716.000,-3183686.000,-3490210.000,-4304003.000,-6538036.000,-6163589.000,-3766800.000,-4170074.000,-4527525.000,-4681763.000,-4714599.000,-4694120.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-80045.000,-849727.000,-2188481.000,,,,,,,,-4170074.000,-4527525.000,-4681763.000,-4714599.000,-4694120.000
