,2012-01-31,2012-07-31,2012-10-31,2013-01-31,2013-07-31,2013-10-31,2014-07-31,2014-10-31,2015-01-31,2015-07-31,2015-10-31,2016-01-31,2016-07-31,2016-10-31
CashPeriodIncreaseDecrease,,,,,,,,,,,,,0.000,0.000
ExchangeFees,,4675.000,,,,,,,,,,,,
GainsLossesOnSalesOfAssets,,,34557.000,,,,,,,,,,,
GeneralAndAdministrativeExpense,3794.000,6675.000,7465.000,5000.000,,1267.000,,1400.000,2883.000,,1870.000,450.000,0.000,275.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,0.000,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-6675.000,,,,-1267.000,,,,-3169.000,,,,-275.000
InvestmentBankingAdvisoryBrokerageAndUnderwritingFeesAndCommissions,,,,,,,,,,,0.000,0.000,0.000,0.000
LegalFees,,,,,,,,,,,,450.000,0.000,0.000
NetCashProvidedByUsedInFinancingActivities,,,,,,,,,,-423657.000,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,,,,,-423657.000,,,,
NetIncomeLoss,-3794.000,-6675.000,42022.000,5000.000,,-1267.000,,-1400.000,2883.000,,-1870.000,-450.000,-450.000,-275.000
NoninterestExpenseDistributionAndServicingFees,,,,,,,,,,,340.000,,0.000,0.000
OperatingIncomeLoss,,-6675.000,,,,-1267.000,,,,420488.000,,,,-275.000
OtherIncome,,,,,,,,,,,0.000,0.000,0.000,0.000
ProfessionalFees,3794.000,2000.000,7465.000,5000.000,,1267.000,,1400.000,2883.000,,1530.000,,0.000,275.000
WeightedAverageNumberOfDilutedSharesOutstanding,-0.000,-0.000,101305000.000,0.000,-0.000,-0.000,,,,,,,,
WeightedAverageNumberOfSharesOutstandingBasic,101305000.000,101305000.000,,101305000.000,101305000.000,101305000.000,101305000.000,101305000.000,101305000.000,,101305000.000,101305000.000,101305000.000,101305000.000
