,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30
AccountsPayableAndAccruedLiabilitiesCurrent,1464564.000,1471302.000,125784.000,148940.000,170301.000,110895.000,206996.000,237950.000,252652.000,268009.000,276676.000,285506.000,108639.000,111491.000,112637.000,115825.000,117472.000,121163.000
AccountsPayableAndOtherAccruedLiabilities,,,,,,0.000,0.000,,,,,,,,,,,
AccountsPayableCurrent,,,110856.000,127062.000,161531.000,102125.000,164957.000,,,,233585.000,,,,67494.000,,,
AccountsPayableTradeCurrent,,,,,,,,,,,,,,,,490000.000,490000.000,490000.000
AccruedSalariesCurrentAndNoncurrent,,,,,,,,,,,,,,,69127.000,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,107491.000,109265.000,-111039.000,112759.000,126941.000,,,,-128230.000,,,,131455.000,,,
AdditionalPaidInCapital,4434118.000,4542868.000,5828209.000,5828209.000,6741479.000,6741479.000,7368677.000,7368677.000,7368677.000,7368677.000,7368677.000,7368677.000,8178272.000,8256343.000,8256341.000,8256341.000,8256341.000,8347541.000
AggregateIndebtedness,,,,,,,,,,,,214682.000,32530.000,,,,,
Assets,55754.000,52859.000,23964.000,22190.000,20416.000,18696.000,4514.000,4192.000,3869.000,3547.000,3225.000,2902.000,2580.000,3007.000,10000.000,13000.000,13000.000,13000.000
AssetsCurrent,813.000,325.000,,,,,,,3869.000,3547.000,,,,750.000,10000.000,10000.000,10000.000,10000.000
Cash,,,,,,,,,,,,,,,,,0.000,
CashAndCashEquivalentsAtCarryingValue,,,0.000,,,,,,,,,,,,,,,
CommitmentsAndContingencies,0.000,0.000,0.000,,,,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,250000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
CommonStockSharesIssued,21157316.000,24907316.000,99907316.000,99907316.000,9838163.000,9838163.000,9838721.000,9828731.000,9838721.000,9838721.000,9838721.000,9838721.000,97588721.000,19517764.000,19519935.000,19519935.000,19519935.000,24319935.000
CommonStockSharesOutstanding,21157316.000,24907316.000,99907316.000,,9838163.000,1998163.000,9838721.000,9828731.000,9838721.000,9838721.000,9838721.000,9838721.000,97588721.000,19517764.000,19519935.000,19519935.000,19519935.000,24319935.000
CommonStockValue,21157.000,24907.000,99907.000,99907.000,9838.000,9838.000,9839.000,9839.000,9839.000,9839.000,9839.000,9839.000,97589.000,19518.000,19520.000,19520.000,19520.000,24320.000
CommonStockValueOutstanding,,,,-1008952.000,,,,,,,,,,,,,,
ConvertibleDebt,,,,,,,,,,,,,,29767.000,,29767.000,29767.000,29767.000
ConvertibleNotesPayable,,,,,,,,,,,,,29767.000,29767.000,29767.000,29767.000,29767.000,29767.000
ConvertibleNotesPayableCurrent,,,,,,,,,,,,,,,,29767.000,29767.000,29767.000
CumulativeEarningsDeficit,,,,,,,,,,,-664958.000,-673788.000,,,,,,
DeferredIncomeTaxesAndOtherAssetsCurrent,,,,,,1900000000.000,2000000.000,,,,,,,,,,,
DeferredRevenueCurrent,,,,,214682.000,284094.000,214682.000,214682.000,214682.000,214682.000,214682.000,214682.000,,,,,,
DeferredTaxAssetsGross,,,,,,,,,,,,,,,2900000.000,,,
DeferredTaxAssetsNet,,,1800000.000,,1900000.000,,,,,,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,6800000000.000,7100000.000,,,,8000000.000,,,,8500000.000,,,
DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration,,,,,6800000.000,,,,,,,,,,,,,
DeferredTaxAssetsValuationAllowance,,,,1800000.000,,,,,,,2800000.000,,,,2900000.000,,,
DeferredTaxAssetsValuationAllowanceCurrent,,,,,,,,,,,,,,,2900000.000,,,
DepositAssets,,,,,,,,,,,,,,,10000.000,,,
DepositContractsAssets,,,,,,,,,,,,,,,,10000.000,,
DepositsAssetsCurrent,,,,,,,,,,,,,,,10000.000,10000.000,10000.000,10000.000
DevelopmentInProcess,,,,,,,,,,,,,,,,3000.000,3000.000,3000.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,2226944.000,2253403.000,2307515.000,-2332445.000,2684861.000,2696587.000,3364657.000,3395933.000,3410958.000,3426637.000,,,,,,,,
DueToRelatedPartiesCurrent,173600.000,173600.000,173600.000,173600.000,173600.000,173600.000,173600.000,,173600.000,,173600.000,,32550.000,17483.000,,83608.000,100563.000,41278.000
DueToRelatedPartiesNoncurrent,,,,,,,,,,,,,,32030.000,,,,
EmployeeRelatedLiabilitiesCurrent,,,7520.000,7520.000,7520.000,7520.000,41039.000,,,,43091.000,,,,,,,
FairValueNetAssetLiability,,,,,,,,,,,,,,,-200516.000,219200.000,237802.000,182208.000
InvestmentRelatedLiabilities,,,,,,,,,,,1500000.000,,,,,,,
Liabilities,,,,,,,,,,,664958.000,673788.000,170956.000,,,,,
LiabilitiesAndStockholdersEquity,55754.000,52859.000,23964.000,22190.000,20416.000,18696.000,4514.000,4192.000,3869.000,3547.000,3225.000,2902.000,2580.000,3007.000,10000.000,13000.000,13000.000,13000.000
LiabilitiesCurrent,2432046.000,2343110.000,1007986.000,1031142.000,558583.000,568589.000,595278.000,626232.000,640934.000,656291.000,,,,190771.000,210516.000,229200.000,247802.000,192208.000
MachineryAndEquipmentGross,,,,131455.000,131455.000,131455.000,131455.000,,,,,,,,,,,
NotesAndLoansPayable,,,,,,,,,,173600.000,,,,,,,,
NotesAndLoansPayableCurrent,,,,,,,,,,173600.000,,173600.000,,,,,,
NotesPayable,,,,,,,,173600.000,,,,,,,68112.000,,,
OperatingLossCarryforwards,,,6700000.000,,,,,,,,,,,,,,,
OperatingLossCarryforwardsValuationAllowance,,,,,,,,,,,,,,,2900000.000,,,
OtherAccruedLiabilitiesCurrent,,,7408.000,,,,,,,,,,,,,,,
OtherAdditionalCapital,,,,,,,,,641000.000,,,,,,,,,
OtherAssetsCurrent,813.000,325.000,,,,,,,,,,,,,,,,
OtherLiabilities,793882.000,698208.000,708602.000,708602.000,,,,,,,,,,,,,,
OtherLiabilitiesCurrent,,,,14358.000,1250.000,1250.000,1000.000,,,,,,,,,,,
