,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccountsPayableCurrent,18931000.000,17858000.000,21943000.000,16805000.000,16169000.000,17842000.000,17296000.000,13509000.000,18717000.000,12900000.000,16894000.000,25610000.000,14251000.000,14133000.000,18947000.000
AccountsReceivableFairValueDisclosure,,,,,206400000.000,,,,175600000.000,,,,169300000.000,,
AccountsReceivableGrossNoncurrent,206887000.000,204397000.000,200028000.000,216735000.000,205869000.000,206004000.000,199574000.000,190613000.000,174891000.000,181343000.000,191208000.000,181636000.000,168875000.000,165010000.000,161130000.000
AccountsReceivableNetCurrent,474479000.000,419978000.000,433506000.000,470724000.000,455427000.000,359610000.000,365143000.000,449964000.000,424587000.000,354404000.000,381892000.000,466669000.000,385232000.000,288031000.000,313944000.000
AccruedIncomeTaxesCurrent,12286000.000,12264000.000,22670000.000,19073000.000,3919000.000,3168000.000,5490000.000,14883000.000,14507000.000,24729000.000,18266000.000,8737000.000,33093000.000,16249000.000,14998000.000
AccruedLiabilitiesCurrent,69286000.000,81565000.000,92937000.000,107512000.000,69844000.000,82844000.000,82389000.000,98171000.000,74343000.000,92002000.000,92969000.000,113061000.000,76284000.000,75448000.000,79451000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,-210432000.000,,,,226159000.000,,,,226280000.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-741000.000,-1567000.000,-19894000.000,-18697000.000,-10550000.000,-19378000.000,-16466000.000,-12607000.000,-18784000.000,-15304000.000,-7539000.000,-4213000.000,-6915000.000,-7648000.000,-21635000.000
AcquiredFiniteLivedIntangibleAssetAmount,,,42000000.000,42000000.000,,,,,,,,,,,
AdditionalPaidInCapitalCommonStock,654109000.000,666533000.000,674318000.000,681359000.000,685904000.000,691485000.000,693556000.000,692133000.000,713580000.000,731622000.000,799647000.000,812342000.000,828264000.000,837773000.000,847172000.000
Assets,2038377000.000,2003531000.000,2111944000.000,2170810000.000,2167538000.000,2037853000.000,2015078000.000,2084924000.000,1973282000.000,1897536000.000,1970480000.000,2037108000.000,1997109000.000,1866088000.000,1849871000.000
AssetsCurrent,742740000.000,697905000.000,577442000.000,637302000.000,641358000.000,528860000.000,509886000.000,589587000.000,593239000.000,519202000.000,581542000.000,661577000.000,752554000.000,632463000.000,641611000.000
AssetsNoncurrent,879470000.000,,,,1085216000.000,,,,960888000.000,,,,858780000.000,,
BusinessAcquisitionCostOfAcquiredEntityCashPaid,,,255800000.000,255800000.000,,,,,,,,,,,
BusinessAcquisitionCostOfAcquiredEntityTransactionCosts,,,300000.000,300000.000,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationGoodwillAmount,,,210900000.000,210900000.000,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,180244000.000,194866000.000,63866000.000,82201000.000,99180000.000,83507000.000,63516000.000,64884000.000,89873000.000,81329000.000,50372000.000,108897000.000,300059000.000,275514000.000,255270000.000
CommonStockParOrStatedValuePerShare,0.010,,,,0.010,,,,0.010,,,,0.010,,
CommonStockSharesAuthorized,1600000000.000,,,,1600000000.000,,,,1600000000.000,,,,1600000000.000,,
CommonStockSharesIssued,217720539.000,,,,217506319.000,,,,213218048.000,,,,219340085.000,,
CommonStockSharesOutstanding,217720539.000,,,,217506319.000,,,,213218048.000,,,,219340085.000,,
CommonStockValue,2177000.000,2185000.000,2184000.000,2188000.000,2175000.000,2166000.000,2148000.000,2121000.000,2132000.000,2141000.000,2157000.000,2178000.000,2193000.000,2200000.000,2208000.000
ContractReceivableDueFiveYearsOrMore,,,,,1500000.000,,,,471000.000,,,,333000.000,,
ContractReceivableDueFourToFiveYears,,,,,3100000.000,,,,1500000.000,,,,3400000.000,,
ContractReceivableDueOneToTwoYears,,,,,120700000.000,,,,112600000.000,,,,110500000.000,,
ContractReceivableDueThreeToFourYears,,,,,23700000.000,,,,15900000.000,,,,13700000.000,,
ContractReceivableDueTwoToThreeYears,,,,,56900000.000,,,,44400000.000,,,,41000000.000,,
ContractualObligation,,,,,,,,,267194000.000,,,,249083000.000,,
ContractualObligationDueAfterFifthYear,,,,,,,,,189342000.000,,,,195147000.000,,
ContractualObligationDueInFifthYear,,,,,,,,,4377000.000,,,,7067000.000,,
ContractualObligationDueInFourthYear,,,,,,,,,23948000.000,,,,8401000.000,,
ContractualObligationDueInNextTwelveMonths,,,,,,,,,24088000.000,,,,17606000.000,,
ContractualObligationDueInSecondYear,,,,,,,,,16043000.000,,,,11142000.000,,
ContractualObligationDueInThirdYear,,,,,,,,,9396000.000,,,,9720000.000,,
DebtInstrumentBasisSpreadOnVariableRate,,,,,,,,,,,,,0.010,,
DebtWeightedAverageInterestRate,,,0.018,0.018,0.017,0.028,0.022,0.019,0.018,0.022,0.018,,,,
DeferredRevenueCurrent,462376000.000,446309000.000,421897000.000,435219000.000,447050000.000,406476000.000,399103000.000,413446000.000,417862000.000,386105000.000,387878000.000,408505000.000,382558000.000,354683000.000,347092000.000
