,2013-06-27,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndOtherAccruedLiabilitiesCurrent,,15960000.000,17796000.000,14990000.000,19315000.000,15284000.000,,,,,,,,,,
AccountsPayableCurrent,,1517000.000,3232000.000,7380000.000,6003000.000,12531000.000,14084000.000,5019000.000,12625000.000,9173000.000,10279000.000,13281000.000,4535000.000,8993000.000,14546000.000,9487000.000
AccountsReceivableNetCurrent,,227000.000,309000.000,6664000.000,182000.000,73000.000,57000.000,12000.000,,,1000000.000,7500000.000,,5000000.000,,
AccruedLiabilitiesAndOtherLiabilities,,15960000.000,17796000.000,14990000.000,,,,,24492000.000,,,,,,,
AccruedProfessionalFeesCurrent,,323000.000,462000.000,482000.000,413000.000,586000.000,354000.000,646000.000,419000.000,,506000.000,,,,369000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,6159000.000,,,,7701000.000,,,,8985000.000,,,,10909000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,64000.000,55000.000,27000.000,22000.000,-24000.000,-239000.000,-70000.000,-91000.000,20000.000,-150000.000,66000.000,93000.000,44000.000,-12000.000,-91000.000
AdditionalPaidInCapital,,458460000.000,581911000.000,585522000.000,589581000.000,592755000.000,770789000.000,888703000.000,896110000.000,,1076791000.000,1084766000.000,1092450000.000,1100924000.000,1108832000.000,1121628000.000
AdditionalPaidInCapitalCommonStock,,,,,,,,,,906031000.000,,,,,,
Assets,,225367000.000,325731000.000,320239000.000,294014000.000,279549000.000,416495000.000,486299000.000,442059000.000,394860000.000,502924000.000,463997000.000,407436000.000,317549000.000,343436000.000,340695000.000
AssetsCurrent,,178672000.000,272707000.000,273266000.000,233116000.000,230007000.000,315077000.000,403450000.000,417474000.000,376467000.000,465577000.000,442890000.000,381448000.000,301698000.000,328928000.000,327581000.000
AssetsFairValueDisclosure,,215411000.000,315429000.000,280098000.000,265039000.000,238590000.000,371131000.000,442509000.000,390854000.000,343369000.000,444983000.000,375452000.000,337383000.000,243058000.000,195289000.000,286312000.000
AvailableForSaleSecurities,,215146000.000,315057000.000,279853000.000,264918000.000,238590000.000,371131000.000,442509000.000,390854000.000,343369000.000,444983000.000,375452000.000,337383000.000,243058000.000,195289000.000,286312000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,50000.000,12000.000,39000.000,31000.000,53000.000,4000.000,76000.000,97000.000,53000.000,6000.000,4000.000
