,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,-746.000,,,,
AmortizationOfDebtDiscountPremium,,,,,,24616.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,0.000,,,,
DebtConversionConvertedInstrumentRate,,,,,,0.100
DebtInstrumentConvertibleBeneficialConversionFeature,,,,,,331973.000
EarningsPerShareBasic,-0.000,-0.005,,,,
EarningsPerShareBasicAndDiluted,,,-0.000,-0.010,,
EarningsPerShareDiluted,-0.000,-0.010,,,,
FairValueAssumptionsExpectedDividendRate,,,,,,0.000
FairValueAssumptionsExpectedVolatilityRate,,,,,,0.319
FairValueAssumptionsRiskFreeInterestRate,,,,,,0.018
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,,,,,,1148.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationPurchasesSalesIssuesSettlements,,,,,,-1148.000
GeneralAndAdministrativeExpense,1500.000,13339.000,,,,
GrossProfit,,0.000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-1500.000,-13339.000,,,,-27997.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-1500.000,-13339.000,,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,,-0.010
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-750.000,,,,4423.000
IssuanceOfStockAndWarrantsForServicesOrClaims,,4.000,,,,
NetCashProvidedByUsedInFinancingActivities,,14085.000,,,,106.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,14085.000,,,,106.000
NetCashProvidedByUsedInOperatingActivities,,-14085.000,,,,-106.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-14085.000,,,,-106.000
NetIncomeLoss,,-13339.000,-3250.000,-21838.000,-379912.000,-27997.000
OperatingCostsAndExpenses,,,,,,1500.000
OperatingExpenses,1500.000,13339.000,3250.000,21838.000,129655.000,1500.000
OperatingIncomeLoss,-1500.000,-13339.000,-3250.000,-21838.000,-129655.000,-1500.000
ProceedsFromRelatedPartyDebt,,,,,,106.000
ProceedsFromRepaymentsOfNotesPayable,,14085.000,,,,
ProfessionalFees,,,3250.000,21838.000,,
Revenues,,0.000,,,,
SalesRevenueNet,,0.000,,,,
SalesRevenueServicesNet,,0.000,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,2590000.000,2611538.000,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,2630000.000,2630815.000,,2634165.000
WeightedAverageNumberOfSharesOutstandingBasic,2590000.000,2611538.000,,,,
