,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,605000000.000,623000000.000,627000000.000,625000000.000,589000000.000,555000000.000,501000000.000,444000000.000,440000000.000,437000000.000,426000000.000,422000000.000,405000000.000,402000000.000,393000000.000,437000000.000,432000000.000,417000000.000,367000000.000,386000000.000,387000000.000,416000000.000,428000000.000,396000000.000,429000000.000
AccountsReceivableNetCurrent,1568000000.000,1672000000.000,1784000000.000,1545000000.000,1478000000.000,1629000000.000,1623000000.000,1230000000.000,1333000000.000,1491000000.000,1524000000.000,1203000000.000,1355000000.000,1527000000.000,1477000000.000,1246000000.000,1394000000.000,1434000000.000,1481000000.000,1165000000.000,1269000000.000,1348000000.000,1447000000.000,1267000000.000,1337000000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,,,,98000000.000,,,,127000000.000,,,,108000000.000,,,,,,,,,,,,,
AccruedIncomeTaxesCurrent,247000000.000,65000000.000,60000000.000,101000000.000,106000000.000,101000000.000,106000000.000,79000000.000,109000000.000,218000000.000,37000000.000,119000000.000,101000000.000,109000000.000,106000000.000,71000000.000,75000000.000,117000000.000,84000000.000,95000000.000,67000000.000,58000000.000,68000000.000,83000000.000,77000000.000
AccruedLiabilitiesCurrent,593000000.000,637000000.000,863000000.000,795000000.000,754000000.000,711000000.000,766000000.000,881000000.000,694000000.000,682000000.000,691000000.000,651000000.000,600000000.000,552000000.000,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,3055000000.000,2859000000.000,2667000000.000,2705000000.000,2562000000.000,2666000000.000,2751000000.000,2979000000.000,3034000000.000,3068000000.000,3030000000.000,3157000000.000,3247000000.000,3408000000.000,3463000000.000,3426000000.000,3419000000.000,3412000000.000,3113000000.000,2869000000.000,2736000000.000,2595000000.000,2437000000.000,2411000000.000,2332000000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,-3000000.000,,,,0.000,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,-2000000.000,,,,-5000000.000,,,,-4000000.000,,,,-3000000.000,,,,-2000000.000,,,,-1000000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-702000000.000,-686000000.000,-690000000.000,-776000000.000,-742000000.000,-741000000.000,-617000000.000,-699000000.000,-650000000.000,-590000000.000,-572000000.000,-528000000.000,-520000000.000,-512000000.000,-468000000.000,-532000000.000,-531000000.000,-514000000.000,-513000000.000,-532000000.000,-531000000.000,-536000000.000,-542000000.000,-526000000.000,-527000000.000
AcquiredFiniteLivedIntangibleAssetAmount,,,2974000000.000,2960000000.000,,,,0.000,,,,,,,,,,,,,,,,,
