,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31
AdjustmentForAmortization,,,,,,291000.000,291000.000,,307000.000,307000.000,309000.000,,320000.000
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,,,93000.000,,,,-39000.000,,,,
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,27000.000,,,,,,,,,,,,
AmortizationOfFinancingCosts,15000.000,,,,18000.000,,,,25000.000,,,,170000.000
AmortizationOfIntangibleAssets,291000.000,,290000.000,,291000.000,,,,307000.000,,,,320000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,476000.000,,,,126000.000,,,,1040000.000,,,,-160000.000
ConcentrationRiskPercentage1,,,0.589,,0.545,,0.683,,0.413,0.299,0.621,,0.584
CostOfRevenue,10678000.000,11009000.000,12309000.000,13602000.000,11408000.000,10007000.000,11597000.000,17221000.000,12442000.000,15160000.000,16898000.000,18661000.000,12363000.000
CostsAndExpenses,2469000.000,2552000.000,2712000.000,2889000.000,2816000.000,3096000.000,2997000.000,3051000.000,3903000.000,3825000.000,4152000.000,4677000.000,4412000.000
CurrentFederalTaxExpenseBenefit,489000.000,430000.000,-1795000.000,706000.000,584000.000,-725000.000,-81000.000,-146000.000,-24000.000,,726000.000,,656000.000
CurrentIncomeTaxExpenseBenefit,,,,,692000.000,,,,171000.000,,,,35000.000
CurrentStateAndLocalTaxExpenseBenefit,113000.000,,,,156000.000,,,,5000.000,,,,22000.000
DebtInstrumentInterestRateStatedPercentageRateRangeMaximum,0.095,,,,0.095,,,,0.070,,0.070,,0.070
DebtInstrumentInterestRateStatedPercentageRateRangeMinimum,0.070,,,,0.070,,,,0.040,,0.040,,0.040
DeferredIncomeTaxExpenseBenefit,,,,,-108000.000,,,,-147000.000,,,,-691000.000
Depreciation,403000.000,,441000.000,,552000.000,616000.000,512000.000,684000.000,719000.000,915000.000,1045000.000,411000.000,904000.000
Dividends,,,,,-733000.000,,,,-1066000.000,,,,
EarningsPerShareBasic,0.050,0.040,0.440,0.120,0.060,0.100,0.050,-0.110,0.010,-0.080,0.040,-0.080,-0.190
EarningsPerShareDiluted,0.050,0.040,0.430,0.110,0.060,0.090,0.050,-0.100,0.010,-0.080,0.040,-0.080,-0.190
EntityWideRevenueMajorCustomerPercentage,0.593,,,,,,,,,,,,
FederalIncomeTaxExpenseBenefitContinuingOperations,376000.000,,,,536000.000,,,,166000.000,,,,
FinancingInterestExpense,385000.000,393000.000,281000.000,281000.000,303000.000,304000.000,260000.000,428000.000,346000.000,544000.000,451000.000,517000.000,505000.000
GrossProfit,3647000.000,3630000.000,3743000.000,4215000.000,4045000.000,3353000.000,3557000.000,3143000.000,4369000.000,3897000.000,4178000.000,4837000.000,2821000.000
ImpairmentOfIntangibleAssetsExcludingGoodwill,,,,,,,,,1963000.000,,,,
IncomeLossFromContinuingOperations,,,,,,,,,275000.000,,26000.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,768000.000,656000.000,739000.000,1406000.000,925000.000,-109000.000,299000.000,-816000.000,128000.000,-418000.000,-389000.000,-439000.000,-2086000.000
IncomeTaxExpenseBenefit,489000.000,,,,584000.000,,,,24000.000,,,,-656000.000
IncomeTaxesPaidNet,,,,,86000.000,,,,183000.000,,,,13000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,213000.000,,,,705000.000,,,,661000.000,,,,941000.000
IncreaseDecreaseInAccountsReceivable,2095000.000,,,,-4418000.000,,,,-1202000.000,,,,-3850000.000
IncreaseDecreaseInAccruedTaxesPayable,493000.000,,,,616000.000,,,,33000.000,,,,11000.000
IncreaseDecreaseInCustomerDeposits,,,,,3000.000,,,,32000.000,,,,
IncreaseDecreaseInDeferredRevenue,,,,,,,,,,,,,352000.000
IncreaseDecreaseInDeposits,130000.000,,,,-1000.000,,,,20000.000,,,,35000.000
IncreaseDecreaseInInventories,-725000.000,,,,-594000.000,,,,2323000.000,,,,3826000.000
IncreaseDecreaseInOtherOperatingAssets,-100000.000,,,,-51000.000,,,,65000.000,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,126000.000,,,,89000.000,,,,-288000.000,,,,-139000.000
InterestExpenseJuniorSubordinatedDebentures,30000.000,,30000.000,,30000.000,31000.000,0.000,,0.000,0.000,0.000,0.000,
InterestPaid,381000.000,,,,251000.000,,,,310000.000,,,,505000.000
LiabilitiesAssumed1,,,,,,,,,-1216000.000,,,,
NetCashProvidedByUsedInFinancingActivities,-2729000.000,,,,2705000.000,,,,5169000.000,,,,-493000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-2729000.000,,,,2705000.000,,,,5169000.000,,,,-493000.000
NetCashProvidedByUsedInInvestingActivities,-152000.000,,,,-241000.000,,,,-5117000.000,,,,-567000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-152000.000,,,,-241000.000,,,,-5117000.000,,,,-567000.000
NetCashProvidedByUsedInOperatingActivities,3357000.000,,,,-2338000.000,,,,988000.000,,,,900000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,3357000.000,,,,-2338000.000,,,,988000.000,,,,900000.000
NetIncomeLoss,279000.000,226000.000,2534000.000,700000.000,341000.000,616000.000,380000.000,-670000.000,104000.000,-601000.000,337000.000,-672000.000,-1430000.000
OperatingIncomeLoss,1178000.000,1078000.000,1031000.000,1326000.000,1229000.000,257000.000,560000.000,-311000.000,466000.000,72000.000,26000.000,62000.000,-1591000.000
OtherOperatingIncome,-25000.000,-29000.000,-11000.000,361000.000,-1000.000,-62000.000,-1000.000,-77000.000,8000.000,54000.000,36000.000,16000.000,10000.000
PaymentsToAcquireBusinessesNetOfCashAcquired,,,,,,,,,5413000.000,,,,
PaymentsToAcquirePropertyPlantAndEquipment,45000.000,,,,187000.000,,,,143000.000,,,,355000.000
PolicyholderDividends,358000.000,,,,880000.000,,,,1125000.000,,,,
