,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,,117000.000,,,,3148000.000,,,,331000.000,
ComprehensiveIncomeNetOfTax,,,-189000.000,314000.000,1007000.000,2277000.000,-2185000.000,-1815000.000,1124000.000,2264000.000,-1706000.000,199000.000
CostOfGoodsSold,20672000.000,24155000.000,18830000.000,20226000.000,19893000.000,25429000.000,15342000.000,18951000.000,21579000.000,25076000.000,15602000.000,20612000.000
DeferredIncomeTaxExpenseBenefit,,,-46000.000,,,,-16000.000,,,,-16000.000,
DepreciationAndAmortization,,,961000.000,,,,840000.000,,,,818000.000,
EarningsPerShareBasic,0.080,0.210,0.050,0.140,0.090,0.200,-0.230,-0.290,0.060,0.290,-0.250,0.010
EarningsPerShareDiluted,0.080,0.210,0.050,0.140,0.090,0.200,-0.230,-0.290,0.060,0.290,-0.250,0.010
EffectOfExchangeRateOnCashAndCashEquivalents,,,51000.000,,,,84000.000,,,,-110000.000,
GrossProfit,8188000.000,10299000.000,7588000.000,8858000.000,7779000.000,10303000.000,6235000.000,6679000.000,7459000.000,9916000.000,5779000.000,8127000.000
ImpairmentOfIntangibleAssetsFinitelived,,,,,,,,0.000,0.000,,0.000,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,593000.000,1176000.000,401000.000,1066000.000,363000.000,1448000.000,-1533000.000,-1929000.000,278000.000,1987000.000,-1688000.000,97000.000
IncomeTaxExpenseBenefit,76000.000,-202000.000,62000.000,164000.000,-201000.000,83000.000,-1000.000,14000.000,-116000.000,46000.000,-22000.000,10000.000
IncomeTaxesPaidNet,,,451000.000,,,,351000.000,,,,,
IncreaseDecreaseInAccountsPayable,,,-3442000.000,,,,-3125000.000,,,,-834000.000,
IncreaseDecreaseInAccountsReceivable,,,-6472000.000,,,,-7219000.000,,,,-9309000.000,
IncreaseDecreaseInInventories,,,-4257000.000,,,,-4418000.000,,,,-2136000.000,
IncreaseDecreaseInOtherCurrentAssets,,,-252000.000,,,,,,,,,
IncreaseDecreaseInOtherNoncurrentLiabilities,,,-2664000.000,,,,,,,,,
IncreaseDecreaseInOtherOperatingAssets,,,,,,,168000.000,,,,232000.000,
IncreaseDecreaseInOtherOperatingLiabilities,,,,,,,-1523000.000,,,,-1182000.000,
InterestExpense,255000.000,272000.000,253000.000,235000.000,277000.000,271000.000,160000.000,150000.000,205000.000,263000.000,257000.000,406000.000
InterestPaid,,,150000.000,,,,126000.000,,,,279000.000,
InventoryWriteDown,,,,,,,98000.000,,,,103000.000,
LineOfCreditFacilityUnusedCapacityCommitmentFeePercentage,,,,,,,0.003,,,,,
NetCashProvidedByUsedInFinancingActivities,,,-5304000.000,,,,-2075000.000,,,,-7466000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-5304000.000,,,,-2075000.000,,,,-7466000.000,
NetCashProvidedByUsedInInvestingActivities,,,-435000.000,,,,-590000.000,,,,-383000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-435000.000,,,,-590000.000,,,,-383000.000,
NetCashProvidedByUsedInOperatingActivities,,,5805000.000,,,,5729000.000,,,,8290000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,5805000.000,,,,5729000.000,,,,8290000.000,
NetIncomeLoss,517000.000,1378000.000,339000.000,902000.000,564000.000,1365000.000,-1532000.000,-1943000.000,394000.000,1941000.000,-1666000.000,87000.000
NonoperatingIncomeExpense,-103000.000,-899000.000,493000.000,-144000.000,336000.000,337000.000,353000.000,86000.000,359000.000,482000.000,206000.000,195000.000
OperatingIncomeLoss,951000.000,2347000.000,161000.000,1445000.000,304000.000,1382000.000,-1726000.000,-1865000.000,124000.000,1768000.000,-1637000.000,308000.000
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPeriodIncreaseDecrease,,,-25000.000,,,,,,,,,
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPortionAttributableToParent,,,,,,,17000.000,16000.000,13000.000,12000.000,-106000.000,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,,,-503000.000,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,,,,,,,-670000.000,112000.000,717000.000,311000.000,66000.000,112000.000
OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax,,,,,,,,,,,66000.000,
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,,,,23000.000,21000.000,,,,,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,-611000.000,422000.000,,,,,,,
OtherComprehensiveIncomeOtherNetOfTax,,,-528000.000,-588000.000,443000.000,912000.000,-653000.000,128000.000,730000.000,323000.000,-40000.000,112000.000
