,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,4890137.000,5921696.000,5506301.000,5594800.000,4999075.000,5661402.000,6920746.000,7164946.000,6066042.000,2839480.000,4477862.000,6244105.000,9338884.000,8951445.000,8824995.000,11808223.000,11985641.000,14946983.000,13535994.000,15188189.000,14118979.000,19597698.000
AccountsPayableTradeCurrent,,,,512000.000,,,,980000.000,,,,2366000.000,,,,3284000.000,,,,5350000.000,,
AccountsReceivableNetCurrent,570778.000,777579.000,618896.000,659958.000,638245.000,547105.000,517385.000,622830.000,399889.000,716874.000,714327.000,674617.000,555474.000,551429.000,598164.000,345627.000,489107.000,409225.000,590820.000,513992.000,584410.000,820787.000
AccruedProfessionalFeesCurrent,,,,259000.000,,,,,,,,690000.000,,,,101000.000,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,24578000.000,24946000.000,25315000.000,25707000.000,25946731.000,26185550.000,26472659.000,26743000.000,26900669.000,27057858.000,27167565.000,27313000.000,27453741.000,27594558.000,27721469.000,27890000.000,28059136.000,28227002.000,28396052.000,28638000.000,28870579.000,29268601.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,100000.000,,,,200000.000,,,,300000.000,,,,-200000.000,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,216181.000,136353.000,196373.000,80161.000,140307.000,182522.000,115880.000,161830.000,229237.000,296733.000,295950.000,261837.000,79255.000,-6447.000,-243729.000,-161092.000,-109927.000,-277630.000,-113868.000,-132226.000,-127727.000,-126146.000
AdditionalPaidInCapital,245445693.000,247617955.000,248115593.000,248737450.000,249120652.000,249779590.000,265002764.000,265688408.000,266855074.000,268084054.000,269461557.000,300080804.000,300554900.000,301454274.000,,,,,,,,
AdditionalPaidInCapitalCommonStock,,,,,,,,,,,,,,,302180742.000,305229354.000,306183459.000,307165796.000,307907709.000,311320651.000,312093494.000,336782556.000
AllowanceForDoubtfulAccountsReceivableCurrent,30000.000,41000.000,40000.000,55000.000,69000.000,57894.000,47040.000,49265.000,70418.000,61188.000,61302.000,88609.000,86537.000,67857.000,62024.000,54177.000,71624.000,67475.000,85254.000,74546.000,64767.000,21985.000
Assets,28858931.000,52691952.000,45561228.000,38635221.000,31100681.000,27081474.000,54386416.000,47927353.000,41210126.000,32784822.000,26253123.000,46843905.000,37815905.000,26787417.000,111833625.000,105779606.000,91791116.000,81964079.000,67641541.000,56950268.000,40608848.000,52689522.000
AssetsCurrent,24956796.000,49038794.000,42191173.000,35479433.000,28082107.000,24201033.000,51569816.000,45215610.000,38506557.000,30164696.000,23680715.000,44742320.000,35523387.000,24527867.000,109615909.000,103487202.000,88976636.000,78776679.000,64443987.000,52951105.000,36101251.000,48491057.000
AssetsFairValueDisclosure,,,,,,,,,,,,,27806000.000,18761000.000,101988000.000,96304000.000,82405000.000,69972000.000,59029000.000,47436000.000,30474000.000,43319000.000
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,6000.000,1000.000,38000.000,50000.000,56000.000,12000.000,36000.000,42000.000,10000.000,
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,10000.000,11000.000,33000.000,38000.000,11000.000,80000.000,13000.000,2000.000,4000.000,14000.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,,,,,20088000.000,20010000.000,15931000.000,34871000.000,26546000.000,18424000.000,90124000.000,86154000.000,73658000.000,62396000.000,50347000.000,37384000.000,24564000.000,24085000.000
AvailableForSaleSecuritiesCurrent,,,,,,,,,,,,,,,,86165532.000,73703229.000,62328031.000,50369863.000,37424221.000,24570193.000,24071004.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,,,,,,,,,10025000.000,,,,,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,,,,,,,,,10021000.000,8212000.000,5336000.000,9535000.000,1599000.000,,51785000.000,39650000.000,25432000.000,12817000.000,5985000.000,,,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,,,,,,,,,10063000.000,,,,,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,,,,,,,,,10062000.000,11813000.000,10606000.000,25336000.000,24943000.000,18414000.000,38344000.000,46516000.000,48271000.000,49511000.000,44385000.000,37424000.000,24570000.000,24071000.000
AvailableForSaleSecuritiesDebtSecurities,,,,,,,,,20083000.000,20025000.000,15942000.000,34871000.000,26542000.000,18414000.000,90129000.000,86166000.000,73703000.000,62328000.000,50370000.000,37424000.000,24570000.000,24071000.000
CashAndCashEquivalentsAtCarryingValue,20650728.000,16334410.000,39050635.000,32838096.000,25520318.000,21399843.000,47797686.000,41326000.000,14643050.000,6809948.000,4989639.000,6961494.000,5445475.000,2848690.000,16063159.000,13452775.000,11785074.000,13716207.000,11209309.000,13203625.000,8464607.000,21898468.000
CashCashEquivalentsAndShortTermInvestments,,,,,,,,,34700000.000,26800000.000,20900000.000,41800000.000,32000000.000,21300000.000,106200000.000,99600000.000,85500000.000,76000000.000,61600000.000,50600000.000,33000000.000,46000000.000
CashSurrenderValueOfLifeInsurance,590505.000,600005.000,609505.000,598288.000,602638.000,606888.000,611138.000,594832.000,599082.000,603332.000,562010.000,176110.000,176110.000,176110.000,,20566.000,,,,,,
CommitmentsAndContingencies,,,,,0.000,,,,,,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,110000000.000,110000000.000,110000000.000,110000000.000,110000000.000,135000000.000,135000000.000,135000000.000,135000000.000,135000000.000,135000000.000,135000000.000,135000000.000,155000000.000,155000000.000,155000000.000,155000000.000,155000000.000,155000000.000,155000000.000,155000000.000,155000000.000
CommonStockSharesIssued,75477735.000,75519529.000,75531585.000,75597066.000,75692548.000,75734761.000,82755508.000,82841123.000,83153505.000,83296922.000,83511533.000,,93157819.000,93246188.000,93479501.000,94546578.000,94674706.000,94741919.000,94836015.000,95867298.000,95977580.000,109604620.000
CommonStockSharesOutstanding,75477735.000,75519529.000,75531585.000,75597066.000,75692548.000,75700036.000,82720783.000,82806398.000,83118780.000,83262197.000,83476808.000,93078755.000,93123094.000,93211463.000,93444776.000,94511853.000,94639981.000,94707194.000,94801290.000,95832573.000,95942855.000,109569895.000
CommonStockValue,754777.000,755195.000,755315.000,755970.000,756925.000,757347.000,827554.000,828411.000,831534.000,832968.000,835115.000,931134.000,931577.000,932462.000,934794.000,945465.000,946746.000,947418.000,948359.000,958672.000,959775.000,1096045.000
ContractReceivableDueOneYearOrLess,,30000000.000,,,,,,,,,,,,,,,,,,,,
ConvertibleDebtFairValueDisclosures,,,,,,,,,,,,,,,99600000.000,,,,,,,
