,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdvertisingExpense,,57999000.000,61539000.000,70711000.000,87975000.000,97677000.000,94426000.000,101333000.000,115689000.000,118265000.000
AllocatedShareBasedCompensationExpenseNetOfTax,,,,,,,,,,14958000.000
AmortizationOfIntangibleAssets,249000.000,250000.000,236000.000,208000.000,197000.000,200000.000,200000.000,200000.000,300000.000,300000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,38390937.000,4605181.000,5190897.000,5223956.000,-9130583.000,6433639.000,6848070.000,6794061.000,-12819235.000,7179455.000
AvailableForSaleSecuritiesGrossUnrealizedGains,,86000.000,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,,-40000.000,,,,,,,,
CapitalExpendituresIncurredButNotYetPaid,,5988000.000,,,,19186000.000,,,,11524000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,-85378000.000,,,,-67432000.000
ComprehensiveIncomeNetOfTax,-24210000.000,-26946000.000,-19574000.000,-15174000.000,-15519000.000,-41041000.000,-48445000.000,-61343000.000,-43397000.000,-56797000.000
CostOfGoodsSold,257161000.000,321536000.000,370951000.000,452586000.000,564088000.000,568292000.000,598414000.000,659864000.000,745979000.000,723942000.000
CurrentForeignTaxExpenseBenefit,49000.000,,,,,,,,,
DepreciationAndAmortization,,6500000.000,7200000.000,9000000.000,8900000.000,10300000.000,12400000.000,15200000.000,16700000.000,20100000.000
DepreciationDepletionAndAmortization,,6744000.000,,,,10487000.000,,,,20352000.000
EarningsPerShareBasicAndDiluted,-0.710,-0.330,-0.230,-0.180,-0.180,-0.490,-0.570,-0.720,-0.510,-0.660
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,-242000.000,,,,643000.000,,,,26000.000
GeneralAndAdministrativeExpense,25218000.000,,,,,,,,,
GoodwillPeriodIncreaseDecrease,,98000.000,,,,,,,,
GrossProfit,79027000.000,102835000.000,120801000.000,141386000.000,175702000.000,179056000.000,188514000.000,201661000.000,238580000.000,236883000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-24094000.000,-27090000.000,-19261000.000,-15566000.000,-15431000.000,-40888000.000,-47953000.000,-61023000.000,-43903000.000,-56329000.000
IncomeTaxExpenseBenefit,49000.000,46000.000,73000.000,-88000.000,64000.000,317000.000,321000.000,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-16800000.000,,,,-29097000.000,,,,-22412000.000
IncreaseDecreaseInAccountsReceivable,,2128000.000,,,,1941000.000,,,,2651000.000
IncreaseDecreaseInInventories,,240000.000,,,,-2142000.000,,,,-4094000.000
IncreaseDecreaseInOtherOperatingAssets,,339000.000,,,,432000.000,,,,55000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,15327000.000,,,,8643000.000,,,,28200000.000
InterestExpenseLesseeAssetsUnderCapitalLease,,,,,,,,800000.000,,900000.000
InterestIncomeExpenseNonoperatingNet,89000.000,264000.000,308000.000,325000.000,387000.000,552000.000,531000.000,-292000.000,-97000.000,-299000.000
LeaseAndRentalExpense,,4100000.000,4600000.000,3800000.000,3800000.000,7100000.000,7900000.000,9100000.000,9500000.000,11600000.000
NetCashProvidedByUsedInContinuingOperations,,-149777000.000,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,-4236000.000,,,,-6570000.000,,,,-538000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-4236000.000,,,,-6570000.000,,,,-538000.000
NetCashProvidedByUsedInInvestingActivities,,-110097000.000,,,,-28247000.000,,,,-20822000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-110097000.000,,,,-28247000.000,,,,-20822000.000
NetCashProvidedByUsedInOperatingActivities,,-35202000.000,,,,-51204000.000,,,,-46098000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-35202000.000,,,,-51204000.000,,,,-46098000.000
