,2015-12-31,2016-06-30
AccountsPayableOtherCurrent,,227.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,62.000
AdditionalPaidInCapital,3212.000,7912.000
Assets,,467276.000
AssetsCurrent,57219.000,128052.000
CashAndCashEquivalentsAtCarryingValue,57219.000,126089.000
CommonStockDiscountOnShares,500.000,500.000
CommonStockParOrStatedValuePerShare,0.000,0.000
CommonStockSharesAuthorized,200000000.000,200000000.000
CommonStockSharesIssued,10000000.000,10000000.000
CommonStockSharesOutstanding,10000000.000,10000000.000
CommonStockValue,1000.000,1000.000
ConvertibleLongTermNotesPayable,,150000.000
DepositLiabilityCurrent,61000.000,61000.000
InterestPayableCurrent,,2738.000
InterestReceivableCurrent,,1963.000
Liabilities,,613965.000
LiabilitiesAndStockholdersEquity,57219.000,467276.000
LiabilitiesCurrent,61000.000,63965.000
NotesAndLoansReceivableNetNoncurrent,,337000.000
NotesPayableRelatedPartiesNoncurrent,,400000.000
PreferredStockParOrStatedValuePerShare,0.000,0.000
PreferredStockSharesAuthorized,20000000.000,20000000.000
PreferredStockSharesIssued,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000
PreferredStockValue,0.000,0.000
PropertyPlantAndEquipmentGross,,2286.000
PropertyPlantAndEquipmentNet,,2224.000
RetainedEarningsAccumulatedDeficit,-7493.000,-155101.000
StockholdersEquity,-3781.000,-146689.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,-146689.000
