,2015-06-30,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,5887000.000
AllocatedShareBasedCompensationExpense,3201000.000,4006000.000,3809000.000,4838000.000,5379000.000,4697000.000,5874000.000
AmortizationOfIntangibleAssets,1051000.000,1051000.000,1052000.000,1051000.000,1051000.000,1052000.000,1051000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,67749.000,15069.000,11655.000,10639000.000,11965000.000,-10819655.000,17532000.000
BusinessCombinationSeparatelyRecognizedTransactionsRevenuesAndGainsRecognized,4100000.000,7000000.000,,,,,
CashPeriodIncreaseDecrease,,,4449000.000,,,,-2573000.000
ComprehensiveIncomeNetOfTax,10757000.000,-6888000.000,7861000.000,32928000.000,17600000.000,34656000.000,12526000.000
CostOfGoodsAndServicesSold,34624000.000,46468000.000,57512000.000,61600000.000,57264000.000,63005000.000,49431000.000
CostsAndExpenses,118887000.000,145350000.000,165563000.000,170962000.000,163066000.000,169211000.000,154111000.000
DeferredIncomeTaxExpenseBenefit,,,,,,,7337000.000
Depreciation,16500000.000,19300000.000,20400000.000,22500000.000,24500000.000,26000000.000,27600000.000
DepreciationAndAmortization,,,21596000.000,,,,31710000.000
EarningsPerShareBasic,,,0.130,0.320,0.160,0.290,0.120
EarningsPerShareBasicAndDiluted,,-0.410,,,,,
EarningsPerShareDiluted,,,0.130,0.310,0.160,0.270,0.120
EffectiveIncomeTaxRateContinuingOperations,0.111,0.013,0.000,0.052,0.153,-0.070,-0.112
GainsLossesOnExtinguishmentOfDebt,-431000.000,,,,,,
GeneralAndAdministrativeExpense,19677000.000,21486000.000,23248000.000,23614000.000,21331000.000,24184000.000,24621000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-56080000.000,-71312000.000,-77803000.000,-61517000.000,-65032000.000,-62956000.000,-65746000.000
IncomeTaxExpenseBenefit,-6215000.000,903000.000,,3210000.000,9936000.000,,7338000.000
IncreaseDecreaseInAccountsPayable,,,-10103000.000,,,,-4357000.000
IncreaseDecreaseInAccountsReceivable,,,-3595000.000,,,,-6362000.000
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,,,-317000.000,,,,-15445000.000
IncreaseDecreaseInDeferredRevenue,,,5572000.000,,,,-1030000.000
IncreaseDecreaseInInventories,,,23314000.000,,,,-7723000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,4355000.000,,,,1441000.000
IncreaseDecreaseInRestrictedCash,,,-1819000.000,,,,126000.000
InterestIncomeExpenseNonoperatingNet,-8433000.000,-8475000.000,-11515000.000,-13063000.000,-13957000.000,-14709000.000,-15277000.000
InterestPaid,,,4681000.000,,,,9347000.000
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,,,6272000.000,,,,9547000.000
NetCashProvidedByUsedInFinancingActivities,,,251496000.000,,,,197293000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,251496000.000,,,,197293000.000
NetCashProvidedByUsedInInvestingActivities,,,-169652000.000,,,,-170759000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-169652000.000,,,,-170759000.000
NetCashProvidedByUsedInOperatingActivities,,,-77395000.000,,,,-29107000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-77395000.000,,,,-29107000.000
NetIncomeLoss,7540000.000,-2768000.000,13134000.000,32643000.000,16878000.000,29032000.000,12727000.000
NetIncomeLossAttributableToNoncontrollingInterest,-57405000.000,,-90937000.000,-97370000.000,-91846000.000,-114835000.000,-85811000.000
NetIncomeLossAvailableToCommonStockholdersBasic,,-27658000.000,,32643000.000,16878000.000,,12727000.000
NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,,,-51706000.000,,,,-45864000.000
NoncashOrPartNoncashAcquisitionValueOfAssetsAcquired1,,,7318000.000,,,,76000.000
NoncontrollingInterestIncreaseFromSubsidiaryEquityIssuance,,,134999000.000,,,,130144000.000
NotesAssumed1,,,,,,,12873000.000
OperatingIncomeLoss,-46197000.000,-62750000.000,-66820000.000,-48424000.000,-51033000.000,-48627000.000,-49994000.000
OperatingLeasesIncomeStatementLeaseRevenue,34458000.000,31650000.000,34540000.000,45394000.000,43150000.000,45333000.000,48098000.000
OperatingLeasesIncomeStatementMinimumLeaseRevenue,22915000.000,23688000.000,25327000.000,32980000.000,34144000.000,32746000.000,35062000.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,-5273000.000,,,,-201000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,-356000.000,570000.000,-525000.000,-120000.000,-301000.000,-77000.000,-563000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,2861000.000,-4690000.000,-5798000.000,165000.000,421000.000,5547000.000,-764000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax,904000.000,-904000.000,,,,,
OtherNoncashExpense,,,,,,,2898000.000
OtherNonoperatingExpense,1019000.000,87000.000,,,,,
OtherNonoperatingIncomeExpense,,,532000.000,-30000.000,-42000.000,380000.000,-475000.000
PaidInKindInterest,,,3502000.000,,,,5931000.000
ParticipatingSecuritiesDistributedAndUndistributedEarningsLossBasic,7540000.000,,,,,,
PaymentsOfDebtIssuanceCosts,,,9369000.000,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,5023000.000,,,,2610000.000
PaymentsToMinorityShareholders,,,9986000.000,,,,12887000.000
PreferredStockDividendsIncomeStatementImpact,,24890000.000,,,,,
ProceedsFromIssuanceOfDebt,,,106400000.000,,,,38225000.000
ProceedsFromLinesOfCredit,,,141000000.000,,,,
ProceedsFromMinorityShareholders,,,154944000.000,,,,162565000.000
ProceedsFromStockOptionsExercised,,,515000.000,,,,
ProfitLoss,-49865000.000,-72215000.000,-77803000.000,-64727000.000,-74968000.000,-85803000.000,-73084000.000
ProvisionForDoubtfulAccounts,,,336000.000,,,,
RepaymentsOfDebt,,,2160000.000,,,,4904000.000
RepaymentsOfLinesOfCredit,,,147000000.000,,,,
RepaymentsOfLongTermCapitalLeaseObligations,,,3115000.000,,,,2749000.000
ResearchAndDevelopmentExpense,2492000.000,2240000.000,2463000.000,2373000.000,2458000.000,2905000.000,2996000.000
RestrictedStockValueSharesIssuedNetOfTaxWithholdings,,,63000.000,,,,
Revenues,72690000.000,82600000.000,98743000.000,122538000.000,112033000.000,120584000.000,104117000.000
SalesRevenueGoodsNet,38232000.000,50950000.000,64203000.000,77144000.000,68883000.000,75251000.000,56019000.000
