,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,,,,357000.000,368000.000,380000.000,491000.000,370000.000,310000.000,276000.000,,,700000.000,935000.000,,,834000.000,946000.000,688000.000,597000.000,379000.000
AmortizationOfDebtDiscountPremium,,,,18000.000,18000.000,18000.000,43000.000,100000.000,120000.000,80000.000,,,,,,,,,,,
AmortizationOfFinancingCosts,,,,,38000.000,,,,57000.000,71000.000,,,,,,,,,,,
AmortizationOfIntangibleAssets,,,,33000.000,46000.000,37000.000,17000.000,17000.000,18000.000,17000.000,17000.000,17000.000,18000.000,17000.000,14000.000,14000.000,14000.000,14000.000,14000.000,9000.000,0.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,4504000.000,5060000.000,5046000.000,6022000.000,-10089000.000,5998000.000,4942000.000,4703000.000,-5549000.000,15563000.000,16251000.000,15536000.000,-32763000.000,15228000.000,15572000.000,17636000.000,-27899000.000,22927127.000
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,,,,,,,,70000.000,,,,174000.000
CapitalLeaseObligationsIncurred,,,,,,,,,,,,,383000.000,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-535000.000,,-1314000.000,,,,395000.000,,,,-7821000.000,,,,-5072000.000,,,,-5348000.000
ComprehensiveIncomeNetOfTax,,,-1609000.000,-510000.000,-2687000.000,-2577000.000,-3961000.000,-2211000.000,-4886000.000,-6448000.000,-3668000.000,-4207000.000,-5669000.000,-7008000.000,-5333000.000,-2512000.000,-4166000.000,-3587000.000,-3122000.000,-4571000.000,-4078000.000
CostOfGoodsSold,,,,,8803000.000,8686000.000,8516000.000,8895000.000,7577000.000,,,,,,,,,,,,
CostOfRevenue,6466000.000,7743000.000,6513000.000,7500000.000,,,,,,6457000.000,7321000.000,,7645000.000,8168000.000,7853000.000,8859000.000,7366000.000,8154000.000,7624000.000,8358000.000,6921000.000
DebtIssuanceCosts,,,,38000.000,38000.000,,,,10000.000,,,,,,,,,,,,
DebtRelatedCommitmentFeesAndDebtIssuanceCosts,,,,,,43000.000,71000.000,,57000.000,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,,,,,-107000.000,,,,15000.000,,,,15000.000,,,,15000.000,,,,15000.000
DeferredRevenueAdditions,,,,,,,,,,,,,,,,,126000.000,,,,
DeferredRevenueRevenueRecognized,,,,,,,,,,,708000.000,,31000.000,,,,,,,,
Depreciation,,,,,,,,,,,,,,149000.000,251000.000,,,,,,
DepreciationAndAmortization,,,,,,,,,157000.000,160000.000,160000.000,,140000.000,,,,198000.000,262000.000,274000.000,,290000.000
DepreciationDepletionAndAmortization,,,125000.000,,145000.000,,,,175000.000,,,,158000.000,,,,212000.000,,,,290000.000
EarningsPerShareBasic,-0.030,-0.030,-0.050,-0.020,-0.080,-0.080,-0.130,-0.060,-0.130,-0.170,-0.080,-0.070,-0.090,-0.120,-0.090,-0.050,-0.070,-0.060,-0.070,-0.090,-0.060
EarningsPerShareDiluted,-0.030,-0.030,-0.050,-0.020,-0.080,-0.080,-0.130,-0.060,-0.130,-0.170,-0.080,-0.070,-0.090,-0.120,-0.090,-0.050,-0.070,-0.060,-0.070,-0.090,-0.060
EffectOfExchangeRateOnCashAndCashEquivalents,,,47000.000,,-43000.000,,,,1000.000,,,,-193000.000,,,,86000.000,,,,25000.000
EffectiveIncomeTaxRateContinuingOperations,,,,,0.049,,,,-0.005,-0.004,-0.008,0.023,-0.009,-0.005,-0.008,0.031,-0.009,-0.011,-0.013,0.022,-0.010
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,0.340,,,,0.340,0.340,0.340,-0.680,0.340,0.340,0.340,-0.680,0.340,0.340,0.340,-0.680,0.340
EmployeeServiceShareBasedCompensationTaxBenefitRealizedFromExerciseOfStockOptions,,,,0.000,,,,,,,,,,,,,,,,,
FairValueAssumptionsExpectedVolatilityRate,,,,1.004,,,,,,,,,,,,,,,,,
FairValueInputsDiscountRate,,,,,,,,,,,,,0.088,,,,,,,,0.016
FinancingInterestExpense,,,,,,,,,,,0.000,,,,,,,,,,
ForeignCurrencyTransactionGainLossBeforeTax,-16000.000,44000.000,-17000.000,-28000.000,-99000.000,9000.000,16000.000,24000.000,2000.000,-33000.000,-135000.000,-249000.000,-130000.000,1000.000,32000.000,-162000.000,71000.000,-126000.000,24000.000,-301000.000,-1000.000
GainLossOnSaleOfPropertyPlantEquipment,,,,,,,,,1000.000,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,-16000.000,,,,,,,,,,,,,,,,,,
GeneralAndAdministrativeExpense,2227000.000,1987000.000,2211000.000,1839000.000,2247000.000,2598000.000,2460000.000,2072000.000,3083000.000,5310000.000,3474000.000,2987000.000,2587000.000,3916000.000,2860000.000,893000.000,2267000.000,2655000.000,2778000.000,2753000.000,2416000.000
GrossProfit,5613000.000,5318000.000,5807000.000,6281000.000,5794000.000,5561000.000,3829000.000,6346000.000,3941000.000,3729000.000,5393000.000,5109000.000,3210000.000,3701000.000,3381000.000,5658000.000,3644000.000,5656000.000,5605000.000,5403000.000,3953000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,,-7005000.000,-5299000.000,,-4225000.000,-3496000.000,-3106000.000,-4393000.000,-4068000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-739000.000,-896000.000,-1643000.000,-514000.000,-3003000.000,-2400000.000,-4027000.000,-2216000.000,-4863000.000,-6410000.000,-3467000.000,-4074000.000,-5389000.000,,,,,,,,
IncomeTaxExpenseBenefit,14000.000,57000.000,29000.000,34000.000,-372000.000,168000.000,22000.000,18000.000,24000.000,29000.000,28000.000,31000.000,47000.000,36000.000,44000.000,51000.000,40000.000,37000.000,40000.000,34000.000,40000.000
IncomeTaxReconciliationTaxCredits,,,,,214000.000,,,,,,,,,,,,,,,,
IncomeTaxesPaidNet,,,21000.000,,45000.000,,,,5000.000,,,,37000.000,,,,33000.000,,,,7000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,-957000.000,,-659000.000,,,,-392000.000,,,,-1090000.000,,,,-155000.000,,,,-885000.000
IncreaseDecreaseInAccountsReceivable,,,100000.000,,-1047000.000,,,,-2301000.000,,,,860000.000,,,,1126000.000,,,,-564000.000
IncreaseDecreaseInCustomerDeposits,,,-145000.000,,-304000.000,,,,-135000.000,,,,64000.000,,,,46000.000,,,,-7000.000
IncreaseDecreaseInDeferredRevenue,,,-111000.000,,-96000.000,,,,-190000.000,,,,535000.000,,,,-270000.000,,,,-347000.000
IncreaseDecreaseInInterestPayableNet,,,,,,,,,12000.000,,,,,,,,,,,,
IncreaseDecreaseInInventories,,,-975000.000,,779000.000,,,,774000.000,,,,664000.000,,,,1000.000,,,,1395000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-606000.000,,-23000.000,,,,-2000.000,,,,677000.000,,,,31000.000,,,,-146000.000
IncreaseDecreaseInRestrictedCash,,,,,,,,,,,,,200000.000,,,,,,,,
InterestAndDebtExpense,,,,,,,,,,,37000.000,,,,,,,,,,
InterestExpense,6000.000,2000.000,5000.000,98000.000,,,,,,,,,,,,,,,,,
InterestExpenseOther,,,,,2000.000,1000.000,1000.000,1000.000,1000.000,1000.000,,,,,,,,,,,
InterestIncomeExpenseNet,,,,,,,,,,,,,,,,,16000.000,,,,9000.000
InterestIncomeExpenseNonoperatingNet,,,,,-87000.000,-117000.000,-182000.000,-214000.000,-230000.000,-185000.000,,,,23000.000,21000.000,,17000.000,17000.000,18000.000,22000.000,9000.000
InterestPaid,,,3000.000,,31000.000,,,,67000.000,,,,,,,,1000.000,,,,1000.000
InventoryWriteDown,,,,,,,,,261000.000,,,,,,,,,,,,225000.000
