,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccountsAndOtherReceivablesNetCurrent,,,,,114678000.000,89527000.000,64596000.000,91678000.000,91984000.000,71561000.000,59520000.000,83295000.000,81171000.000,82936000.000,63570000.000,82665000.000,77691000.000,63735000.000,65980000.000,72275000.000,70525000.000,56383000.000
AccountsPayableCurrent,75168000.000,69231000.000,80261000.000,88644000.000,83584000.000,63268000.000,59181000.000,71445000.000,72174000.000,51206000.000,47527000.000,63061000.000,63786000.000,66527000.000,56452000.000,65051000.000,65573000.000,59892000.000,71782000.000,59701000.000,61958000.000,51089000.000
AccountsReceivableNetCurrent,113244000.000,107241000.000,90001000.000,110082000.000,106352000.000,81108000.000,56888000.000,82894000.000,82688000.000,60432000.000,51382000.000,73463000.000,71312000.000,73655000.000,56271000.000,76120000.000,71263000.000,57867000.000,58866000.000,65046000.000,63712000.000,49008000.000
AccrualForEnvironmentalLossContingencies,,,,,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1100000.000,500000.000,500000.000,,0.000
AccruedIncomeTaxesNoncurrent,,,,,7898000.000,,,,,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,,,,,23633000.000,24463000.000,24311000.000,22350000.000,,,21174000.000,,,18883000.000,17571000.000,16359000.000,17335000.000,18605000.000,28363000.000,24711000.000,27517000.000,25674000.000
AccumulatedAmortizationOfNoncurrentDeferredFinanceCosts,1565000.000,1992000.000,2419000.000,2846000.000,3273000.000,3700000.000,4127000.000,4554000.000,4981000.000,3292000.000,3649000.000,4006000.000,4363000.000,4719000.000,5077000.000,5434000.000,5791000.000,6148000.000,6505000.000,3178000.000,3283000.000,3384000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,108438000.000,,,,119439000.000,,,,151368000.000,,,,182042000.000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-8708000.000,-8355000.000,-34422000.000,-34640000.000,-34461000.000,-34778000.000,-51834000.000,-51503000.000,-51086000.000,-49653000.000,-18712000.000,-18379000.000,-18239000.000,-17767000.000,-49638000.000,-48364000.000,-30798000.000,-34057000.000,-17425000.000,-18174000.000,-18479000.000,-20607000.000
AllowanceForDoubtfulAccountsReceivable,1211000.000,1326000.000,676000.000,707000.000,542000.000,422000.000,549000.000,431000.000,506000.000,287000.000,259000.000,365000.000,347000.000,312000.000,327000.000,589000.000,437000.000,521000.000,1285000.000,1445000.000,1486000.000,1350000.000
