,2011-12-31,2012-12-31,2013-12-31,2014-12-31
AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,,,,280298.000
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationEmployeeStockPurchaseProgramRequisiteServicePeriodRecognition,,,,-145894.000
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,,,,6561396.000
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,,,1309254.000
AdvertisingExpense,2743.000,2951.000,3235.000,
AllocatedShareBasedCompensationExpense,,,,7128716.000
AmortizationOfDebtDiscountPremium,,,,4993085.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,50925671.000
CapitalLeaseObligationsIncurred,0.000,,,-1289541.000
CashPeriodIncreaseDecrease,-16533.000,-1071.000,-11961.000,-71621.000
ConstructionInProgressExpendituresIncurredButNotYetPaid,,,,0.000
CostOfGoodsAndServicesSold,47839.000,66621.000,57475.000,3561412.000
CostOfMerchandiseSalesBuyingAndOccupancyCosts,,,,1851196.000
CurrentFederalTaxExpenseBenefit,,,,0.000
CurrentIncomeTaxExpenseBenefit,,,,0.000
CurrentStateAndLocalTaxExpenseBenefit,,,,0.000
DebtConversionConvertedInstrumentAmount1,,,,6056128.000
DebtInstrumentConvertibleIfConvertedValueInExcessOfPrincipal,,,,526874.000
DebtInstrumentPeriodicPaymentInterest,,,,455337.000
DebtInstrumentPeriodicPaymentPrincipal,,,,1020239.000
DebtRelatedCommitmentFeesAndDebtIssuanceCosts,,,,4993085.000
DeferredFederalIncomeTaxExpenseBenefit,,,,0.000
DeferredIncomeTaxExpenseBenefit,,,,0.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,,,0.000
Depreciation,,4640.000,4639.000,
DepreciationAndAmortization,4843.000,4640.000,4639.000,4220784.000
DepreciationDepletionAndAmortization,,,,4218464.000
DerivativeGainLossOnDerivativeNet,,,,-9944992.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,0.000
DividendsPreferredStock,,,,649467.000
EarningsPerShareBasic,-0.010,,,
EarningsPerShareBasicAndDiluted,-34030.000,0.000,5721900.000,-0.480
EffectiveIncomeTaxRateContinuingOperations,,,,0.000
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,-0.340
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,,,0.340
GainLossOnDispositionOfAssets,,,,-1741.000
GainsLossesOnExtinguishmentOfDebt,,,,3067566.000
GeneralAndAdministrativeExpense,68548.000,70350.000,90837.000,
GrossProfit,42102.000,74212.000,63869.000,
IncomeLossFromContinuingOperations,,,,-50020893.000
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,,,,-50020893.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,-0.480
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,-281486.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,,-0.000
IncomeTaxesPaid,,,,0.000
IncreaseDecreaseInAccountsAndOtherReceivables,,,,-42750.000
IncreaseDecreaseInAccountsPayable,-1150.000,34915.000,-35254.000,-2690753.000
IncreaseDecreaseInAccountsPayableRelatedParties,,,3609.000,
IncreaseDecreaseInAccruedLiabilities,371.000,67.000,-219.000,499949.000
IncreaseDecreaseInDeferredLiabilities,,,,-33004.000
IncreaseDecreaseInDerivativeLiabilities,,,,285444.000
IncreaseDecreaseInDueToOfficersAndStockholders,,,61648.000,
IncreaseDecreaseInInterestPayableNet,,,,2609673.000
IncreaseDecreaseInInventories,2553.000,-1964.000,1964.000,42597.000
IncreaseDecreaseInOtherCurrentAssets,,,,-254897.000
IncreaseDecreaseInPrepaidExpense,1880.000,0.000,1150.000,-23447.000
InitialFranchiseFees,,,,187215.000
InterestExpense,,,,15130253.000
InterestExpenseDebt,,,,5051445.000
InterestExpenseDomesticDeposits,0.000,0.000,,
InterestExpenseLesseeAssetsUnderCapitalLease,,,,2476178.000
InterestExpenseOther,,,,2609545.000
InterestIncomeDomesticDeposits,2.000,0.000,,
InterestIncomeExpenseNet,2.000,0.000,,
InterestPaid,0.000,,0.000,2518523.000
IssuanceOfStockAndWarrantsForServicesOrClaims,20000.000,0.000,,
LaborAndRelatedExpense,,,,14345244.000
LeaseAndRentalExpense,,,,863463.000
NetCashProvidedByUsedInFinancingActivities,-11000.000,-35000.000,46992.000,19609416.000
