,2011-10-01,2011-12-31,2012-03-31
AccountsPayableCurrent,17029000.000,17733000.000,16071000.000
AccountsReceivableNetCurrent,30997000.000,35106000.000,32772000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,4232000.000,3743000.000,4460000.000
AdditionalPaidInCapital,154130000.000,155657000.000,156356000.000
AllowanceForDoubtfulAccountsReceivableCurrent,576000.000,850000.000,771000.000
Assets,131036000.000,130450000.000,130432000.000
AssetsCurrent,98366000.000,97573000.000,97740000.000
CashAndCashEquivalentsAtCarryingValue,9363000.000,5123000.000,6092000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010
CommonStockSharesAuthorized,45000000.000,45000000.000,45000000.000
CommonStockSharesIssued,16514461.000,16649978.000,16739438.000
CommonStockSharesOutstanding,16514461.000,16649978.000,16739438.000
CommonStockValue,165000.000,166000.000,167000.000
ConvertibleNotesPayableCurrent,29568000.000,,
DebtInstrumentUnamortizedDiscount,82000.000,0.000,0.000
DeferredRevenueNoncurrent,4357000.000,4501000.000,4751000.000
IntangibleAssetsNetExcludingGoodwill,1787000.000,1677000.000,1567000.000
InventoryNet,46674000.000,46478000.000,46914000.000
Liabilities,69839000.000,65409000.000,62669000.000
LiabilitiesAndStockholdersEquity,131036000.000,130450000.000,130432000.000
LiabilitiesCurrent,65482000.000,60908000.000,57918000.000
LinesOfCreditCurrent,,22600000.000,17300000.000
OtherAssetsCurrent,11332000.000,10866000.000,11962000.000
OtherAssetsNoncurrent,4274000.000,4019000.000,3733000.000
PreferredStockParOrStatedValuePerShare,0.010,0.010,0.010
PreferredStockSharesAuthorized,5000000.000,5000000.000,5000000.000
PreferredStockSharesIssued,0.000,,
PreferredStockSharesOutstanding,0.000,,
PropertyPlantAndEquipmentNet,26609000.000,27181000.000,27392000.000
RetainedEarningsAccumulatedDeficit,-97330000.000,-94525000.000,-93220000.000
StockholdersEquity,61197000.000,65041000.000,67763000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,61197000.000,65041000.000,67763000.000
