,2011-01-01,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2015-01-03,2015-04-04,2015-07-04,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01
AccountsNotesAndLoansReceivableNetCurrent,1417100000.000,1547800000.000,1624600000.000,1836900000.000,1553200000.000,1725800000.000,1675800000.000,1829900000.000,1538200000.000,1782700000.000,1794300000.000,1936400000.000,1633000000.000,1795800000.000,1788800000.000,1861100000.000,1396700000.000,1612800000.000,1645900000.000,1690900000.000,1331800000.000,1592800000.000,1571000000.000,1730200000.000,1302800000.000,1728000000.000,1927900000.000
AccountsPayableAndAccruedLiabilitiesCurrent,,,2460800000.000,2732100000.000,2741900000.000,2703400000.000,2765600000.000,3125000000.000,3031600000.000,2782400000.000,,,,,,,,,,,,,,,,,
AccountsPayableCurrent,998600000.000,1170600000.000,1267900000.000,1387000000.000,1312600000.000,1417500000.000,1437000000.000,1489200000.000,1350100000.000,1514800000.000,1558700000.000,1625900000.000,1575900000.000,1581800000.000,1701200000.000,1713500000.000,1579200000.000,1674800000.000,1764600000.000,1718900000.000,1533100000.000,1662300000.000,1739000000.000,1741200000.000,1640400000.000,1928800000.000,2093000000.000
AccountsReceivableGrossCurrent,,,,,1484000000.000,,,,1454100000.000,,,,1410900000.000,,,,1204600000.000,,,,1165000000.000,,,,1137200000.000,,
AccrualForEnvironmentalLossContingenciesUndiscountedDueAfterFifthYear,,,,,,,,,23100000.000,,,,17100000.000,,,,16700000.000,,,,15200000.000,,,,37200000.000,,
AccrualForEnvironmentalLossContingenciesUndiscountedDueInFifthYear,,,,,,,,,1000000.000,,,,1600000.000,,,,1900000.000,,,,2000000.000,,,,3000000.000,,
AccrualForEnvironmentalLossContingenciesUndiscountedDueInFourthYear,,,,,,,,,1400000.000,,,,1700000.000,,,,1900000.000,,,,1900000.000,,,,3000000.000,,
AccrualForEnvironmentalLossContingenciesUndiscountedDueInSecondYear,,,,,,,,,1500000.000,,,,2900000.000,,,,2000000.000,,,,4700000.000,,,,5600000.000,,
AccrualForEnvironmentalLossContingenciesUndiscountedDueInThirdYear,,,,,,,,,2200000.000,,,,2100000.000,,,,2100000.000,,,,2000000.000,,,,3000000.000,,
AccrualForEnvironmentalLossContingenciesUndiscountedDueWithinOneYear,,,,,,,,,1800000.000,,,,1900000.000,,,,2400000.000,,,,7800000.000,,,,6700000.000,,
