,2011-07-31,2011-10-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2014-07-31,2014-10-31
AmortizationOfDeferredLoanOriginationFeesNet,,,33000.000,,,,41937.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-862.000,,,,-58962.000,,,
CostOfGoodsSold,10394.000,12623.000,4964.000,10734.000,7430.000,16286.000,16133.000,7819.000,11101.000,4055.000
Depreciation,,,0.000,,,,0.000,,,
DepreciationAndAmortization,50378.000,45493.000,33000.000,186991.000,54825.000,56740.000,41397.000,47696.000,0.000,0.000
EarningsPerShareBasicAndDiluted,0.000,0.000,0.000,-0.010,0.000,-0.020,50125528.000,-0.010,0.000,-0.000
GainLossOnDispositionOfAssets,,-4087.000,,,,,,,,
GeneralAndAdministrativeExpense,13135.000,23812.000,67082.000,306118.000,96974.000,416251.000,102545.000,189619.000,194306.000,100514.000
GrossProfit,-4916.000,-9358.000,-2919.000,-6829.000,610.000,-10123.000,-10398.000,-5334.000,-4754.000,3915.000
IncomeTaxesPaid,,,0.000,,,,0.000,,,
IncreaseDecreaseInAccountsPayable,,,-5652.000,,,,3707.000,,,
IncreaseDecreaseInAccruedLiabilities,,,23767.000,,,,25614.000,,,
IncreaseDecreaseInDueToRelatedParties,,,41400.000,,,,19950.000,,,
IncreaseDecreaseInInterestPayableNet,,,0.000,,,,0.000,,,
IncreaseDecreaseInOtherCurrentAssets,,,-300.000,,,,-1385.000,,,
InterestExpense,-12171.000,12124.000,16149.000,16677.000,17760.000,19568.000,18797.000,19220.000,27972.000,30577.000
InterestPaid,,,0.000,,,,0.000,,,
NetCashProvidedByUsedInFinancingActivities,,,17500.000,,,,37500.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,17500.000,,,,37500.000,,,
NetCashProvidedByUsedInInvestingActivities,,,0.000,,,,0.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,0.000,,,,0.000,,,
NetCashProvidedByUsedInOperatingActivities,,,-18362.000,,,,-96462.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-18362.000,,,,-96462.000,,,
NetIncomeLoss,-82736.000,-100771.000,-120924.000,-528258.000,-176661.000,-522109.000,-186285.000,-263117.000,-252102.000,-145631.000
NoncashOrPartNoncashAcquisitionDebtAssumed1,,,0.000,,,,0.000,,,
OperatingExpenses,65649.000,75202.000,101856.000,504752.000,159511.000,492418.000,157090.000,238593.000,219376.000,118969.000
OperatingIncomeLoss,-70565.000,-84560.000,-104775.000,-511581.000,-158901.000,-502541.000,-167488.000,-243927.000,-224130.000,-115054.000
OtherExpenses,,,0.000,0.000,0.000,0.000,0.000,0.000,,
OtherGeneralExpense,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,
OtherIncome,12171.000,-16211.000,-16149.000,-16677.000,-17760.000,-19568.000,-18797.000,-19220.000,-27972.000,-30577.000
PaymentsForProceedsFromInvestments,,,0.000,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,,0.000,,,
ProceedsFromIssuanceOfCommonStock,,,12500.000,,,,0.000,,,
ProceedsFromNotesPayable,,,5000.000,,,,37500.000,,,
ProceedsFromRepaymentsOfNotesPayable,,,0.000,,,,0.000,,,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,0.000,,,,0.000,,,
RepaymentsOfAssumedDebt,,,0.000,,,,0.000,,,
Revenues,5478.000,3265.000,2045.000,3905.000,8040.000,6163.000,5735.000,2485.000,6347.000,7970.000
SalesRevenueNet,-6693.000,19476.000,18194.000,20582.000,25800.000,25731.000,24532.000,21705.000,34319.000,38547.000
SellingAndMarketingExpense,2136.000,5897.000,1774.000,11643.000,7712.000,19397.000,12608.000,1278.000,25070.000,18455.000
ShareBasedGoodsAndNonemployeeServicesTransactionExpense,,,0.000,,,,0.000,,,
ShareBasedGoodsAndNonemployeeServicesTransactionTaxBenefit,,,0.000,,,,0.000,,,
StockIssuedDuringPeriodValueAcquisitions,,,0.000,,,,0.000,,,
StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,,,0.000,,,,0.000,,,
WeightedAverageNumberOfSharesIssuedBasic,40838453.000,40840000.000,43350112.000,44388220.000,47256131.000,-89101343.000,0.000,50197195.000,72251528.000,77471515.000
