,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AircraftMaintenanceMaterialsAndRepairs,2806254.000,3135924.000,2814967.000,4471544.000,4462125.000,4899933.000,3249559.000,4001873.000,4429861.000,3108280.000,1850609.000,773725.000,746730.000,1329697.000,1224864.000,2732522.000,1185368.000
AircraftRentalAndLandingFees,573525.000,506317.000,155025.000,155025.000,155025.000,952843.000,,,,,,,,,,,
AmortizationOfFinancingCostsAndDiscounts,,,160335.000,,,,160335.000,,,,160335.000,,,,135205.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-51991.000,,,,-1013972.000,,,,-3274300.000,,,,-284087.000,,
DeferredIncomeTaxExpenseBenefit,,,3326.000,,,,-959475.000,,,,-2461653.000,,,,-801333.000,,
DepreciationDepletionAndAmortization,1304900.000,1302171.000,1429678.000,1445623.000,1459258.000,1495447.000,1600764.000,1601716.000,1598979.000,1598484.000,1615310.000,1594394.000,1532579.000,1522521.000,1519578.000,1512589.000,1108164.000
EarningsPerShareBasic,0.040,0.130,0.020,0.170,0.240,-0.100,-0.140,0.020,0.140,-0.070,-0.480,-0.180,-0.030,-0.130,-0.160,-0.330,-0.330
EarningsPerShareBasicAndDiluted,,,,,,,,,,,,,-0.030,,,,
EarningsPerShareDiluted,0.040,0.130,0.020,0.170,0.240,-0.110,-0.140,0.020,0.140,-0.070,-0.480,-0.180,-0.030,-0.130,-0.160,-0.330,-0.330
FuelCosts,10221355.000,9999196.000,10159134.000,10593129.000,10829616.000,10289187.000,9994345.000,9234155.000,9178841.000,7260127.000,4369246.000,4114099.000,4454621.000,3496876.000,2238729.000,2028481.000,1737478.000
GainLossOnSaleOfPropertyPlantEquipment,,,,,,,,,,,,,,,-46354.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1103613.000,3213385.000,298931.000,2635303.000,3543306.000,-2072452.000,-2110847.000,245488.000,2147562.000,-835362.000,-6752096.000,-2528097.000,-369977.000,-1757005.000,-2217862.000,-4721574.000,-2312536.000
IncomeTaxExpenseBenefit,497061.000,1390184.000,123079.000,1098462.000,1376003.000,-1094592.000,-852146.000,99610.000,880326.000,-238278.000,-2461403.000,-938841.000,-134647.000,-501422.000,-801096.000,-1723792.000,681115.000
IncomeTaxesPaidNet,,,352500.000,,,,14313.000,,,,,,,,0.000,,
