,2012-03-31,2012-09-30,2013-03-31,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31
AccountsPayableAndAccruedLiabilities,101624.000,,,,,,,,,,,,
AccountsPayableAndAccruedLiabilitiesCurrent,,100589.000,156624.000,203440.000,216478.000,200932.000,181482.000,172624.000,125326.000,157926.000,281131.000,292873.000,325431.000
AdditionalPaidInCapital,808666.000,2145116.000,2226389.000,3477256.000,3526006.000,3560384.000,3560384.000,3560384.000,4780256.000,4839156.000,5453016.000,5479566.000,5485566.000
Assets,9926.000,11122.000,50.000,74.000,74.000,85.000,85.000,85.000,158996.000,222869.000,329861.000,80.000,5413.000
AssetsCurrent,9926.000,11122.000,50.000,74.000,74.000,85.000,85.000,85.000,177.000,7600.000,56.000,80.000,5413.000
CapitalizedComputerSoftwareNet,,,,,,,,,158819.000,215269.000,,,
Cash,,,,74.000,74.000,85.000,85.000,85.000,177.000,100.000,56.000,80.000,80.000
CashAndCashEquivalentsAtCarryingValue,26.000,11122.000,50.000,74.000,74.000,85.000,85.000,85.000,177.000,100.000,56.000,80.000,80.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,0.001
CommonStockSharesAuthorized,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,1000000000.000,,1000000000.000,1000000000.000,1000000000.000
CommonStockSharesIssued,60790001.000,68840001.000,69566701.000,92700034.000,93950034.000,94771701.000,94771701.000,94771701.000,154939701.000,,160039701.000,162989701.000,164989701.000
CommonStockSharesOutstanding,60790001.000,68840001.000,69566701.000,92700034.000,93950034.000,94771701.000,94771701.000,94771701.000,154939701.000,,160039701.000,162989701.000,164989701.000
CommonStockValue,60790.000,68840.000,69567.000,92700.000,93950.000,94772.000,94772.000,94772.000,154940.000,159040.000,160040.000,162990.000,164990.000
DeferredTaxAssetsGross,,,,1290990.000,,,,,,,,,
DeferredTaxAssetsNet,,,,0.000,,,,,,,,0.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,,4303300.000,,,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsImpairmentLosses,,,,-1290990.000,,,,,,,,-1412780.000,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-1554374.000,-3382527.000,-3848802.000,-4303300.000,-4434060.000,4494083.000,-4504315.000,-4537713.000,,,,,
DueToOfficersOrStockholders,,,1200327.000,,,,,,,,,,
DueToRelatedPartiesCurrent,539475.000,888607.000,1200327.000,425379.000,491572.000,530420.000,558566.000,599287.000,78921.000,68961.000,16846.000,95859.000,165612.000
LiabilitiesAndStockholdersEquity,9926.000,11122.000,50.000,74.000,74.000,85.000,85.000,85.000,158996.000,222869.000,329861.000,80.000,5413.000
LiabilitiesCurrent,694844.000,1179693.000,1552896.000,733418.000,814178.000,839012.000,849244.000,882642.000,282410.000,306284.000,378607.000,470595.000,574138.000
LoansPayableCurrent,25645.000,76247.000,76845.000,,,,,,78163.000,79397.000,80630.000,81863.000,83095.000
NotesAndLoansPayableCurrent,,,,,,,,,0.000,0.000,0.000,0.000,0.000
OperatingLossCarryforwards,,,,,,,,,,,,4709268.000,
OtherReceivables,,,,,,,,,,7500.000,,,
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,0.001
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,,0.000,,,,,,,,,,,
PreferredStockSharesOutstanding,,0.000,,,,,,,,,,,
PreferredStockValue,,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseCurrent,9900.000,,,,,,,,,,,,5333.000
PropertyPlantAndEquipmentNet,,,,,,,,,,,329805.000,,
RetainedEarningsAccumulatedDeficit,,,,,,,,,-5058610.000,-5081611.000,-5661802.000,-6113071.000,-6219281.000
StockholdersEquity,-684918.000,-1168571.000,-1552846.000,-733344.000,-814104.000,-838927.000,-849159.000,-882557.000,-123414.000,-83415.000,-48746.000,-470515.000,-568725.000
