,2014-06-30,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,,,,,95000.000,,,,77000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,317000.000,,,,442000.000
AllowanceForLoanAndLeaseLossesWriteOffs,,,0.000,253000.000,70000.000,1900000.000,,50000.000,,,
AllowanceForLoanAndLeaseLossesWriteoffsNet,,,,,,,,,,,-231000.000
AmortizationOfDebtDiscountPremium,,,-231000.000,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,65375.000,65407.000,,,,,,,,,
AssetManagementFees1,5202000.000,6309000.000,5850000.000,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,,27000.000,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,,,63000.000,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,36000.000,,,,,,,,
AverageCollectedCashBalancesWithCommercialBanksFederalHomeLoanBank,,,,,,,505000000.000,,,,632200000.000
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAccretion,,,60000.000,,,,62000.000,,,,27000.000
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldDisposalsOfLoans,,,,,,,6000.000,,,,
ComprehensiveIncomeNetOfTax,2532000.000,2246000.000,3371000.000,1484000.000,4345000.000,1974000.000,9020000.000,5518000.000,8471000.000,-3647000.000,5655000.000
DeferredIncomeTaxExpenseBenefit,,,-185000.000,,,,534000.000,,,,726000.000
DepreciationAndAmortization,,,326000.000,,,,396000.000,,,,553000.000
EarningsPerShareBasic,0.160,0.340,0.330,0.360,0.220,0.290,0.240,0.210,0.600,-0.330,0.190
EarningsPerShareDiluted,0.160,0.320,0.320,0.350,0.210,0.280,0.230,0.200,0.580,-0.310,0.180
EquityIssuancePerShareAmount,15.000,15.000,,,,,,,,,
FinancingReceivableAllowanceForCreditLossesRecovery,,0.000,0.000,,,,,,169000.000,,231000.000
GainLossOnInvestments,,,,,,,,-2358000.000,993000.000,,
GainLossOnSaleOfSecuritiesNet,,,,,,,310000.000,,,,
GainLossOnSalesOfLoansNet,,,,,,,,,7238000.000,,300000.000
GainsLossesOnSalesOfInvestmentRealEstate,,,,,,,,,,,104000.000
ImpairedFinancingReceivableAverageRecordedInvestment,,,14266000.000,,,,7285000.000,,,,11154000.000
ImpairedFinancingReceivableInterestIncomeAccrualMethod,,,179000.000,,,,46000.000,,,,32000.000
ImpairedFinancingReceivableInterestIncomeCashBasisMethod,,,0.000,,,,0.000,,,,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,5117000.000,4803000.000,,6529000.000,5731000.000,15475000.000,10599000.000,9063000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,2361000.000,4789000.000,4567000.000,,,,,,,,
IncomeTaxExpenseBenefit,1094000.000,2130000.000,1941000.000,2175000.000,2041000.000,3297000.000,2742000.000,2407000.000,5800000.000,4082000.000,2950000.000
IncomeTaxesPaid,,,750000.000,,,,2150000.000,,,,255000.000
IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,,,-713000.000,,,,-780000.000,,,,-584000.000
IncreaseDecreaseInLoansHeldForSale,,,102506000.000,,,,287499000.000,,,,286518000.000
IncreaseDecreaseInLoansToFederalHomeLoanBanks,,,,,,,163000000.000,,,,668000000.000
IncreaseDecreaseInOtherOperatingAssets,,,-126000.000,,,,503000.000,,,,1339000.000
IncrementalCommonSharesAttributableToContingentlyIssuableShares,43333.000,64000.000,,796.000,796.000,,796.000,796.000,796.000,,1592.000
InterestAndDividendIncomeOperating,10931000.000,12384000.000,13158000.000,14993000.000,17108000.000,19212000.000,21698000.000,24573000.000,26004000.000,28367000.000,30360000.000
InterestAndDividendIncomeSecuritiesAvailableForSale,550000.000,799000.000,815000.000,822000.000,1107000.000,2483000.000,3121000.000,3100000.000,3202000.000,3358000.000,3031000.000
InterestAndFeeIncomeLoansAndLeases,10227000.000,11404000.000,12101000.000,13362000.000,15634000.000,16384000.000,18170000.000,20961000.000,22231000.000,23718000.000,26491000.000
InterestExpense,1115000.000,1237000.000,1287000.000,1569000.000,1647000.000,1778000.000,2337000.000,2652000.000,2841000.000,3363000.000,4302000.000
InterestExpenseBorrowings,277000.000,284000.000,364000.000,454000.000,319000.000,258000.000,542000.000,679000.000,415000.000,641000.000,1110000.000
InterestExpenseDeposits,838000.000,953000.000,923000.000,1115000.000,1328000.000,1520000.000,1795000.000,1973000.000,2426000.000,2722000.000,3192000.000
InterestIncomeDepositsWithFinancialInstitutions,154000.000,181000.000,242000.000,809000.000,367000.000,345000.000,407000.000,512000.000,571000.000,1291000.000,838000.000
InterestIncomeExpenseAfterProvisionForLoanLoss,9816000.000,11147000.000,11721000.000,12671000.000,14891000.000,16234000.000,18961000.000,20671000.000,21932000.000,23204000.000,25989000.000
InterestIncomeExpenseNet,9816000.000,11147000.000,11871000.000,13424000.000,15461000.000,17434000.000,19361000.000,21921000.000,23163000.000,25004000.000,26058000.000
InterestPaid,,,1180000.000,,,,2201000.000,,,,3827000.000
InvestmentAdvisoryManagementAndAdministrativeFees,,,,5922000.000,5870000.000,,6001000.000,5985000.000,6141000.000,6257000.000,6215000.000
LaborAndRelatedExpense,8034000.000,8764000.000,9180000.000,9390000.000,10870000.000,11016000.000,12724000.000,11924000.000,12059000.000,11867000.000,14755000.000
NetCashProvidedByUsedInContinuingOperations,,,5626000.000,,,,-162931000.000,,,,-521974000.000
NetCashProvidedByUsedInFinancingActivities,,,108367000.000,,,,88857000.000,,,,-292999000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,108367000.000,,,,88857000.000,,,,-292999000.000
NetCashProvidedByUsedInInvestingActivities,,,-104992000.000,,,,-255534000.000,,,,-234474000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-104992000.000,,,,-255534000.000,,,,-234474000.000
NetCashProvidedByUsedInOperatingActivities,,,2251000.000,,,,3746000.000,,,,5499000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,2251000.000,,,,3746000.000,,,,5499000.000
NetIncomeLoss,1267000.000,2659000.000,2626000.000,2942000.000,2762000.000,5048000.000,3787000.000,3324000.000,9675000.000,6517000.000,6113000.000
NetIncomeLossAvailableToCommonStockholdersBasic,,,,2942000.000,2762000.000,,3787000.000,3324000.000,9675000.000,6517000.000,6113000.000
NetIncomeLossAvailableToCommonStockholdersDiluted,1267000.000,2659000.000,2626000.000,2942000.000,2762000.000,5048000.000,3787000.000,3324000.000,9675000.000,6517000.000,6113000.000
NoninterestExpense,13871000.000,13095000.000,13358000.000,13974000.000,16956000.000,17170000.000,19417000.000,19850000.000,21536000.000,20191000.000,24709000.000
NoninterestIncome,6416000.000,6737000.000,6204000.000,6420000.000,6868000.000,9281000.000,6985000.000,4910000.000,15079000.000,7586000.000,7783000.000
NoninterestIncomeOtherOperatingIncome,1214000.000,428000.000,354000.000,498000.000,998000.000,502000.000,984000.000,1283000.000,707000.000,433000.000,1164000.000
OccupancyNet,1804000.000,1867000.000,1957000.000,1968000.000,2561000.000,2774000.000,2815000.000,2896000.000,3072000.000,3195000.000,3414000.000
OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentBeforeTaxPortionAttributableToParent,,,,,,,310000.000,,,,
OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,,,,,,,-180000.000,,,,
OtherComprehensiveIncomeAvailableforsaleSecuritiesTaxPortionAttributableToParent,,,,,,,-130000.000,,,,
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeReclassificationAdjustmentsNetOfTax,,,,,,,5413000.000,2194000.000,,,
OtherComprehensiveIncomeLossBeforeReclassificationsBeforeTax,,,,,,,,,-1033000.000,,-778000.000
OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax,,,,,,,,,-608000.000,,-458000.000
OtherComprehensiveIncomeLossBeforeReclassificationsTax,,,,,,,,,-425000.000,,-320000.000
OtherComprehensiveIncomeLossBeforeTax,2153000.000,-704000.000,1265000.000,-2478000.000,2690000.000,-5223000.000,9199000.000,3728000.000,,,
OtherComprehensiveIncomeLossNetOfTax,1265000.000,-413000.000,745000.000,-1458000.000,1583000.000,-3074000.000,5233000.000,2194000.000,-1204000.000,-10164000.000,-458000.000
OtherComprehensiveIncomeLossTax,888000.000,-291000.000,520000.000,-1020000.000,1107000.000,-2149000.000,3786000.000,1534000.000,,,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodBeforeTax,,,,,,,,,-1033000.000,,-778000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,2153000.000,-704000.000,1265000.000,-2478000.000,2690000.000,-5223000.000,9199000.000,3728000.000,,,
OtherNoninterestExpense,1934000.000,1272000.000,1163000.000,1104000.000,2044000.000,1941000.000,2155000.000,2470000.000,2880000.000,3112000.000,3111000.000
PaymentsForProceedsFromDepositOnLoan,,,1797000.000,,,,-250930000.000,,,,-353582000.000
PaymentsForProceedsFromFederalHomeLoanBankStock,,,4700000.000,,,,-4401000.000,,,,-16424000.000
PaymentsToAcquireAvailableForSaleSecurities,,,,,,,27278000.000,,,,1654000.000
PaymentsToAcquirePropertyPlantAndEquipment,,,623000.000,,,,2193000.000,,,,693000.000
ProceedsFromFederalHomeLoanBankAdvances,,,100000000.000,,,,,,,,
ProceedsFromIssuanceOrSaleOfEquity,,,50000.000,,,,927000.000,,,,1419000.000
ProceedsFromNotesPayable,,,10114000.000,,,,,,,,20000000.000
ProceedsFromSaleAndMaturityOfAvailableForSaleSecurities,,,2837000.000,,,,13877000.000,,,,16544000.000
ProceedsFromSaleOfAvailableForSaleSecurities,,,,,,,39456000.000,,,,
ProceedsFromSaleOfLoansReceivable,,,,,,,,,,,20985000.000
ProceedsFromSaleOfRealEstate,,,,,,,3702000.000,,,,438000.000
ProfessionalFees,2099000.000,1192000.000,1058000.000,1512000.000,1481000.000,1439000.000,1723000.000,2560000.000,3525000.000,2017000.000,3429000.000
ProvisionForLoanAndLeaseLosses,,0.000,150000.000,753000.000,570000.000,1200000.000,400000.000,1250000.000,1231000.000,1800000.000,69000.000
