,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalStockIssuedOwnshareLendingArrangementIssuanceCosts,,,,,,,,,,,,,,,,,0.000,,,,4925000.000
AllowanceForLoanAndLeaseLossesAdjustmentsNet,,,,,,,,,,,,,49000.000,,0.000,,,,,,
AllowanceForLoanAndLeaseLossesLoansAcquired,,,,,,,,,,,,,,,,,1300000.000,,,,2100000.000
AllowanceForLoanAndLeaseLossesProvisionForLossNet,,,,,,,320000.000,,,,,,,,,,,,,,
AmortizationOfIntangibleAssets,242000.000,277000.000,220000.000,412000.000,364000.000,363000.000,364000.000,358000.000,346000.000,346000.000,533000.000,437000.000,698000.000,662000.000,630000.000,1321000.000,1020000.000,1319000.000,993000.000,1044000.000,1036000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,408000.000,,,,268000.000,119000.000,112000.000,-493000.000,0.000,112000.000,,0.000,0.000,,
AssetsFairValueAdjustment,,,,,,,,,,,,,,,-19743000.000,,-9544000.000,,,,
AvailableForSaleSecuritiesGrossRealizedGainLossNet,,,,,,,,,,,,,,,12000.000,,94000.000,,,,0.000
AvailableForSaleSecuritiesGrossRealizedGains,,,,,,,,,,,,,,,31000.000,,312000.000,,,,0.000
AvailableForSaleSecuritiesGrossRealizedLosses,,,,,,,,,,,,,,,19000.000,,218000.000,,,,0.000
AvailableforsaleSecuritiesGrossUnrealizedGainLoss1,,,,,,,,,,,,,,,642000.000,,3673000.000,,,,-194000.000
BusinessAcquisitionProFormaEarningsPerShareBasic,,,,0.070,0.050,,,,,,,,,,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,0.070,0.040,,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,2495000.000,1903000.000,,,,,,,,,,,,,,,,
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,,,,,,,14000000.000,,4400000.000,,,,
BusinessCombinationBargainPurchaseGainRecognizedAmount,,,20037000.000,,,,,,,,,,,,,,,,,,
BusinessCombinationConsiderationTransferredEquityInterestsIssuedAndIssuable,,,,,,,,,,,,,,,,,72456000.000,,,,0.000
BusinessCombinationIntegrationRelatedCosts,,,,,,,,,,,,,551000.000,,15000.000,446000.000,6359000.000,0.000,0.000,17000.000,402000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-565000.000,,,,-29769000.000,,,,8432000.000,,,,2106000.000,,-136327000.000,,,,160824000.000
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesAccretableYieldAccretion,,,,,,,7218000.000,,,,15024000.000,,,,4466000.000,,1487000.000,,,,
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesAccretableYieldReclassificationsFromNonaccretableDifference,,,,,,,4052000.000,,,,5622000.000,,,,,,,,,,
CommonStockDividendsPerShareDeclared,,,,,,,,,,,,0.050,0.050,,0.050,0.050,0.050,0.050,0.100,0.100,0.100
ComprehensiveIncomeNetOfTax,2975000.000,16920000.000,3767000.000,2970000.000,608000.000,6401000.000,4512000.000,3985000.000,2121000.000,2499000.000,11018000.000,9879000.000,11515000.000,12703000.000,10019000.000,16752000.000,15375000.000,26598000.000,19046000.000,6670000.000,21002000.000
CurrentIncomeTaxExpenseBenefit,896000.000,8249000.000,2498000.000,,,,,,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,,,,,,,,,,,,,,,,,,,,,-580000.000
Depreciation,,,1143000.000,,,,1246000.000,,,,1871000.000,,,,1938000.000,,2723000.000,,,,2341000.000
DividendsPreferredStock,807000.000,817000.000,815000.000,817000.000,827000.000,1118000.000,441000.000,442000.000,443000.000,412000.000,286000.000,,,,,0.000,,,,,
EarningsPerShareBasic,,0.670,,,,,,,0.260,,,0.320,0.440,,,0.490,0.380,0.580,0.620,0.520,0.590
EarningsPerShareBasicAndDiluted,0.060,,0.190,0.070,,,0.200,0.260,,,0.320,,,,0.320,,,,,,
EarningsPerShareDiluted,,0.660,,,,,,,0.260,,,0.320,0.430,,,0.480,0.370,0.570,0.610,0.530,0.590
ExpenseRelatedToDistributionOrServicingAndUnderwritingFees,,,,,,,,,,,,,3186000.000,,3161000.000,1083000.000,1799000.000,1764000.000,1526000.000,1083000.000,933000.000
FDICIndemnificationAssetCashPaymentsReceived,,,,,,,,,,,,,,,6390000.000,,3299000.000,,,,
FairValueOfAssetsAcquired,,,,,,,,,,,,,,,,,,,,,0.000
FeesAndCommissionsDepositorAccounts,4665000.000,4666000.000,4386000.000,4770000.000,5121000.000,5299000.000,4837000.000,4695000.000,4948000.000,5065000.000,5586000.000,5847000.000,6659000.000,6522000.000,6429000.000,10766000.000,9915000.000,10436000.000,11358000.000,11036000.000,10563000.000
FeesAndCommissionsMortgageBanking,376000.000,707000.000,1475000.000,3006000.000,3740000.000,4768000.000,4464000.000,5001000.000,5232000.000,4431000.000,5068000.000,7002000.000,7498000.000,6418000.000,8083000.000,10404000.000,10211000.000,14142000.000,14067000.000,9878000.000,11215000.000
FeesAndCommissionsOther,273000.000,392000.000,391000.000,322000.000,331000.000,387000.000,329000.000,617000.000,593000.000,612000.000,652000.000,662000.000,690000.000,643000.000,668000.000,1145000.000,1111000.000,967000.000,791000.000,706000.000,709000.000
FinancingReceivableAllowanceForCreditLossesRecovery,,,,,,,,,,,,,644000.000,,1274000.000,1094000.000,1553000.000,739000.000,1869000.000,933000.000,596000.000
FinancingReceivableAllowanceForCreditLossesWriteOffs,,,,,,,,,,,,,2355000.000,,1648000.000,1267000.000,1814000.000,1376000.000,1451000.000,1686000.000,1102000.000
FinancingReceivableModificationsPreModificationRecordedInvestment2,,,,,,,,,,,,,,,2700000.000,,,,,,
FinancingReceivableModificationsSubsequentDefaultRecordedInvestment1,,,,,,,,,,,,,,,1500000.000,,,,,,
FinancingReceivablesImpairedTroubledDebtRestructuringWriteDown,,,,,,,2600000.000,,,,2300000.000,,,,1600000.000,,1200000.000,,,,1200000.000
GainLossOnInvestments,,,,,,,172000.000,,,,6000.000,,132000.000,,12000.000,115000.000,94000.000,0.000,0.000,0.000,0.000
GainLossOnSaleOfMortgageLoans,,,,,,,,,,,,,,,,,11405000.000,,,,9200000.000
GainLossOnSaleOfPropertyPlantEquipment,,,4000.000,,,,-6000.000,,,,18000.000,,,,-89000.000,,77000.000,,,,-295000.000
GainLossOnSaleOfSecuritiesNet,14000.000,,,,,,172000.000,-1000.000,,,,,,,,,,,,,
GainLossOnSalesOfLoansNet,,,,,,,,,,,,,,,909000.000,,1086000.000,,,,1407000.000
GainOnPurchaseOfBusiness,,26867000.000,20037000.000,,,,,,,,,,,,,,,,,,
GainsLossesOnSalesOfOtherRealEstate,,,-7252000.000,,,,-3047000.000,,,,-921000.000,,,,-1834000.000,,-1498000.000,,,,127000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,3010000.000,24709000.000,7863000.000,3908000.000,2719000.000,7230000.000,7891000.000,10007000.000,9939000.000,1466000.000,12273000.000,12400000.000,16785000.000,14747000.000,14511000.000,22995000.000,18441000.000,29720000.000,31921000.000,25164000.000,31367000.000
IncomeTaxExpenseBenefit,,,,1413000.000,816000.000,,2606000.000,3329000.000,3262000.000,88000.000,3923000.000,4270000.000,5122000.000,4167000.000,4747000.000,7368000.000,6124000.000,9671000.000,10364000.000,6987000.000,10214000.000
IncomeTaxesPaidNet,,,,,,,780000.000,,,,,,,,215000.000,,804000.000,,,,18000.000
IncreaseDecreaseInDeposits,,,-187242000.000,,,,-134690000.000,,,,11416000.000,,,,49082000.000,,-49863000.000,,,,67206000.000
IncreaseDecreaseInFederalFundsSold,,,,,,,112472000.000,,,,156307000.000,,,,33834000.000,,,,,,
IncreaseDecreaseInMortgageLoansHeldForSale,,,3300000.000,,,,-6454000.000,,,,-15585000.000,,,,,,,,,,
IncreaseDecreaseInOtherOperatingCapitalNet,,,-4201000.000,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,,,-11571000.000,,,,-2489000.000,,,,,,,,,,
IncreaseDecreaseOfRestrictedInvestments,,,,,,,-1304000.000,,,,-7506000.000,,,,-1639000.000,,1274000.000,,,,642000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,105000.000,105000.000,,63000.000,346000.000,62000.000,,95000.000,120000.000,111000.000,,,,,,,,
InformationTechnologyAndDataProcessing,2452000.000,2817000.000,1925000.000,2905000.000,2599000.000,3254000.000,2570000.000,2836000.000,3072000.000,3061000.000,3454000.000,3940000.000,3928000.000,4229000.000,4260000.000,5329000.000,6113000.000,6049000.000,6185000.000,6244000.000,6572000.000
InterestAndDividendIncomeOperating,35923000.000,34788000.000,32282000.000,33007000.000,31651000.000,32539000.000,30873000.000,31951000.000,31749000.000,31749000.000,37873000.000,38607000.000,43186000.000,44900000.000,42368000.000,51195000.000,54559000.000,59340000.000,62210000.000,62956000.000,67050000.000
InterestAndFeeIncomeLoansAndLeases,32876000.000,31633000.000,29482000.000,30334000.000,29165000.000,30329000.000,28716000.000,29859000.000,29633000.000,29289000.000,34469000.000,35297000.000,39610000.000,41235000.000,38618000.000,45775000.000,49191000.000,54164000.000,57322000.000,57982000.000,61521000.000
InterestExpense,7176000.000,6986000.000,4555000.000,4126000.000,3413000.000,2980000.000,2535000.000,2475000.000,2429000.000,2698000.000,3389000.000,3343000.000,4054000.000,3894000.000,3536000.000,3796000.000,4123000.000,4751000.000,5143000.000,5677000.000,6460000.000
InterestExpenseBorrowings,351000.000,555000.000,471000.000,491000.000,408000.000,377000.000,309000.000,392000.000,404000.000,632000.000,1206000.000,1138000.000,1514000.000,1334000.000,1256000.000,1275000.000,1382000.000,1836000.000,2069000.000,1997000.000,2697000.000
InterestExpenseDeposits,6828000.000,6431000.000,4084000.000,3635000.000,3005000.000,2603000.000,2226000.000,2083000.000,2025000.000,2066000.000,2183000.000,2205000.000,2540000.000,2560000.000,2280000.000,2521000.000,2741000.000,2915000.000,3074000.000,3680000.000,3763000.000
InterestIncomeDepositsWithFinancialInstitutions,159000.000,153000.000,120000.000,112000.000,104000.000,98000.000,85000.000,29000.000,44000.000,118000.000,79000.000,,,,,,,,,,
InterestIncomeExpenseAfterProvisionForLoanLoss,19632000.000,20250000.000,14845000.000,21656000.000,21698000.000,25117000.000,25415000.000,25311000.000,26400000.000,27573000.000,32758000.000,33899000.000,37463000.000,40118000.000,37763000.000,46413000.000,49755000.000,53700000.000,56256000.000,55569000.000,58754000.000
