,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,1048000.000,917000.000,1205000.000,502000.000,591000.000,1020000.000,431000.000,527000.000,591000.000,556000.000,474000.000
AccruedLiabilitiesCurrent,1610000.000,1421000.000,1429000.000,2202000.000,2235000.000,2576000.000,2838000.000,3970000.000,4186000.000,4523000.000,2549000.000
AccruedProfessionalFeesCurrent,,286000.000,,,,478000.000,,,,493000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,384000.000,,,,441000.000,,,,565000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-11000.000,-6000.000,,3000.000,6000.000,-11000.000,12000.000,10000.000,8000.000,,
AdditionalPaidInCapital,,192324000.000,192731000.000,193266000.000,193919000.000,194651000.000,195529000.000,196607000.000,197310000.000,198201000.000,199259000.000
Assets,24179000.000,84798000.000,80927000.000,76575000.000,72284000.000,67538000.000,61342000.000,55663000.000,49395000.000,43520000.000,36024000.000
AssetsCurrent,21920000.000,84601000.000,80733000.000,75788000.000,71377000.000,66608000.000,60441000.000,54906000.000,48723000.000,42755000.000,35387000.000
AssetsFairValueDisclosure,21680000.000,83585000.000,79519000.000,74027000.000,70208000.000,64465000.000,58199000.000,51622000.000,38414000.000,33801000.000,21507000.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,14761000.000,69741000.000,57916000.000,,25243000.000,35314000.000,19476000.000,20288000.000,4924000.000,
AvailableForSaleSecurities,,14755000.000,69741000.000,57919000.000,,25232000.000,35326000.000,19486000.000,20296000.000,4925000.000,0.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,1000.000,13000.000,10000.000,8000.000,1000.000,
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,12000.000,1000.000,,,,
AvailableForSaleSecuritiesCurrent,18447000.000,14755000.000,69741000.000,57919000.000,34565000.000,25232000.000,35326000.000,19486000.000,20296000.000,4925000.000,
CashAndCashEquivalentsAtCarryingValue,3239000.000,68840000.000,9784000.000,16817000.000,35983000.000,40031000.000,24062000.000,34186000.000,26678000.000,36392000.000,34132000.000
CashCashEquivalentsAndShortTermInvestments,21700000.000,83600000.000,79500000.000,74700000.000,70500000.000,65300000.000,59400000.000,53700000.000,47000000.000,41300000.000,34100000.000
CommonStockCapitalSharesReservedForFutureIssuance,10634030000.000,1947849.000,2770070.000,2760284.000,2739254.000,2717260.000,3370926.000,3304138.000,3295851.000,3275291.000,3865432.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,205926290.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,240614.000,16448455.000,16448691.000,16458477.000,16479508.000,16501500.000,16507894.000,16574682.000,16582999.000,16603559.000,16771072.000
CommonStockSharesOutstanding,240614.000,16448455.000,16448691.000,16458477.000,16479508.000,16501500.000,16507894.000,16574682.000,16582999.000,16603559.000,16771072.000
CommonStockValue,,16000.000,16000.000,16000.000,16000.000,16000.000,16000.000,16000.000,17000.000,17000.000,17000.000
DeferredFinanceCostsGross,,18000.000,,,,100000.000,,,,,
DeferredTaxAssetsGoodwillAndIntangibleAssets,,531000.000,,,,443000.000,,,,360000.000,
DeferredTaxAssetsGross,,42452000.000,,,,52234000.000,,,,61038000.000,
DeferredTaxAssetsNet,,,,,,0.000,,,,0.000,
DeferredTaxAssetsOperatingLossCarryforwards,,29217000.000,,,,34488000.000,,,,37237000.000,
DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration,,12500000.000,,,,,,,,,
DeferredTaxAssetsOther,,100000.000,,,,276000.000,,,,321000.000,
DeferredTaxAssetsTaxCreditCarryforwardsGeneralBusiness,,12126000.000,,,,16404000.000,,,,21223000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,596000.000,,,,1353000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,478000.000,,,,27000.000,,,,544000.000,
DeferredTaxAssetsValuationAllowance,,42452000.000,,,,52234000.000,,,,61038000.000,
DepositsAssetsCurrent,39000.000,,,,,,,,,,
EmbeddedDerivativeFairValueOfEmbeddedDerivativeLiability,,0.000,,,,,,,,,
EmployeeRelatedLiabilitiesCurrent,,641000.000,,,,1058000.000,,,,1139000.000,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,,2100000.000,,,,9600000.000,,,,5600000.000,
FinancialLiabilitiesFairValueDisclosure,11903000.000,,,,,,,,,,
ForeignCurrencyContractsLiabilityFairValueDisclosure,,,,,,,,241000.000,98000.000,,
InterestPayableCurrent,0.000,0.000,,,,,,,,,
LettersOfCreditOutstandingAmount,,38000.000,14000.000,14000.000,14000.000,14000.000,14000.000,14000.000,14000.000,14000.000,14000.000
Liabilities,14561000.000,2338000.000,2634000.000,2816000.000,3252000.000,4133000.000,3588000.000,4738000.000,4942000.000,5079000.000,3023000.000
