,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,-2817.000,,,,2640000.000,,,,
AdministrativeFeesExpense,30000.000,30000.000,30000.000,30000.000,0.000,0.000,0.000,0.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,1363870.000
CashPeriodIncreaseDecrease,-171044.000,,,,-213959.000,,,,77538.000
EarningsPerShareBasicAndDiluted,-0.040,-0.030,-0.030,-0.030,-0.010,-0.130,-0.010,-0.060,-0.020
EffectiveIncomeTaxRateContinuingOperations,0.000,,0.000,,0.000,0.000,0.000,0.000,
GainLossOnInvestments,2188.000,,,,80271.000,,,,
GeneralAndAdministrativeExpense,,,,,,,173528.000,,160633.000
GeneralInsuranceExpense,47229.000,47231.000,,,,,,,
IncomeTaxExpenseBenefit,45605.000,45000.000,45000.000,45000.000,45000.000,45000.000,,,
IncomeTaxesPaid,79016.000,,,,116927.000,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,73233.000,,,,4046.000,,,,73106.000
IncreaseDecreaseInAccruedTaxesPayable,-33411.000,,,,-71877.000,,,,5250.000
IncreaseDecreaseInDueToAffiliates,71175.000,,,,19952.000,,,,0.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,9292.000,,,,30000.000,,,,-40370.000
InterestIncomeOperating,377.000,324.000,259.000,195.000,131.000,0.000,110532.000,204075.000,25574.000
InvestmentIncomeInterest,2188.000,2214.000,2237.000,9662.000,80271.000,99771.000,,,
MarketableSecuritiesGainLossExcludingOtherThanTemporaryImpairments,,,,,,,,,25574.000
NetCashProvidedByUsedInFinancingActivities,-13700.000,,,,2817.000,,,,250000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-13700.000,,,,2817.000,,,,250000.000
NetCashProvidedByUsedInInvestingActivities,0.000,,,,35503.000,,,,-125305.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000,,,,35503.000,,,,-125305.000
NetCashProvidedByUsedInOperatingActivities,-157344.000,,,,-252279.000,,,,-47157.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-157344.000,,,,-252279.000,,,,-47157.000
NetIncomeLoss,-256861.000,-235052.000,-243545.000,-229060.000,-94129.000,-902537.000,-62996.000,-408831.000,-140309.000
NonoperatingIncomeExpense,-259426.000,-237590.000,-246041.000,-238917.000,-174531.000,-1002308.000,,,
OperatingExpenses,,,,,,,,,165883.000
OperatingIncomeLoss,,,,,,,-173528.000,,-165883.000
OtherNonoperatingExpense,29844.000,21141.000,74816.000,141328.000,44074.000,31349.000,,,
PaymentsOfStockIssuanceCosts,13700.000,,,,-2817.000,,,,
PaymentsToAcquireRestrictedInvestments,240000000.000,,,,240000000.000,,,,
PaymentsToFundLongtermLoansToRelatedParties,,,,,,,,,125305.000
ProceedsFromInterestReceived,2188.000,,,,80271.000,,,,
ProceedsFromRepaymentsOfRelatedPartyDebt,,,,,,,,,250000.000
ProfessionalFees,61748.000,49218.000,51225.000,72049.000,40457.000,880959.000,,,
Revenues,2565.000,2538.000,2496.000,9857.000,80402.000,99771.000,,,0.000
SalesRevenueNet,2565.000,2538.000,2496.000,9857.000,80402.000,99771.000,,,0.000
StockRepurchasedDuringPeriodShares,,,,,,,,,21493889.000
TaxesExcludingIncomeAndExciseTaxes,,,,,,,,,5250.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,7203520.000,7228901.000,7251819.000,-14443761.000,7296611.000,7045813.000,7135143.000,-14322982.000,7119619.000
