,2011-06-30,2011-09-30,2011-12-31
AdjustmentForAmortization,250.000,,
AdjustmentsToAdditionalPaidInCapitalOther,-44550.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,1110.000,,
Depreciation,0.000,,
DepreciationAndAmortization,250.000,250.000,36915.000
EarningsPerShareBasicAndDiluted,0.000,0.000,0.000
GeneralAndAdministrativeExpense,23890.000,57394.000,71726.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-51140.000,-57644.000,-136638.000
IncomeTaxExpenseBenefit,0.000,0.000,0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,0.000,,
IncreaseDecreaseInAccountsReceivable,0.000,,
IncreaseDecreaseInDerivativeLiabilities,-15000.000,,
InterestExpense,0.000,0.000,320.000
LossOnDerivativeInstrumentsPretax,27000.000,0.000,7000.000
NetCashProvidedByUsedInFinancingActivities,67000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,67000.000,,
NetCashProvidedByUsedInOperatingActivities,-65890.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-65890.000,,
NetIncomeLoss,-51140.000,-57644.000,-136638.000
NonoperatingIncomeExpense,-27000.000,0.000,-27997.000
OperatingExpenses,24140.000,57644.000,108641.000
OperatingIncomeLoss,-24140.000,-57644.000,-108641.000
OtherExpenses,,,20677.000
OtherNonoperatingIncome,0.000,,0.000
ProceedsFromConvertibleDebt,25000.000,,
ProceedsFromIssuanceOfCommonStock,450.000,,
ProceedsFromRepaymentsOfBankOverdrafts,0.000,,
RepaymentsOfConvertibleDebt,3000.000,,
WeightedAverageNumberOfDilutedSharesOutstanding,78722210.000,81888877.000,89888877.000
