,2011-06-30,2011-12-31,2012-03-31,2015-06-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationEmployeeStockPurchaseProgramRequisiteServicePeriodRecognition,,182000.000,,,,,,,
AllocatedShareBasedCompensationExpense,,,,,,,,,214150.000
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,,,,,,,33837.000
AmortizationOfDebtDiscountPremium,,48000.000,,,54672.000,,,,45673.000
AmortizationOfFinancingCosts,,232000.000,167000.000,,109315.000,,,,397221.000
AmortizationOfFinancingCostsAndDiscounts,,,,,109315.000,109315.000,109314.000,,397221.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,767965413.000,1187050014.000,,,,21558940.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,1226000.000,,,-50500.000,,,,
CashPeriodIncreaseDecrease,,,,,,,,,-1409282.000
ComprehensiveIncomeNetOfTax,-430000.000,-497000.000,-1469000.000,,,,,,
ConcentrationRiskPercentage1,,,,,,,,,1.000
CostOfGoodsAndServicesSold,,3685000.000,2075000.000,,,,,,
CostOfGoodsSold,181000.000,77000.000,41000.000,,,,,,
CostOfRevenue,,,,3147283.000,1313005.000,1933358.000,2402605.000,3199286.000,2678402.000
CostOfServices,2309000.000,3608000.000,2034000.000,,,,,,
DebtInstrumentDecreaseForgiveness,,,,0.000,,,,,
DeferredIncomeTaxExpenseBenefit,,15000.000,,,,,,,
Depreciation,,,,,109581.000,,,,138012.000
DepreciationAndAmortization,,,,31567.000,218896.000,236470.000,-247512.000,-1449085.000,
DerivativeGainLossOnDerivativeNet,0.000,,,,,,,,
DividendsPreferredStock,26000.000,29000.000,44000.000,,19890.000,,,,-19891.000
DividendsPreferredStockStock,,-29000.000,,,,,,,
EarningsPerShareBasic,,,,-0.030,,,,,
EarningsPerShareBasicAndDiluted,-0.010,-0.020,-0.040,,-0.020,-0.020,-0.020,,-0.040
EarningsPerShareDiluted,,,,-0.030,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,,141000.000,,,,,,,
FairValueAdjustmentOfWarrants,,,,,,,,,2199700.000
ForeignCurrencyTransactionGainLossBeforeTax,,-227000.000,57000.000,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,,,,-313900.000,,
GrossProfit,2012000.000,2317000.000,1242000.000,923342.000,780387.000,1229356.000,1425248.000,-14166.000,2407530.000
IncentiveFeeExpense,,,,,35186.000,,,,
IncomeLossFromContinuingOperations,-396000.000,-567000.000,-1524000.000,,-1099355.000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,-535000.000,-1526000.000,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-321000.000,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.010,-0.020,-0.040,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,0.000,0.000,0.000,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,0.000,0.000,0.000,,,,,,
IncomeTaxExaminationPenaltiesAndInterestExpense,,,,,,,,,300000.000
IncomeTaxExpenseBenefit,75000.000,32000.000,-2000.000,,,,,,
IncomeTaxesPaid,,0.000,,,,,,,
IncreaseDecreaseInAccountsPayable,,-812000.000,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,349883.000,,,,273902.000
IncreaseDecreaseInAccountsReceivable,,-83000.000,,,1254109.000,,,,2931459.000
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,,1380000.000,,,,,,,
IncreaseDecreaseInDueToRelatedParties,,,,,,,,,90388.000
IncreaseDecreaseInInventories,,-5000.000,,,,,,,
IncreaseDecreaseInOtherCurrentAssets,,,,,474177.000,,,,484117.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,219000.000,,,,,,,
IncrementalCommonSharesAttributableToConversionOfDebtSecurities,,,,0.000,,,,,
InterestExpense,,,,180413.000,486444.000,475674.000,490236.000,819919.000,
InterestExpenseOther,,132000.000,159000.000,180413.000,486444.000,475674.000,490236.000,819919.000,734224.000
InterestPaid,,84000.000,,,459592.000,,,,734224.000
InventoryWriteDown,,-5000.000,,,,,,,
LaborAndRelatedExpense,758000.000,1464000.000,1433000.000,,,,,,
LeaseAndRentalExpense,,,,55080.000,125777.000,79301.000,158469.000,227858.000,115110.000
NetCashProvidedByUsedInFinancingActivities,,646000.000,,,-200083.000,,,,2976182.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,646000.000,,,-200083.000,,,,2976182.000
NetCashProvidedByUsedInInvestingActivities,,-85000.000,,,2237903.000,,,,-971618.000
