,2011-03-31,2011-06-30,2011-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,1900037.000,1969377.000,2038725.000
AccountsPayableRelatedPartiesCurrent,2174000.000,2262000.000,2351000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,4015.000,4392.000,4773.000
AdditionalPaidInCapital,12810554.000,13178054.000,13030936.000
Assets,93240.000,435734.000,420114.000
AssetsCurrent,62993.000,409238.000,397410.000
CashAndCashEquivalentsAtCarryingValue,598.000,1919.000,2267.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,172127287.000,177127287.000,177127287.000
CommonStockSharesOutstanding,172127287.000,177127287.000,177127287.000
CommonStockSharesSubscriptions,,20000.000,20000.000
CommonStockValue,172127.000,177127.000,177127.000
DepositsAssetsCurrent,,301000.000,301000.000
DueToRelatedPartiesCurrent,911500.000,971500.000,1026500.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,12753.000,16126.000,19537.000
Liabilities,7718776.000,7936116.000,8149464.000
LiabilitiesAndStockholdersEquity,93240.000,435734.000,420114.000
LiabilitiesCurrent,7718776.000,7936116.000,8149464.000
LoansPayableCurrent,,878239.000,878239.000
NotesPayableCurrent,1855000.000,1855000.000,1855000.000
OtherAssetsNoncurrent,27841.000,24468.000,21057.000
OtherLiabilitiesCurrent,878239.000,,
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001
PreferredStockSharesAuthorized,50000000.000,50000000.000,50000000.000
PreferredStockValue,,7500.000,7500.000
PrepaidExpenseCurrent,62395.000,106319.000,94143.000
PropertyPlantAndEquipmentNet,2406.000,2028.000,1647.000
RetainedEarningsAccumulatedDeficit,-20448967.000,-20686813.000,-20915781.000
StockholdersEquity,-7625536.000,-7500382.000,-7729350.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-7625536.000,-7500382.000,-7729350.000
