,2011-12-31,2012-03-31,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfDebtDiscountPremium,,,,,,,,40000.000,,,,,,,,,,
AmortizationOfIntangibleAssets,,,,,,,,792.000,619.000,,,,667.000,,,,68832.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,179.000,,70.000,,,,237.000,62065.000,-58654.000,,,,51477.000,,,,-231137.000,
ConversionOfStockAmountIssued1,,,0.000,,,,,,,,,,,,,,,
CostOfRevenue,,,,,,,,700.000,,,,,,,,,17974.000,174614.000
CostOfServicesDirectLabor,,,,,,,,,,,,,,,,,,9289.000
DebtConversionConvertedInstrumentAmount1,0.000,,,,,,0.000,40000.000,50000.000,,,,,,,,,
Depreciation,,,,,,,,,21.000,,,,6451.000,,,,26220.000,
DepreciationAndAmortization,,,,,,,,,640.000,689.000,731.000,740.000,7128.000,13357.000,13426.000,544545.000,488758.000,809786.000
DepreciationDepletionAndAmortization,,,,,,,,,640.000,,,,7128.000,,,,488758.000,
EarningsPerShareBasic,,,,,,,,,,,0.000,,-0.000,-0.010,-0.010,-0.090,-0.030,-0.040
EarningsPerShareBasicAndDiluted,-0.010,-0.010,-0.010,-0.010,-0.010,0.000,-0.010,0.000,-0.030,-0.520,,,,,,,,
EarningsPerShareDiluted,,,,,,,,,,-0.470,,,,,,,,
GainLossOnDispositionOfAssets,,,,,,,,,,,,,,,,,-12817.000,
GainLossOnDispositionOfAssets1,,,,,,,,,,,,,,-721.000,,,,
GainsLossesOnExtinguishmentOfDebt,0.000,-1353.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,
GeneralAndAdministrativeExpense,4811.000,2736.000,8176.000,4410.000,3837.000,8622.000,8287.000,9457.000,17782.000,13130.000,8258.000,7645.000,17068.000,9551.000,15674.000,43850.000,67265.000,78137.000
GrossProfit,,,,,,,,1855.000,,,,,,,,,65910.000,26135.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-6131.000,0.000,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,,,-9744.000,-6055.000,-5534.000,-10439.000,-10215.000,,,,,,,,,,,
IncomeTaxExpenseBenefit,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,
IncomeTaxesPaidNet,0.000,,0.000,,,,0.000,,,,,,,,,,,
IncreaseDecreaseInAccountsPayable,-860.000,,3155.000,,,,5024.000,-10060.000,-1230.000,,,,-15752.000,,,,-24786.000,
IncreaseDecreaseInAccountsPayableRelatedParties,,,,,,,,,48.000,,,,,,,,27581.000,
IncreaseDecreaseInAccountsReceivable,,,,,,,,,,,,,,,,,-18012.000,
