,2011-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,61384.000
DepreciationAndAmortization,27155.000
EarningsPerShareDiluted,-0.020
GeneralAndAdministrativeExpense,193634.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-1088723.000
IncreaseDecreaseInAccountsPayable,-31072.000
IncreaseDecreaseInEmployeeRelatedLiabilities,-12542.000
IncreaseDecreaseInInterestPayableNet,71427.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,75146.000
InterestExpense,192856.000
MarketingAndAdvertisingExpense,113116.000
NetCashProvidedByUsedInFinancingActivities,913668.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,913668.000
NetCashProvidedByUsedInInvestingActivities,-12147.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-12147.000
NetCashProvidedByUsedInOperatingActivities,-840137.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-840137.000
NetIncomeLoss,-1088723.000
NonoperatingIncomeExpense,-192856.000
OperatingExpenses,895867.000
OperatingIncomeLoss,-895867.000
PaymentsToAcquirePropertyPlantAndEquipment,12147.000
ProceedsFromIssuanceOfCommonStock,637000.000
ProceedsFromNotesPayable,307627.000
ProceedsFromRepaymentsOfBankOverdrafts,-6324.000
ProfessionalFees,299462.000
RepaymentsOfNotesPayable,24635.000
ShareBasedCompensation,262500.000
WeightedAverageNumberOfSharesOutstandingBasic,54139447.000
