,2011-01-28,2012-02-03,2013-02-01
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,26000000.000,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,332000000.000,365000000.000,358000000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,-14000000.000,-8000000.000,-27000000.000
AllocatedShareBasedCompensationExpenseNetOfTax,,254000000.000,243000000.000
AllowanceForLoanAndLeaseLossesProvisionForLossGross,258000000.000,,
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,27000000.000,,
AmortizationOfIntangibleAssets,349000000.000,391000000.000,613000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,179000000.000,142000000.000,121000000.000
AvailableForSaleSecuritiesGrossRealizedGainLossNet,6000000.000,8000000.000,35000000.000
AvailableForSaleSecuritiesGrossRealizedGains,7000000.000,49000000.000,36000000.000
AvailableForSaleSecuritiesGrossRealizedLosses,1000000.000,41000000.000,1000000.000
AvailableForSaleSecuritiesGrossUnrealizedGains,2000000.000,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,-1000000.000,,
BusinessAcquisitionProFormaEarningsPerShareBasic,,,1.310
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,1.300
BusinessAcquisitionsProFormaNetIncomeLoss,,,2287000000.000
BusinessAcquisitionsProFormaRevenue,,,57685000000.000
BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual,,,-168000000.000
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,,,763000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,3278000000.000,-61000000.000,-1283000000.000
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAccretion,-29000000.000,88000000.000,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAdditions,166000000.000,0.000,
