,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsAndNotesReceivableNet,,,,,,,,,,,,,28146.000,,,,51898.000,54236.000,57598.000,60687.000,63715.000,66500.000
AccountsNotesAndLoansReceivableNetCurrent,,,,,,,,,,,,,,30074.000,90074.000,90074.000,,,,,,
AccountsPayableAndAccruedLiabilitiesCurrent,618395.000,1427548.000,,1230105.000,1442177.000,1691515.000,1844371.000,2104965.000,2326283.000,2577994.000,2846362.000,3124949.000,3408864.000,3693514.000,3995610.000,4306545.000,4634763.000,4953240.000,5280633.000,5599403.000,5929729.000,6275523.000
AccountsPayableCurrent,,,148225.000,246298.000,230691.000,277809.000,314099.000,285195.000,253347.000,211803.000,262214.000,254501.000,257949.000,244918.000,219486.000,197213.000,284912.000,283337.000,227626.000,247302.000,274750.000,275618.000
AccountsReceivableNetCurrent,120.000,650547.000,300192.000,216584.000,230691.000,235492.000,336293.000,366600.000,0.000,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,,,892525.000,1230105.000,1442177.000,1691515.000,1844371.000,2104965.000,2326283.000,2577994.000,2846362.000,3124949.000,3408864.000,3693514.000,3995610.000,4306545.000,4634763.000,4953240.000,5280633.000,5599403.000,5929729.000,6275523.000
AccruedLiabilitiesCurrentAndNoncurrent,,,,,,1442.000,,,,,,,,,,,,,,,,
AccruedProfessionalFeesCurrent,,,,146639.000,150598.000,180569.000,149348.000,132275.000,116900.000,152742.000,153501.000,157099.000,111900.000,147990.000,149119.000,126612.000,114900.000,110000.000,111900.000,113548.000,99197.000,99817.000
AccruedRentCurrent,,,,0.000,12158.000,12150.000,0.000,,11789.000,12006.000,12222.000,12324.000,12196.000,12069.000,11940.000,11693.000,11209.000,10726.000,10242.000,9637.000,8787.000,7937.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,90991.000,94459.000,666556.000,727292.000,-621876.000,654264.000,674979.000,683370.000,105795.000,106825.000,107974.000,109148.000,110583.000,111832.000,112824.000,113742.000,114225.000,114675.000,115124.000,115782.000,116530.000,117278.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,-78809.000,-109347.000,-46570.000,-210049.000,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,-114801.000,-78809.000,-109347.000,-46570.000,-210049.000,-122788.000,0.000,,,,,,,,,,,,,
AdditionalPaidInCapital,45571867.000,48799510.000,50876976.000,52650922.000,52658185.000,52708580.000,52714100.000,52714100.000,52726105.000,52726105.000,52726105.000,52726105.000,52726105.000,52726105.000,52726105.000,52726105.000,52728745.000,52733065.000,52733065.000,52733065.000,52733065.000,52733065.000
AllowanceForDoubtfulAccountsPremiumsAndOtherReceivables,,,,,,,,,,,,,0.000,,,,0.000,0.000,0.000,0.000,0.000,0.000
