,2015-06-27,2015-09-26,2015-12-26,2016-03-26,2016-06-25,2016-09-24,2016-12-31,2017-04-01
AccountsPayableCurrent,1193000.000,1331000.000,1360000.000,1353000.000,1616000.000,1693000.000,1458000.000,1797000.000
AccountsReceivableNetCurrent,2577000.000,2404000.000,3404000.000,2556000.000,2581000.000,2529000.000,3199000.000,3259000.000
AccruedLiabilitiesForUnredeeemedGiftCards,,,,,,,936000.000,
AccruedProfessionalFeesCurrent,450000.000,1116000.000,433000.000,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,8121000.000,,,,8965000.000,
AdditionalPaidInCapital,36064000.000,36034000.000,36870000.000,37479000.000,38074000.000,185000.000,1194000.000,2028000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,26000.000,,,,,
Assets,117379000.000,117186000.000,121142000.000,116607000.000,116758000.000,112339000.000,111800000.000,113155000.000
AssetsCurrent,16245000.000,15350000.000,19620000.000,16048000.000,16269000.000,11370000.000,11116000.000,12857000.000
CashAndCashEquivalentsAtCarryingValue,4875000.000,5717000.000,10690000.000,8316000.000,10014000.000,3828000.000,3750000.000,3436000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,28581182.000,28581182.000,28581182.000,28635138.000,28680544.000,28731042.000,28747392.000,28977030.000
CommonStockSharesOutstanding,28581182.000,28581182.000,28581182.000,28635138.000,28680544.000,28731042.000,28747392.000,28977030.000
CommonStockValue,286000.000,286000.000,286000.000,286000.000,287000.000,287000.000,287000.000,290000.000
DeferredFinanceCostsGross,,,,,,1200000.000,,
DeferredIncomeTaxLiabilities,,,19064000.000,,,,18613000.000,
DeferredRevenueCurrent,1639000.000,1686000.000,1744000.000,,,,1547000.000,
DeferredRevenueNoncurrent,7333000.000,7435000.000,7623000.000,6994000.000,7069000.000,7272000.000,7868000.000,8043000.000
DeferredTaxAssetsDeferredIncome,,,3383000.000,,,,3394000.000,
DeferredTaxAssetsGoodwillAndIntangibleAssets,,,788000.000,,,,593000.000,
DeferredTaxAssetsInventory,,,9000.000,,,,,
DeferredTaxAssetsLiabilitiesNetCurrent,1400000.000,1308000.000,,,,,,
DeferredTaxAssetsNet,,,6046000.000,,,,6309000.000,
DeferredTaxAssetsOther,,,83000.000,,,,248000.000,
DeferredTaxAssetsPropertyPlantAndEquipment,,,66000.000,,,,136000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits,,,0.000,,,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBonuses,,,424000.000,,,,706000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,569000.000,,,,818000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,,,9000.000,,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsDeferredRent,,,397000.000,,,,453000.000,
DeferredTaxAssetsValuationAllowance,,,482000.000,,,,482000.000,
DeferredTaxLiabilities,,,13018000.000,,,,12304000.000,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,,19064000.000,,,,18613000.000,
DeferredTaxLiabilitiesNoncurrent,14804000.000,14657000.000,13018000.000,13025000.000,12887000.000,12950000.000,12304000.000,12373000.000
