,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,76582.000,77767.000,79284.000,82940.000,76944.000,89419.000,85907.000,87732.000,78531.000,68521.000,79154.000,87185.000,89039.000,93580.000
AccountsPayableCurrent,77984.000,36888.000,57643.000,58874.000,63400.000,,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,8300.000,8300.000,8300.000,8300.000,8300.000,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,-4353.000,4353.000,4353.000,4353.000,4353.000,4353.000,4353.000,4353.000,4353.000,4353.000,4353.000,4353.000,4353.000,4353.000,4353.000,4353.000,4353.000,118127.000,4353.000
AdditionalPaidInCapital,28780947.000,28780947.000,28780947.000,28780947.000,28780947.000,59263491.000,11433491.000,11433491.000,11433491.000,11433491.000,11433491.000,11433491.000,11433491.000,11433491.000,11433491.000,11433491.000,11433491.000,11433491.000,11433491.000
Assets,487485.000,212.000,65.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,117828.000,137432.000,137366.000,3000.000,3000.000
AssetsCurrent,212.000,212.000,65.000,0.000,0.000,,,,,,,,,,4054.000,23658.000,23592.000,3000.000,3000.000
AssetsNoncurrent,487273.000,0.000,,,,,,,,,,,,,,,,,
BusinessAcquisitionEquityInterestIssuedOrIssuableValueAssigned,41352783.000,41352783.000,30480793.000,30480793.000,30480793.000,,,,,,,,,,,,,,
CapitalizedComputerSoftwareGross,,,,,,,,,,,,,,,113774.000,113774.000,113774.000,,
Cash,212.000,212.000,65.000,,0.000,,,,,,,,,,4054.000,658.000,592.000,,
CashAndCashEquivalentsAtCarryingValue,,,,0.000,-85.000,0.000,0.000,,,,,,,,,0.000,0.000,0.000,0.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,4500000000.000,4500000000.000,110000000000.000,4500000000.000,4500000000.000,110000000000.000,110000000000.000,110000000000.000,110000000000.000,110000000000.000,110000000000.000,110000000000.000,110000000000.000,110000000000.000,110000000000.000,110000000000.000,110000000000.000,110000000000.000,110000000000.000
CommonStockSharesIssued,4257994016.000,4257994016.000,19789407996.000,19789407996.000,19789407996.000,19789407996.000,19789407996.000,19789407996.000,19789407996.000,19789407996.000,19789407996.000,19789407996.000,19789407996.000,19789407996.000,89789407996.000,89789407996.000,89789407996.000,89789407996.000,89789407996.000
CommonStockSharesOutstanding,4257994016.000,4257994016.000,19789407996.000,19789407996.000,19789407996.000,19789407996.000,19789407996.000,19789407996.000,19789407996.000,19789407996.000,19789407996.000,19789407996.000,19789407996.000,19789407996.000,89789407996.000,89789407996.000,89789407996.000,89789407996.000,89789407996.000
CommonStockValue,2980596.000,2980596.000,13852586.000,13852586.000,13852586.000,13852585.000,13852585.000,13852585.000,13852585.000,13852585.000,13852585.000,13852585.000,13852585.000,13852585.000,62852585.000,62852585.000,62852585.000,62852585.000,62852585.000
ConvertibleLongTermNotesPayable,,,,,,,,,,16436.000,21474.000,21474.000,21474.000,21474.000,,,,,
ConvertibleNotesPayableCurrent,,,,,,,,,,,,,,,21474.000,21474.000,21474.000,21474.000,21474.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,,,,,,,,26000000.000,26000000.000,26000000.000,26000000.000,23000000.000
