,2011-12-31,2012-12-31
AmortizationOfIntangibleAssets,,60700000.000
AssetImpairmentCharges,23663000.000,16058000.000
AssetManagementCosts,,18553000.000
BusinessCombinationBargainPurchaseGainRecognizedAmount,28709000.000,1617000.000
CapitalLeasesIncomeStatementDirectFinancingLeaseRevenue,36726000.000,39853000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,50682000.000,-43289000.000
CommonStockDividendsPerShareDeclared,0.664,
ComprehensiveIncomeNetOfTax,-15102000.000,18553000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,15178000.000,26745000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,1479000.000,43547000.000
ContributionsFromNoncontrollingInterests,,20797000.000
CostsAndExpenses,215034000.000,180642000.000
DeconsolidationGainOrLossAmount,1167000.000,0.000
DepreciationAndAmortization,87566000.000,98524000.000
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,-28000.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,81000.000,-4087000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,554000.000,-406000.000
DiscontinuedOperationProvisionForLossGainOnDisposalNetOfTax,12978000.000,6946000.000
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,3848000.000
DisposalGroupIncludingDiscontinuedOperationRevenue,,3442000.000
Dividends,-116465000.000,135203000.000
EarningsPerShareBasic,0.050,0.090
EffectOfExchangeRateOnCashAndCashEquivalents,-1043000.000,546000.000
EquityMethodInvestmentSummarizedFinancialInformationIncomeLossFromContinuingOperationsBeforeExtraordinaryItems,,76123000.000
EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,,76951000.000
EquityMethodInvestmentSummarizedFinancialInformationRevenue,,174159000.000
GainLossOnContractTermination,-34300000.000,
GainLossOnSaleOfProperties,471000.000,-4087000.000
GainsLossesOnExtinguishmentOfDebt,3135000.000,5130000.000
GeneralAndAdministrativeExpense,27778000.000,16433000.000
IncomeLossFromContinuingOperations,20968000.000,29849000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,44424000.000,64141000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,32838000.000,53245000.000
IncomeLossFromContinuingOperationsPerBasicShare,0.120,0.150
IncomeLossFromDiscontinuedOperationsNetOfTax,-11545000.000,-11795000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,-11468000.000,-11783000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,-0.070,-0.060
IncomeLossFromEquityMethodInvestments,22071000.000,17752000.000
IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,824000.000,-3293000.000
IncomeLossIncludingPortionAttributableToNoncontrollingInterest,,43642000.000
IncomeTaxExpenseBenefit,11586000.000,10896000.000
IncomeTaxesPaidNet,,9741000.000
IncreaseDecreaseInOtherOperatingCapitalNet,-2333000.000,510000.000
InterestExpense,107028000.000,104219000.000
InterestPaid,,104819000.000
LossOnContractTerminationForDefault,,8500000.000
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,-42846000.000,29288000.000
MinorityInterestDecreaseFromRedemptions,-34300000.000,
MinorityInterestIncreaseFromStockIssuance,78136000.000,
MortgageLoansOnRealEstateCollectionsOfPrincipal,,24405000.000
MortgageLoansOnRealEstateNewMortgageLoans,,11811000.000
MortgageLoansOnRealEstateOtherAdditions,,53000.000
NetCashProvidedByUsedInFinancingActivities,76068000.000,-307372000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,76068000.000,-307372000.000
NetCashProvidedByUsedInInvestingActivities,-181270000.000,72598000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-181270000.000,72598000.000
NetCashProvidedByUsedInOperatingActivities,156927000.000,190939000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,156927000.000,190939000.000
NetIncomeLoss,9500000.000,18066000.000
NetIncomeLossAttributableToNoncontrollingInterest,9891000.000,25576000.000
NoncontrollingInterestIncreaseFromBusinessCombination,-45889000.000,
NoninterestExpenseRelatedToPerformanceFees,,0.000
NonoperatingIncomeExpense,-53153000.000,-78386000.000
OtherAssetImpairmentCharges,10685000.000,9112000.000
OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToNoncontrollingInterest,21000.000,0.000
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPortionAttributableToNoncontrollingInterest,0.000,0.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,-18873000.000,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToNoncontrollingInterest,5266000.000,1169000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,7464000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,7905000.000
