,2011-09-30,2011-12-31
AccountsPayableCurrent,41968000.000,36988000.000
AccountsReceivableNetCurrent,49705000.000,49385000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,545000.000,387000.000
AdditionalPaidInCapitalCommonStock,19486000.000,19486000.000
Assets,312420000.000,277165000.000
AssetsCurrent,201015000.000,178199000.000
CashAndCashEquivalentsAtCarryingValue,63455000.000,44920000.000
CommonStockParOrStatedValuePerShare,0.010,0.010
CommonStockSharesIssued,3059.000,3059.000
CommonStockSharesOutstanding,3059.000,3059.000
DeferredFinanceCostsNoncurrentNet,1923000.000,1008000.000
DeferredTaxAssetsNetCurrent,463000.000,1257000.000
DeferredTaxLiabilitiesNoncurrent,6133000.000,2718000.000
EmployeeRelatedLiabilitiesCurrent,12179000.000,10830000.000
Goodwill,35000000.000,35000000.000
IncomeTaxesReceivable,6141000.000,674000.000
IntangibleAssetsNetExcludingGoodwill,13046000.000,12714000.000
InventoryNet,77874000.000,79739000.000
LiabilitiesAndStockholdersEquity,312420000.000,277165000.000
LiabilitiesCurrent,69311000.000,68048000.000
LiabilitiesNoncurrent,214915000.000,176887000.000
LongTermDebtCurrent,1757000.000,2726000.000
LongTermDebtNoncurrent,200004000.000,164991000.000
OtherAccruedLiabilitiesCurrent,13407000.000,17504000.000
OtherAssetsNoncurrent,3831000.000,3680000.000
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,8778000.000,9178000.000
PrepaidExpenseAndOtherAssetsCurrent,3377000.000,2224000.000
PropertyPlantAndEquipmentNet,51385000.000,46564000.000
RestrictedCashAndCashEquivalentsNoncurrent,6220000.000,
RetainedEarningsAccumulatedDeficit,8163000.000,12357000.000
StockholdersEquity,28194000.000,32230000.000
