,2011-08-31,2011-11-30,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28,2017-05-31
AccountsPayableCurrent,54008000.000,58799000.000,43755000.000,59448000.000,67286000.000,67359000.000,56894000.000,59837000.000,71125000.000,76347000.000,55373000.000,64827000.000,64656000.000,73971000.000,71403000.000,60165000.000,57045000.000,71739000.000,55790000.000,57848000.000,71268000.000,71778000.000,61143000.000,71669000.000
AccountsReceivableGross,,,,,,,161667000.000,,,,155132000.000,,,,,,,,,,,,,
AccountsReceivableGrossCurrent,,,,,,,,,,,,,,,110447000.000,,,,94912000.000,,,,98883000.000,
AccountsReceivableNet,,,,,,,152596000.000,,,,147054000.000,,,,,,,,,,,,,
AccountsReceivableNetCurrent,117703000.000,163476000.000,142585000.000,139174000.000,136659000.000,184621000.000,152596000.000,132085000.000,124949000.000,181461000.000,147054000.000,121971000.000,110740000.000,140952000.000,102766000.000,89388000.000,80853000.000,101949000.000,87055000.000,78894000.000,81092000.000,110408000.000,90641000.000,89888000.000
AccruedIncomeTaxesCurrent,2435000.000,4990000.000,5432000.000,5139000.000,1989000.000,3014000.000,5103000.000,3624000.000,4753000.000,8543000.000,3634000.000,3125000.000,2974000.000,6856000.000,3067000.000,3054000.000,3558000.000,4006000.000,4081000.000,1807000.000,1742000.000,39000.000,3077000.000,1369000.000
AccruedLiabilitiesForCommissionsExpenseAndTaxes,,,,,,,787000.000,,,,481000.000,,,,740000.000,,,,818000.000,,,,598000.000,
AccruedMarketingCostsCurrent,,,,,,,,,,,,,,,,,14011000.000,16330000.000,12439000.000,12630000.000,12864000.000,17243000.000,13154000.000,12078000.000
AccruedPayrollTaxesCurrent,,,,,,,1539000.000,,,,3067000.000,,,,2406000.000,,,,2071000.000,,,,1603000.000,
AccruedProfessionalFeesCurrent,,,,,,,2107000.000,,,,2061000.000,,,,2206000.000,,,,3405000.000,,,,1909000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,49731000.000,,,,59079000.000,,,,60777000.000,,,,67998000.000,,,,68611000.000,
