,2011-07-02,2011-10-01,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2014-12-27,2015-03-28,2015-06-27,2015-09-26,2016-07-02,2016-10-01,2017-04-01,2017-07-01
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,244000.000,,,,,,,40000.000,,,,,,,,,383000.000,418000.000,218000.000,,4000.000
AssetImpairmentCharges,,,,,,,,,4304000.000,,,,0.000,,,,,,3000000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,12723000.000,,,,-15068000.000,,,,-78325000.000,,,,-25240000.000,,,,,-204426000.000,
CashPeriodIncreaseDecrease,,,,,,,,,,,,,,,,,,,,-174200000.000,
CommonStockDividendsPerShareDeclared,0.100,0.100,0.100,0.100,0.100,0.125,0.125,0.125,0.125,0.125,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.100,0.100,8.100,0.100
ComprehensiveIncomeNetOfTax,24171000.000,974000.000,40209000.000,13766000.000,21419000.000,13787000.000,20767000.000,92832000.000,46912000.000,43892000.000,24740000.000,37103000.000,17243000.000,-9630000.000,15472000.000,39922000.000,6914000.000,21873000.000,27048000.000,34902000.000,29220000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,755000.000,737000.000,579000.000,451000.000,40000.000,914000.000,199000.000,1228000.000,186000.000,-209000.000,253000.000,-594000.000,889000.000,274000.000,-345000.000,-520000.000,-709000.000,-123000.000,480000.000,1117000.000,386000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,24926000.000,1711000.000,40788000.000,14217000.000,21459000.000,14701000.000,20966000.000,94060000.000,47098000.000,43683000.000,24993000.000,36509000.000,18132000.000,-9356000.000,15127000.000,39402000.000,6205000.000,21750000.000,27528000.000,36019000.000,29606000.000
CostOfGoodsSold,573877000.000,523984000.000,493175000.000,522851000.000,449718000.000,438719000.000,482850000.000,501125000.000,456302000.000,421812000.000,495777000.000,557775000.000,521278000.000,468889000.000,460834000.000,470365000.000,467167000.000,456060000.000,424668000.000,488427000.000,524311000.000
DeferredIncomeTaxExpenseBenefit,,,-2470000.000,,,,-1313000.000,,,,-1484000.000,,,,-570000.000,,,,,-80000.000,
