,2011-12-31,2012-12-31,2013-12-31,2014-12-31
AccumulatedDepreciationDepletionAndAmortizationSaleOfPropertyPlantAndEquipment,,8300000.000,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,4062000.000,3663000.000,5451000.000,7353000.000
AllocatedShareBasedCompensationExpense,,,,0.000
AmortizationOfDebtDiscountPremium,229000.000,64000.000,30000.000,639000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,12867000.000,-11450000.000,48067000.000,-48693000.000
ComprehensiveIncomeNetOfTax,-34636000.000,-29266000.000,-27780000.000,-11853000.000
ConcentrationRiskPercentage1,,0.860,,
ConversionOfStockAmountIssued1,,,,9526000.000
CostOfGoodsSold,1223000.000,2152000.000,2688000.000,4706000.000
CostsAndExpenses,73639000.000,73535000.000,71125000.000,82958000.000
DebtInstrumentIncreaseAccruedInterest,,,1812000.000,1159000.000
DebtInstrumentIncreaseDecreaseOtherNet,,198000.000,198000.000,198000.000
DebtInstrumentPeriodicPaymentInterest,,7569000.000,5378000.000,8978000.000
DebtInstrumentPeriodicPaymentPrincipal,,96000.000,,0.000
DeferredTaxExpenseFromStockOptionsExercised,,,1800000.000,1800000.000
DefinedContributionPlanEmployerDiscretionaryContributionAmount,,440000.000,451000.000,441000.000
DefinedContributionPlanEmployerMatchingContributionPercent,,0.500,0.060,0.060
DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,,,0.500,0.500
DefinedContributionPlanEmployersMatchingContributionAnnualVestingPercentage,,,1.000,1.000
Depreciation,,1100000.000,859000.000,868000.000
DepreciationAndAmortization,1417000.000,1060000.000,861000.000,868000.000
DirectOperatingCostRoyaltyExpense,,,,1891000.000
EarningsPerShareBasicAndDiluted,-0.350,-0.300,-0.260,-0.090
EffectiveIncomeTaxRateContinuingOperations,,,,0.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.340,0.340,0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,-0.174,-0.350,-0.492
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost,,-0.068,-0.008,-0.090
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,-0.086,0.004,0.027
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,-0.033,-0.047,-0.143
EffectiveIncomeTaxRateReconciliationTaxCreditsOther,,-0.017,0.016,-0.004
EffectiveIncomeTaxRateReconciliationTaxCreditsResearch,,0.038,0.045,0.362
EmployeeServiceShareBasedCompensationCashReceivedFromExerciseOfStockOptions,,1300000.000,5100000.000,3800000.000
EmployeeStockOwnershipPlanESOPCompensationExpense,,3640000.000,5441000.000,7283000.000
GainLossOnSaleOfPropertyPlantEquipment,,110000.000,,0.000
IncomeTaxReconciliationNondeductibleExpenseResearchAndDevelopment,,58100000.000,61600000.000,68100000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,1426000.000,-2113000.000,1900000.000,4193000.000
IncreaseDecreaseInAccountsReceivable,810000.000,1335000.000,-1001000.000,4954000.000
IncreaseDecreaseInDeferredRevenue,-5434000.000,-4051000.000,-3830000.000,-1207000.000
IncreaseDecreaseInInventories,5201000.000,2916000.000,-1637000.000,-1203000.000
IncreaseDecreaseInOtherCurrentAssets,,,-541000.000,5434000.000
IncreaseDecreaseInOtherDeferredLiability,1417000.000,685000.000,-123000.000,-230000.000
IncreaseDecreaseInOtherNoncurrentAssets,122000.000,,,
IncreaseDecreaseInOtherOperatingLiabilities,925000.000,414000.000,-28000.000,257000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,1720000.000,-2809000.000,,
IncreaseDecreaseInRestrictedCash,178000.000,-1266000.000,,0.000
InterestAndOtherIncome,554000.000,,,
InterestExpense,10251000.000,10491000.000,10792000.000,10917000.000
InterestExpenseDebt,,10199000.000,10447000.000,10588000.000
InterestPaid,9108000.000,9364000.000,5525000.000,10889000.000
LicenseAndMaintenanceRevenue,,,,9669000.000
NetCashProvidedByUsedInFinancingActivities,18710000.000,2689000.000,98691000.000,83050000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,18710000.000,2689000.000,98691000.000,83050000.000
NetCashProvidedByUsedInInvestingActivities,30609000.000,14343000.000,-34808000.000,-123132000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,30609000.000,14343000.000,-34808000.000,-123132000.000
NetCashProvidedByUsedInOperatingActivities,-36452000.000,-28482000.000,-15816000.000,-8611000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-36452000.000,-28482000.000,-15816000.000,-8611000.000
NetIncomeLoss,-34599000.000,-29265000.000,-27777000.000,-11878000.000
NonoperatingIncomeExpense,-9697000.000,-10380000.000,-10578000.000,-10643000.000
OperatingIncomeLoss,-24902000.000,-18885000.000,-17199000.000,-1235000.000
OtherComprehensiveIncomeAvailableForSaleSecuritiesAdjustmentNetOfTaxPeriodIncreaseDecrease,-37000.000,,,
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,-1000.000,-3000.000,25000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,-37000.000,-1000.000,-3000.000,25000.000
OtherNoncashExpense,,,1076000.000,0.000
OtherNoncashIncome,,68000.000,,0.000
PaidInKindInterest,1955000.000,2784000.000,3455000.000,649000.000
PaymentsOfStockIssuanceCosts,,,5225000.000,5392000.000
PaymentsToAcquireInvestments,3021000.000,6057000.000,43301000.000,124579000.000
PaymentsToAcquirePropertyPlantAndEquipment,1694000.000,4066000.000,507000.000,553000.000
ProceedsFromIssuanceOfCommonStock,323000.000,,99000000.000,85100000.000
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,219000.000,1442000.000,5361000.000,4273000.000
ProceedsFromNotesPayable,19850000.000,1382000.000,,0.000
ProceedsFromSaleMaturityAndCollectionsOfInvestments,35502000.000,23000000.000,9000000.000,2000000.000
ProceedsFromSaleOfPropertyPlantAndEquipment,,200000.000,,0.000
ProductionCosts,,,,400000.000
PropertyPlantAndEquipmentDisposals,,,,53000.000
ProvisionForDoubtfulAccounts,,-80000.000,,0.000
RepaymentsOfLongTermDebt,1682000.000,135000.000,445000.000,931000.000
ResearchAndDevelopmentExpense,34676000.000,30028000.000,29695000.000,35942000.000
RestructuringCharges,,1440000.000,,0.000
Revenues,48737000.000,54650000.000,53926000.000,81723000.000
RoyaltyRevenue,,,,3782000.000
SalesRevenueGoodsNet,22884000.000,39783000.000,40526000.000,68272000.000
SalesRevenueNet,48737000.000,54650000.000,53926000.000,81723000.000
SellingGeneralAndAdministrativeExpense,37740000.000,39915000.000,38742000.000,40419000.000
ShareBasedCompensation,4030000.000,3640000.000,5441000.000,7283000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,,375000.000,5400000.000,10900000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,,,,37403.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,,,,455046.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,,5897221.000,3617150.000,2899459.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,,3617150.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,1.000,2.060,6.160
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedInPeriodFairValue,,3000000.000,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,,,2.630
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice,,,,10.980
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,,,,5.050
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,,,9.610
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedOptionsForfeitedNumberOfShares,,,1151996.000,
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedInPeriodFairValue1,,,3400000.000,
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedNumberOfShares,,,2635583.000,
StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,,138100000.000,93800000.000,53500000.000
StockIssued1,,,2093000.000,0.000
StockIssuedDuringPeriodSharesStockOptionsExercised,,,,1448810.000
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,,,,0.000
StockIssuedDuringPeriodValueEmployeeStockPurchasePlan,217000.000,123000.000,,
StockIssuedDuringPeriodValueNewIssues,323000.000,,93775000.000,79708000.000
StockIssuedDuringPeriodValueOther,,,1076000.000,
StockIssuedDuringPeriodValueShareBasedCompensation,,,5360000.000,4273000.000
StockIssuedDuringPeriodValueStockOptionsExercised,2000.000,1319000.000,,
ValuationAllowancesAndReservesAdjustments,,,-235000.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,98991056.000,108539613.000,133367963.000
