,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,720000.000,725000.000,735000.000,1173000.000,1562000.000,993000.000,1228000.000,1552000.000,795000.000,895000.000,962000.000,1161000.000
AccountsReceivableNetCurrent,,,201000.000,88000.000,389000.000,378000.000,369000.000,360000.000,288000.000,379000.000,327000.000,409000.000
AccruedLiabilitiesCurrent,4222000.000,5580000.000,3662000.000,3426000.000,3475000.000,4291000.000,4162000.000,4216000.000,4506000.000,5036000.000,4908000.000,4060000.000
AccruedProfessionalFeesCurrent,1769000.000,3038000.000,374000.000,428000.000,286000.000,403000.000,542000.000,888000.000,597000.000,984000.000,884000.000,915000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,3342000.000,3595000.000,3942000.000,4321000.000,4807000.000,5317000.000,5854000.000,6426000.000,7066000.000,7728000.000
AdditionalPaidInCapital,,155929000.000,156576000.000,157673000.000,159241000.000,160643000.000,195800000.000,197376000.000,198992000.000,,,
AdditionalPaidInCapitalCommonStock,,,,,,,,,,239692000.000,242997000.000,244391000.000
Assets,20052000.000,78867000.000,79134000.000,72774000.000,63713000.000,53124000.000,86948000.000,74937000.000,65909000.000,92002000.000,89568000.000,75659000.000
AssetsCurrent,16078000.000,76676000.000,75321000.000,66401000.000,54875000.000,42656000.000,75574000.000,62032000.000,52503000.000,77783000.000,75438000.000,60651000.000
CashAndCashEquivalentsAtCarryingValue,15876000.000,75589000.000,73849000.000,65295000.000,53289000.000,40117000.000,73662000.000,59519000.000,50218000.000,75111000.000,73488000.000,
CashEquivalentsAtCarryingValue,15876000.000,75589000.000,73849000.000,65295000.000,53289000.000,,,,,,,
CommonStockCapitalSharesReservedForFutureIssuance,,,3678581.000,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,28254907.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,1456508.000,20040604.000,20041645.000,20198969.000,20312980.000,20339261.000,24175381.000,24283115.000,24364743.000,30431301.000,30482712.000,30594342.000
CommonStockSharesOutstanding,1456508.000,20040604.000,20041645.000,20198969.000,20312980.000,20339261.000,24175381.000,24283115.000,24364743.000,30431301.000,30482712.000,30594342.000
CommonStockValue,1000.000,20000.000,20000.000,20000.000,20000.000,20000.000,24000.000,24000.000,24000.000,30000.000,30000.000,31000.000
DebtInstrumentCarryingAmount,,,21114000.000,,,,30805000.000,,,,,
DebtInstrumentUnamortizedDiscount,,,159000.000,,,,88000.000,,,,,
DeferredRentCreditCurrent,35000.000,67000.000,87000.000,214000.000,259000.000,241000.000,268000.000,276000.000,284000.000,293000.000,301000.000,249000.000
DeferredRentCreditNoncurrent,23000.000,18000.000,106000.000,995000.000,1136000.000,1136000.000,1076000.000,1007000.000,935000.000,864000.000,792000.000,791000.000
DeferredRevenueCurrent,,,80000.000,2029000.000,1776000.000,1199000.000,2146000.000,1736000.000,1266000.000,817000.000,2445000.000,2127000.000
DeferredTaxAssetsGross,,,43180000.000,,,,62084000.000,,,,84183000.000,
