,2011-01-01,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2014-12-27,2015-03-28,2015-06-27,2015-09-26,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01
AccountsPayableCurrent,147160000.000,99252000.000,86409000.000,84186000.000,98853000.000,78613000.000,101678000.000,96478000.000,98565000.000,72766000.000,69241000.000,88947000.000,90123000.000,149695000.000,99572000.000,105689000.000,58231000.000,80113000.000,81897000.000,75279000.000,74602000.000,101534000.000,113318000.000,103236000.000,118629000.000,108293000.000,106234000.000
AccountsReceivableNetCurrent,369657000.000,286464000.000,244683000.000,216416000.000,211132000.000,214965000.000,257944000.000,222269000.000,232257000.000,229175000.000,268153000.000,277539000.000,207248000.000,267833000.000,281335000.000,290629000.000,187496000.000,246615000.000,251988000.000,282627000.000,203176000.000,307458000.000,217014000.000,227758000.000,340852000.000,243915000.000,268257000.000
AccruedEmployeeBenefitsCurrent,,,,,,69640000.000,,,,,,,,,,,,,,,,,,,,,
AccruedIncomeTaxesCurrent,814000.000,0.000,,,,,,,,60632000.000,1587000.000,4144000.000,4595000.000,12936000.000,17578000.000,2170000.000,15370000.000,19693000.000,17916000.000,6657000.000,7782000.000,6286000.000,18932000.000,8233000.000,6334000.000,6309000.000,8282000.000
AccruedIncomeTaxesNoncurrent,52889000.000,45306000.000,47568000.000,48874000.000,28098000.000,14479000.000,15296000.000,15704000.000,15762000.000,37579000.000,37777000.000,14545000.000,10576000.000,11470000.000,11581000.000,11635000.000,12688000.000,13245000.000,13022000.000,13033000.000,15198000.000,15889000.000,16779000.000,7778000.000,5815000.000,4503000.000,5294000.000
AccruedSalariesCurrentAndNoncurrent,,,,,,,,,,66967000.000,,,,90865000.000,,,,79312000.000,,,,73823000.000,,,,81701000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,368906000.000,367371000.000,378045000.000,388035000.000,394447000.000,393440000.000,405668000.000,416595000.000,420720000.000,419109000.000,431593000.000,444235000.000,447293000.000,454941000.000,467108000.000,480168000.000,493591000.000,503585000.000,512241000.000,522285000.000,517625000.000,527236000.000,533855000.000,541824000.000,534977000.000,535633000.000,542982000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,5562000.000,6515000.000,5654000.000,8916000.000,10088000.000,15153000.000,12479000.000,10519000.000,-6727000.000,-3578000.000,-6500000.000,-889000.000,6679000.000,2024000.000,-254000.000,-238000.000,-5342000.000,-5614000.000,-13517000.000,-1260000.000,2419000.000,554000.000,-19646000.000,-17091000.000,-11888000.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,4625000.000,-3496000.000,-6909000.000,-3101000.000,-5565000.000,2403000.000,1719000.000,-1368000.000,-2170000.000,572000.000,217000.000,798000.000,533000.000,-3280000.000,-5391000.000,-7523000.000,-3532000.000,-3957000.000,-2487000.000,256000.000,-232000.000,211000.000,-1973000.000,661000.000,1747000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,3132000.000,3351000.000,1298000.000,1449000.000,394000.000,1016000.000,965000.000,-491000.000,-1185000.000,-1555000.000,-1265000.000,-457000.000,-286000.000,-864000.000,-2339000.000,-3388000.000,-4312000.000,-4935000.000,-5385000.000,-5627000.000,-5592000.000,-5974000.000,-8822000.000,-8251000.000,-6491000.000
