,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccountsPayableCurrent,4128000.000,3938000.000,3486000.000,4479000.000,5795000.000,3832000.000,7597000.000,3565000.000,3311000.000,10065000.000,9835000.000,940000.000,18783000.000,8199000.000,24599000.000
AccountsReceivableNetCurrent,33482000.000,34408000.000,37697000.000,42742000.000,43226000.000,42026000.000,49066000.000,55859000.000,47758000.000,75675000.000,73832000.000,89407000.000,95183000.000,54139000.000,81930000.000
AccruedLiabilitiesCurrent,55603000.000,59044000.000,68107000.000,77620000.000,75119000.000,77860000.000,88225000.000,80740000.000,83404000.000,110507000.000,119733000.000,121964000.000,135088000.000,124035000.000,114977000.000
AccruedLiabilitiesCurrentAndNoncurrent,,59044000.000,68107000.000,77620000.000,75119000.000,,,,,,,,,,
AccruedMarketingCostsCurrent,,,,,,,,,,,,,,,8047000.000
AccruedRoyaltiesCurrent,,,,,,10761000.000,9597000.000,10949000.000,9368000.000,10171000.000,10064000.000,11638000.000,6470000.000,9312000.000,10156000.000
AccruedRoyaltiesCurrentAndNoncurrent,,7166000.000,8459000.000,9599000.000,10199000.000,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,21667000.000,,,,30833000.000,,,,30510000.000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-475000.000,-428000.000,-647000.000,-735000.000,-813000.000,-720000.000,-754000.000,-508000.000,-248000.000,-419000.000,-364000.000,-332000.000,-271000.000,-273000.000,-108000.000
AdditionalPaidInCapitalCommonStock,478234000.000,484199000.000,488874000.000,495949000.000,502040000.000,513502000.000,520034000.000,525354000.000,565449000.000,583401000.000,588559000.000,594970000.000,610543000.000,616315000.000,631292000.000
Assets,252341000.000,284223000.000,297581000.000,300971000.000,311692000.000,329380000.000,337624000.000,327392000.000,642608000.000,1086063000.000,1128227000.000,1201176000.000,1195886000.000,1115226000.000,1144980000.000
AssetsCurrent,210183000.000,238697000.000,250882000.000,255143000.000,266195000.000,243938000.000,244455000.000,240870000.000,546237000.000,202281000.000,255121000.000,238592000.000,244014000.000,192472000.000,262026000.000
AssetsFairValueDisclosure,,154632000.000,152118000.000,156628000.000,,,,,,,,,,,
AvailableForSaleSecuritiesFairValueDisclosure,,62131000.000,98566000.000,116722000.000,,,,,,,,,,,
