,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AccountsPayableCurrent,188030000.000,169383000.000,169471000.000,198120000.000,185401000.000,181186000.000,187708000.000,211387000.000,169713000.000,175285000.000,160565000.000
AccountsReceivableNetCurrent,808950000.000,761776000.000,799139000.000,903517000.000,994719000.000,924027000.000,972104000.000,976872000.000,1003128000.000,990458000.000,970132000.000
AccruedLiabilitiesAndOtherLiabilities,,,,,,,,589802000.000,,,
AccruedLiabilitiesCurrent,338202000.000,338242000.000,421987000.000,368790000.000,497598000.000,553397000.000,613263000.000,469055000.000,531643000.000,496349000.000,570780000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,1685737000.000,1711946000.000,1766180000.000,1823324000.000,1883602000.000,1930954000.000,1995374000.000,2060818000.000,2109913000.000,2171622000.000,2241393000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,831000.000,4330000.000,3876000.000,6346000.000,6017000.000,7765000.000,4459000.000,7068000.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,-96271000.000,-83758000.000,-71473000.000,-59601000.000,-47957000.000,-36726000.000,-25744000.000,-15216000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-114798000.000,-114829000.000,-116867000.000,-95440000.000,-79428000.000,-67597000.000,-53255000.000,-41940000.000,-28961000.000,-21285000.000,-8148000.000
AcquiredFiniteLivedIntangibleAssetAmount,,,,,,,,48000000.000,,,
AdditionalPaidInCapital,129542000.000,144818000.000,150959000.000,156859000.000,156392000.000,163037000.000,169020000.000,173843000.000,185973000.000,204532000.000,231317000.000
AllowanceForDoubtfulAccountsReceivableCurrent,513954000.000,534464000.000,554716000.000,578972000.000,600921000.000,621649000.000,715507000.000,663183000.000,679864000.000,671087000.000,709008000.000
Assets,5044508000.000,5102061000.000,5684710000.000,6004189000.000,6061373000.000,6175607000.000,6306728000.000,6400789000.000,6317384000.000,6559916000.000,6624903000.000
AssetsCurrent,1296668000.000,1269010000.000,1233748000.000,1410138000.000,1341104000.000,1348896000.000,1424201000.000,1471248000.000,1410306000.000,1412627000.000,1462656000.000
AssetsHeldForSaleCurrent,,,,,,,,,6250000.000,6250000.000,6250000.000
AssetsHeldForSaleLongLived,4994000.000,,,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,6530000.000,13802000.000,14561000.000,12950000.000,9619000.000,8100000.000,6250000.000,,,
AvailableForSaleSecuritiesAmortizedCost,,223250000.000,155140000.000,245532000.000,163582000.000,243515000.000,285573000.000,263911000.000,191951000.000,189929000.000,207796000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,,72100000.000,101800000.000,67000000.000,21200000.000,46200000.000,14700000.000,123800000.000,55100000.000,104900000.000,44900000.000
AvailableForSaleSecuritiesCurrent,131874000.000,140430000.000,37485000.000,122277000.000,43041000.000,120016000.000,146569000.000,121106000.000,52207000.000,56722000.000,62961000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost,,,,9036000.000,9120000.000,7846000.000,8876000.000,9043000.000,9804000.000,9535000.000,10704000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,,,,9044000.000,9280000.000,8051000.000,9312000.000,9689000.000,10386000.000,9648000.000,10956000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,,,,6265000.000,6786000.000,7898000.000,9437000.000,10564000.000,9761000.000,9766000.000,12302000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,,,,6209000.000,6856000.000,8028000.000,9710000.000,10812000.000,10110000.000,9863000.000,12473000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost,,,,14762000.000,13850000.000,12003000.000,12419000.000,13569000.000,13952000.000,15950000.000,18147000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,,,,15022000.000,13988000.000,12374000.000,12964000.000,14182000.000,14252000.000,15525000.000,17600000.000
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,,,,,1136000.000,,309000.000,308000.000,306000.000,304000.000,88000.000
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,,,,,1135000.000,,325000.000,320000.000,323000.000,313000.000,89000.000
AvailableForSaleSecuritiesFairValueDisclosure,,226797000.000,152223000.000,246810000.000,170243000.000,249480000.000,295339000.000,273163000.000,203897000.000,196794000.000,218670000.000
AvailableForSaleSecuritiesGrossUnrealizedLosses1,,233000.000,4828000.000,2900000.000,1235000.000,2416000.000,1557000.000,784000.000,841000.000,3971000.000,2915000.000
AvailableforsaleSecuritiesGrossUnrealizedGain,,3780000.000,1911000.000,4178000.000,7896000.000,8381000.000,11323000.000,10036000.000,12787000.000,10836000.000,13789000.000
BuildingsAndImprovementsGross,,,,2848185000.000,,,,2964321000.000,,,
BusinessAcquisitionPurchasePriceAllocationAssetsAcquired,,48851000.000,642334000.000,675178000.000,,84344000.000,90073000.000,92546000.000,,253909000.000,258851000.000
BusinessAcquisitionPurchasePriceAllocationCapitalLeaseObligationAccrual,,,42072000.000,61307000.000,,34000.000,961000.000,961000.000,,35105000.000,36657000.000
BusinessAcquisitionPurchasePriceAllocationCurrentAssets,,4201000.000,23349000.000,25762000.000,,1811000.000,1811000.000,2015000.000,,7562000.000,8308000.000
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsAssetNotToBeUsed,,,11300000.000,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentLiabilities,,,11529000.000,13725000.000,,501000.000,501000.000,501000.000,,858000.000,1124000.000
BusinessAcquisitionPurchasePriceAllocationGoodwillAmount,,2162000.000,96536000.000,89910000.000,,21587000.000,25176000.000,26319000.000,,4747000.000,7576000.000
BusinessAcquisitionPurchasePriceAllocationLiabilitiesAssumed,,3914000.000,53601000.000,75032000.000,,535000.000,1462000.000,1462000.000,,35963000.000,40055000.000
BusinessAcquisitionPurchasePriceAllocationNoncurrentAssets,,,58828000.000,59606000.000,,48775000.000,48775000.000,48862000.000,,116341000.000,116341000.000
BusinessAcquisitionPurchasePriceAllocationPropertyPlantAndEquipment,,42488000.000,463621000.000,499900000.000,,12171000.000,14311000.000,15350000.000,,125259000.000,126626000.000
