,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,341200000.000,373600000.000,377000000.000,359500000.000,303200000.000,381300000.000,422900000.000,432200000.000,268200000.000,257900000.000,275600000.000,280200000.000,223200000.000,269400000.000,262100000.000,263000000.000,246600000.000,294100000.000
AccountsReceivableNetCurrent,384000000.000,481000000.000,490400000.000,456700000.000,376900000.000,460100000.000,517600000.000,539600000.000,271000000.000,341200000.000,343600000.000,298400000.000,216200000.000,278100000.000,271600000.000,279500000.000,218700000.000,271300000.000
AccrualForEnvironmentalLossContingencies,,,,,35300000.000,,,,46700000.000,,,,26200000.000,,,,23800000.000,
AccruedLiabilitiesCurrent,302400000.000,251900000.000,231100000.000,217300000.000,200900000.000,197200000.000,214600000.000,209200000.000,183300000.000,176600000.000,208400000.000,229800000.000,233800000.000,210200000.000,200800000.000,217600000.000,201400000.000,224600000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,307300000.000,,,,342900000.000,,,,417400000.000,,,,483400000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-62400000.000,-79000000.000,-67900000.000,-37400000.000,13800000.000,11700000.000,8200000.000,-45400000.000,-160900000.000,-194800000.000,-179300000.000,-173600000.000,-182700000.000,-159800000.000,-176500000.000,-170700000.000,-223500000.000,-213900000.000
AdditionalPaidInCapital,573900000.000,574500000.000,396200000.000,399100000.000,401900000.000,405900000.000,409400000.000,411500000.000,414100000.000,416400000.000,424300000.000,423100000.000,421900000.000,423000000.000,424800000.000,426400000.000,428000000.000,427500000.000
AllowanceForDoubtfulAccountsReceivableCurrent,8100000.000,9700000.000,10700000.000,11700000.000,7700000.000,9800000.000,8900000.000,8500000.000,6500000.000,6300000.000,6000000.000,5500000.000,7700000.000,8100000.000,7900000.000,8000000.000,7600000.000,7000000.000
AssetRetirementObligation,,14500000.000,14600000.000,12700000.000,12400000.000,12400000.000,12400000.000,12500000.000,4600000.000,4500000.000,4900000.000,4900000.000,4600000.000,4700000.000,4700000.000,4700000.000,4700000.000,4700000.000
Assets,2918200000.000,2889100000.000,2567900000.000,2566600000.000,2472900000.000,2539400000.000,2762500000.000,2760500000.000,2861900000.000,2411100000.000,2444800000.000,2337300000.000,2163100000.000,2318300000.000,2362700000.000,2402400000.000,2389900000.000,2563700000.000
AssetsCurrent,1699500000.000,1654800000.000,1315400000.000,1290600000.000,1159000000.000,1240800000.000,1394400000.000,1431100000.000,1386100000.000,1203200000.000,1170500000.000,1023700000.000,787400000.000,859600000.000,858100000.000,844300000.000,846600000.000,992700000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,,385600000.000,0.000,0.000,0.000,0.000,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,,,,,,,,,269800000.000,,,,,,,,,
BuildingsAndImprovementsGross,,,,,234600000.000,,,,204400000.000,,,,205000000.000,,,,206200000.000,
CapitalLeasedAssetsGross,,,,,9600000.000,,,,12200000.000,,,,7100000.000,,,,9000000.000,
CapitalLeasesFutureMinimumPaymentsDue,,,,,8700000.000,,,,8900000.000,,,,5100000.000,,,,6100000.000,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,3200000.000,,,,3400000.000,,,,2000000.000,,,,2100000.000,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,100000.000,,,,100000.000,,,,200000.000,,,,200000.000,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,500000.000,,,,500000.000,,,,600000.000,,,,600000.000,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,2000000.000,,,,1400000.000,,,,1000000.000,,,,1300000.000,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,2800000.000,,,,3400000.000,,,,1300000.000,,,,1900000.000,
CapitalLeasesFutureMinimumPaymentsDueThereafter,,,,,100000.000,,,,100000.000,,,,0.000,,,,0.000,
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,,,,,2600000.000,,,,4900000.000,,,,3000000.000,,,,4500000.000,
CashAndCashEquivalentsAtCarryingValue,592900000.000,439300000.000,78500000.000,71300000.000,60100000.000,51300000.000,51900000.000,37800000.000,28600000.000,146100000.000,190700000.000,164800000.000,62200000.000,61900000.000,74900000.000,36500000.000,55600000.000,74600000.000
CashAndCashEquivalentsAtCarryingValueIncludingDiscontinuedOperations,,,,,,,,,36000000.000,146100000.000,190700000.000,164800000.000,62200000.000,61900000.000,74900000.000,36500000.000,55600000.000,
CollateralAlreadyPostedAggregateFairValue,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3700000.000,5200000.000,1500000.000,300000.000,300000.000,0.000,0.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,45000000.000,45000000.000,45000000.000,45000000.000,45000000.000,45000000.000,45000000.000,45000000.000,45000000.000,45000000.000,45000000.000,45000000.000,45000000.000,45000000.000,45000000.000,45000000.000,45000000.000,45000000.000
CommonStockSharesIssued,31097272.000,31170104.000,31182420.000,31216263.000,31229064.000,31245325.000,31256999.000,31279201.000,31281513.000,31357643.000,31664537.000,31695210.000,31768819.000,31892441.000,31893558.000,31901461.000,31904250.000,31989712.000
