,2011-11-30,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,9100.000,14879.000,100.000,53856.000,23740.000,43370.000,33942.000,204610.000,246035.000,282035.000
AccountsPayableCurrent,4713.000,52735.000,11000.000,,4099.000,3500.000,5500.000,,,,,,,,,,
AccumulatedCapitalizedInterestCosts,,,,,,,,,,,,122763.000,,,,,
AdditionalPaidInCapital,18724.000,18724.000,18724.000,18724.000,18724.000,18724.000,18724.000,18724.000,18724.000,65604.000,65604.000,65604.000,65604.000,65604.000,65604.000,65604.000,65604.000
Assets,17430.000,59396.000,29371.000,19117.000,30411.000,11177.000,4252.000,1401.000,,9500.000,103923.000,298437.000,815960.000,2244681.000,1815337.000,1788363.000,4306071.000
AssetsCurrent,17430.000,59396.000,29371.000,19117.000,30411.000,11177.000,4252.000,1401.000,,9500.000,33946.000,248212.000,714685.000,981640.000,400208.000,376544.000,3142.000
CashAndCashEquivalentsAtCarryingValue,17430.000,13661.000,29371.000,19117.000,30411.000,11177.000,4252.000,1401.000,,9500.000,33946.000,248212.000,714685.000,107901.000,9310.000,3462.000,3142.000
CashEquivalentsAtCarryingValue,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,,
CommonStockOtherSharesOutstanding,,,,,,,,,,0.000,,,,,,,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000
CommonStockSharesIssued,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000
CommonStockSharesOutstanding,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000,39755000.000
CommonStockValue,3976.000,3976.000,3976.000,3976.000,3976.000,3976.000,3976.000,3976.000,3976.000,3976.000,3976.000,3976.000,3976.000,3976.000,3976.000,3976.000,3976.000
ConvertibleDebt,,,,,,,,,,,250000.000,500000.000,750000.000,1750000.000,1800000.000,,
