,2011-01-01,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2015-01-03,2015-04-04,2015-07-04,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01
AccountsPayableCurrent,,17791000.000,20127000.000,20006000.000,27302000.000,29397000.000,22703000.000,26024000.000,27033000.000,30876000.000,31623000.000,38134000.000,28004000.000,33685000.000,29104000.000,28988000.000,38045000.000,27061000.000,32467000.000,28735000.000,25865000.000,25310000.000,30710000.000,32232000.000,31125000.000,35027000.000
AccountsPayableRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,13410000.000
AccountsReceivableNet,,,,,57000000.000,,,,67900000.000,,,,76759000.000,,,,71017000.000,,,,80960000.000,,,,101720000.000,
AccountsReceivableNetCurrent,,51886000.000,52036000.000,53526000.000,57013000.000,60861000.000,64517000.000,62998000.000,67911000.000,67835000.000,66971000.000,70166000.000,,74065000.000,75263000.000,73235000.000,,68071000.000,73865000.000,75465000.000,,93284000.000,84805000.000,94374000.000,,104365000.000
AccountsReceivableRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,47000.000,9000.000,29000.000,24000.000,28000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,,,,,,,,,,,,,,,,,,,,,,,,4661000.000,,5801000.000
AccruedIncomeTaxes,,,,,,,,,,,,,,,,,,2991000.000,3616000.000,3648000.000,,,,,,
AccruedIncomeTaxesCurrent,,4490000.000,1327000.000,1923000.000,570000.000,4882000.000,368000.000,492000.000,1504000.000,3431000.000,736000.000,1042000.000,2406000.000,2533000.000,816000.000,3042000.000,6562000.000,6988000.000,2668000.000,2481000.000,2777000.000,7129000.000,2304000.000,,76316000.000,
AccruedLiabilitiesCurrent,,9869000.000,10426000.000,10764000.000,12297000.000,20792000.000,14633000.000,16580000.000,16648000.000,19882000.000,15843000.000,15943000.000,23028000.000,16448000.000,18610000.000,31507000.000,24541000.000,37615000.000,28180000.000,24096000.000,44222000.000,35144000.000,26781000.000,42867000.000,31476000.000,102694000.000
AccruedProfessionalFeesCurrentAndNoncurrent,,,,,,,,,,,,,,,,,,,,,5785000.000,4885000.000,2620000.000,2186000.000,1362000.000,2129000.000
AccruedRentCurrentAndNoncurrent,,,245000.000,305000.000,300000.000,400000.000,400000.000,800000.000,800000.000,800000.000,800000.000,800000.000,700000.000,700000.000,500000.000,500000.000,400000.000,400000.000,400000.000,200000.000,200000.000,200000.000,500000.000,600000.000,700000.000,1400000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,37121000.000,,,,43456000.000,,,,49415000.000,,53822000.000,56029000.000,57084000.000,58702000.000,59430000.000,62603000.000,65472000.000,64803000.000,67990000.000,70222000.000,68233000.000,71672000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,,,,3053000.000,3542000.000,3695000.000,2883000.000,4425000.000,3995000.000,4014000.000,2285000.000,584000.000,-2093000.000,-5035000.000,-4451000.000,-4339000.000,-4739000.000,-3340000.000,-4549000.000,-5019000.000,-7027000.000,-6461000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,1274000.000,,,,,,,,,,,,,,,,,,,,,
AdditionalPaidInCapital,,228796000.000,235992000.000,239218000.000,243528000.000,247480000.000,251779000.000,255465000.000,258783000.000,262507000.000,266000000.000,269383000.000,273129000.000,277702000.000,280576000.000,283577000.000,288686000.000,296985000.000,310546000.000,325128000.000,332417000.000,338893000.000,357766000.000,368501000.000,382263000.000,410081000.000
AllowanceForDoubtfulAccountsReceivable,,,,,1798000.000,,,,1956000.000,,,,,,,,,,,,,,,,,
