,2013-09-30,2013-12-31
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,116.000,
AdditionalPaidInCapital,1516142.000,1516142.000
Assets,382159.000,392445.000
CashAndCashEquivalentsAtCarryingValue,993.000,3423.000
CommonStockParOrStatedValuePerShare,0.003,0.003
CommonStockSharesAuthorized,100000000.000,100000000.000
CommonStockSharesIssued,37629510.000,37629510.000
CommonStockValue,94074.000,94074.000
DeferredTaxAssetsCapitalLossCarryforwards,,51330.000
DeferredTaxAssetsGross,,403594.000
DueToAffiliateCurrentAndNoncurrent,500.000,3081.000
Liabilities,616.000,3081.000
LiabilitiesAndStockholdersEquity,382159.000,392445.000
MarketableSecurities,226.000,83.000
MarketableSecuritiesRestricted,656438.000,508306.000
OtherAssetsCurrent,2.000,2.000
PreferredStockParOrStatedValuePerShare,0.010,0.010
PreferredStockSharesAuthorized,9000000.000,9000000.000
PreferredStockSharesIssued,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000
RestrictedCashAndInvestments,380938.000,388937.000
RestrictedInvestments,380938.000,388937.000
RetainedEarningsAccumulatedDeficit,-1210857.000,-1201393.000
StockholdersEquity,381543.000,389364.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,381543.000,389364.000
TreasuryStockShares,551000.000,556500.000
TreasuryStockValue,-275500.000,-119369.000
