,2011-10-31,2012-01-31,2012-04-30,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2017-01-31,2017-04-30
AccountsPayableCurrent,5389716.000,4600437.000,6002025.000,7360507.000,6704001.000,7459923.000,9262735.000,9241610.000,8181026.000,9978630.000,8225555.000,9484343.000,8414757.000,8512000.000,8508000.000,7417000.000,4254000.000,7366000.000,6616000.000,4928000.000,5263000.000
AccountsPayableInterestBearingInterestRate,,,,0.016,0.016,0.016,0.016,,,,,,,,,,,,,,
AccountsReceivableNetCurrent,15242845.000,12576362.000,16188680.000,15597842.000,13782908.000,14126722.000,13643821.000,15047307.000,13795301.000,14635538.000,15988084.000,15098336.000,14165779.000,14769000.000,15711000.000,14566000.000,11476000.000,11649000.000,11978000.000,10704000.000,12689000.000
AccruedIncomeTaxesNoncurrent,3312846.000,3312953.000,3312651.000,,,,,,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,730529.000,1584894.000,1579568.000,1828659.000,2409454.000,2710073.000,2420987.000,2509583.000,1554231.000,2368064.000,2321381.000,2574135.000,2559135.000,1798000.000,1696000.000,1738000.000,1575000.000,1197000.000,1763000.000,1018000.000,1276000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,12971202.000,,,,11735960.000,,,,9983865.000,,,,8850000.000,,,8805000.000,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,11000.000,38513.000,88261.000,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,-25489.000,-1916407.000,-3223991.000,-1214115.000,-1118563.000,-2280123.000,-2293041.000,-2472422.000,-2292490.000,-2148985.000,-2856764.000,-2713635.000,-2370000.000,-1210000.000,-1709000.000,-2184000.000,-1716000.000,-2070000.000,-2382000.000,-2472000.000
AdditionalPaidInCapitalCommonStock,50728547.000,50772594.000,50903985.000,50993939.000,50973065.000,51029787.000,53341071.000,53346559.000,53365286.000,53389633.000,53402405.000,64568292.000,64593669.000,64680000.000,64130000.000,64336000.000,64468000.000,64597000.000,64543000.000,64764000.000,64862000.000
AllowanceForDoubtfulAccountsReceivableCurrent,222300.000,270200.000,274600.000,239600.000,342000.000,371900.000,303700.000,244700.000,588800.000,598100.000,376700.000,482400.000,525200.000,538000.000,446000.000,434000.000,593000.000,541000.000,573000.000,417000.000,340000.000
Assets,105390470.000,102404854.000,101496749.000,100981042.000,83318003.000,83581939.000,86005536.000,87337824.000,83749525.000,88208099.000,87950459.000,86762374.000,93207703.000,99530000.000,92135000.000,91517000.000,88260000.000,91037000.000,88694000.000,84554000.000,83972000.000
AssetsCurrent,76802920.000,73707953.000,73701367.000,73567158.000,63871883.000,64645849.000,67420233.000,68233386.000,65481005.000,69946868.000,69926738.000,69874286.000,66818027.000,74847000.000,67192000.000,69846000.000,63672000.000,66603000.000,64683000.000,60086000.000,59983000.000
AssetsHeldForSaleLongLivedFairValueDisclosure,,,,,,,,,,,,,,,,,,,,900000.000,
AssetsHeldForSaleNotPartOfDisposalGroup,,,,,,,,,,,,,,,,,1101000.000,,,901000.000,
