,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,53000.000,,,
CostOfGoodsSold,27000.000,53000.000,36000.000,35000.000,92000.000
DebtConversionConvertedInstrumentAmount1,,914000.000,,,
DepreciationDepletionAndAmortization,,44000.000,,,
EarningsPerShareBasicAndDiluted,0.000,-0.001,0.000,0.000,-0.001
IncomeLossFromContinuingOperations,-242000.000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-242000.000,-288000.000,-237000.000,-263000.000,-288000.000
IncomeLossFromContinuingOperationsPerBasicShare,0.000,,,,
IncomeTaxExpenseBenefit,,2000.000,,-2000.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-70000.000,,,
IncreaseDecreaseInInventories,,-9000.000,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,-3000.000,,,
IncreaseDecreaseInReceivables,,-7000.000,,,
InterestExpense,30000.000,30000.000,31000.000,31000.000,30000.000
InterestExpenseOther,30000.000,,,,
InterestExpenseOtherLongTermDebt,,30000.000,,,
NetCashProvidedByUsedInFinancingActivities,,320000.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,320000.000,,,
NetCashProvidedByUsedInOperatingActivities,,-267000.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-267000.000,,,
NetIncomeLoss,-242000.000,-290000.000,-237000.000,-261000.000,-288000.000
OperatingExpenses,325000.000,329000.000,269000.000,266000.000,321000.000
OperatingIncomeLoss,-218000.000,-258000.000,-206000.000,-233000.000,-258000.000
OtherIncome,6000.000,,,1000.000,
ProceedsFromContributedCapital,,320000.000,,,
ResearchAndDevelopmentExpense,85000.000,74000.000,68000.000,62000.000,55000.000
SalesRevenueGoodsNet,107000.000,71000.000,63000.000,33000.000,63000.000
SellingGeneralAndAdministrativeExpense,213000.000,202000.000,165000.000,169000.000,174000.000
WeightedAverageNumberOfDilutedSharesOutstanding,547826000.000,566241000.000,700168000.000,700168000.000,
