,2011-12-31,2012-03-31,2012-06-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31
AccountsPayable,63571.000,55241.000,52230.000,69820.000,92330.000,,,,,,,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,,,,,205646.000,234698.000
AccountsPayableCurrent,,,,,,211341.000,81055.000,89134.000,63246.000,81923.000,94488.000,,
AccountsPayableRelatedParties,98989.000,150902.000,12290.000,10200.000,,,,,,,,,
AccountsPayableRelatedPartiesCurrent,,,,,,21654.000,25701.000,12708.000,,,34158.000,,
AccountsReceivableNet,,,,,,41929.000,46265.000,152955.000,66602.000,58054.000,58054.000,100270.000,13767.000
AccruedIncomeTaxesPayable,21.000,74.000,174.000,404.000,404.000,,,,,,,,
AccruedLiabilitiesCurrent,3077.000,4231.000,5385.000,7692.000,,1154.000,2308.000,,,,,,
AccruedRoyaltiesCurrent,,,,,,16389.000,6674.000,27798.000,19257.000,25300.000,34412.000,9874.000,18890.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,-16879.000,-25587.000,-34455.000,-49768.000,-65152.000,-80662.000,-96171.000,-11168.000,,
AdditionalPaidInCapital,2148337.000,2152036.000,2148338.000,3912773.000,4782952.000,4829967.000,5194348.000,5575878.000,5612531.000,6139499.000,6139499.000,,
Assets,1836180.000,1819383.000,1806130.000,2131900.000,2017944.000,1891633.000,2119860.000,2378777.000,2486399.000,2508096.000,2269930.000,2083933.000,1995539.000
AssetsCurrent,240834.000,241073.000,251550.000,559012.000,462778.000,444920.000,713451.000,1011698.000,1137324.000,1202024.000,1006862.000,825366.000,786581.000
BusinessCombinationContingentConsiderationLiability,,,,,,82264.000,70000.000,70000.000,70000.000,70000.000,70000.000,540054.000,586800.000
Cash,1867.000,9107.000,27247.000,181650.000,22223.000,10488.000,190783.000,216351.000,304972.000,188763.000,2310.000,4535.000,8628.000
CashAndCashEquivalentsAtCarryingValue,1867.000,9107.000,27247.000,181650.000,22223.000,10488.000,190783.000,216351.000,304972.000,188763.000,2310.000,4535.000,8628.000
CommitmentsAndContingencies,,,,,,,147507.000,207077.000,207077.000,,,,
CommonStockParOrStatedValuePerShare,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,,,,-2253.000,-2253.000,,,,,12500.000,,,
CommonStockSharesAuthorized,,,,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000
CommonStockSharesIssued,13125.000,13125.000,13125.000,85207868.000,85522868.000,-853705.000,,97223868.000,98201368.000,98471371.000,98471371.000,,
CommonStockSharesOutstanding,,,,85207868.000,85522868.000,86822868.000,91383868.000,97233868.000,98201368.000,98471371.000,98471371.000,98471371.000,98471371.000
CommonStockSharesSubscribedButUnissued,,,853705.000,,,,,,250000.000,,,,
CommonStockSharesSubscriptions,,,,,,500000.000,,,,,,,
CommonStockValue,5968.000,5974.000,5968.000,8521.000,8553.000,8686.000,9141.000,9725.000,9820.000,9847.000,9847.000,,
DebtInstrumentPrincipalOutstanding,,,,,,,20117.000,20117.000,20117.000,,,,
DeferredLongTermLiabilityCharges,,,,,,,310618.000,517907.000,593907.000,,,,
DeferredTaxAssetsNet,,,,,,58435.000,,,,58435.000,,,
DeferredTaxAssetsOther,,,,,,,,,,,,,350000.000
DeferredTaxAssetsValuationAllowance,,,,,,-58435.000,,,,-58435.000,,,
DeferredTaxLiabilitiesOtherComprehensiveIncome,,,,,,,,,,,,10384.000,-22635.000
DepositAssets,4292.000,4292.000,4292.000,4292.000,7969.000,,,,,,,,
DepositLiabilitiesAccruedInterest,,,-1364.000,,,,,,,,,,
Deposits,,,,,,5278.000,5278.000,5278.000,5278.000,5278.000,5278.000,370849.000,403000.000
DepositsAssetsCurrent,-123038.000,,,,,,,,,,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-807167.000,-1050764.000,-1364775.000,-1908265.000,-2970662.000,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationAccruedIncomeTaxesPayable,,,,,,4493.000,5521.000,5704.000,5840.000,5955.000,153.000,,
DueFromOfficersOrStockholders,,,,-12500.000,-12500.000,-12500.000,-12500.000,-12500.000,-12500.000,-12500.000,-12500.000,,
DueToOfficersOrStockholdersCurrent,,,,,,,,,,,,199054.000,189302.000
DueToRelatedPartiesCurrent,,,,,,,11088.000,11088.000,,,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,,-58319.000,-72809.000,-87299.000,-101789.000,-116279.000,-130770.000,,
FiniteLivedIntangibleAssetsNet,1333465.000,1318406.000,1303348.000,1312090.000,1296286.000,1093459.000,1080456.000,1067453.000,1054449.000,1041446.000,1028443.000,,
IndefiniteLivedIntangibleAssets,143828.000,143828.000,143828.000,100000.000,100000.000,,,,,,,,
InventoryNet,10106.000,150229.000,171505.000,204625.000,331677.000,279316.000,274470.000,471240.000,573706.000,557558.000,540930.000,344434.000,360787.000
LeaseholdImprovementsGross,,,,,,46855.000,,,,,,,
Liabilities,,,,,,,,810971.000,829893.000,908050.000,1017128.000,1096747.000,1185941.000
LiabilitiesAndStockholdersEquity,1836180.000,1819383.000,1806130.000,2131900.000,2017944.000,1891633.000,2119860.000,2378777.000,2486399.000,2508096.000,2269930.000,2083933.000,1995539.000
LiabilitiesCurrent,489041.000,712136.000,165333.000,133623.000,211853.000,445289.000,278120.000,293064.000,236986.000,315143.000,424221.000,556693.000,599141.000
LoansPayableCurrent,,,,,,23300.000,,,,,,,
LongTermDebt,,,,,,,,517907.000,592907.000,592907.000,592907.000,,
LongTermDebtCurrent,,,,,,,,70000.000,70000.000,70000.000,70000.000,,
NotesPayable,193833.000,345243.000,95254.000,40558.000,98925.000,96907.000,75773.000,76632.000,78643.000,131965.000,134012.000,,
NotesPayableRelatedPartiesCurrent,,,-156445.000,4949.000,7283.000,,,,,,,,
NotesPayableRelatedPartiesNoncurrent,,,-248636.000,,,,,,,,,,
NotesReceivableRelatedParties,66822.000,67656.000,0.000,,,,,,,,,,
OtherAssets,1595346.000,1578310.000,1554580.000,1572888.000,1555166.000,1446713.000,1406409.000,1367079.000,1349075.000,1306072.000,1263068.000,,
OtherAssetsNoncurrent,,,,,,,,,,,,,5278.000
OtherIndefiniteLivedIntangibleAssets,,,,,,100000.000,100000.000,100000.000,125000.000,125000.000,125000.000,,
OtherIntangibleAssetsNet,,,,,,,,,,,,1153262.000,1122818.000
PreferredStockParOrStatedValuePerShare,,,,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000
PreferredStockSharesAuthorized,,,,10000000.000,10000000.000,,,10000000.000,10000000.000,,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,,,,1.000,1.000,,10000000.000,10000.000,10000.000,10000.000,10000.000,,
PreferredStockSharesOutstanding,,,,1.000,1.000,,10000.000,10000.000,10000.000,10000.000,10000.000,50000.000,
PreferredStockValue,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,
PrepaidExpense,,9789.000,48506.000,,,,,,,,,,
PrepaidExpenseCurrent,157747.000,,,168445.000,108878.000,113187.000,201933.000,171152.000,192044.000,397649.000,405568.000,376127.000,403399.000
PreproductionCostsRelatedToLongTermSupplyArrangementsAssetForMoldsDiesAndToolsOwned,94871.000,86740.000,78608.000,69344.000,61212.000,115563.000,101073.000,86583.000,72093.000,57603.000,43112.000,,
PropertyPlantAndEquipmentNet,23182.000,29336.000,28796.000,91454.000,89699.000,132413.000,119602.000,107765.000,92255.000,76745.000,61235.000,105305.000,80862.000
RelatedPartyTransactionDueFromToRelatedPartyCurrent,129550.000,156445.000,,,,11087.000,11088.000,11088.000,,,56998.000,,
RetainedEarningsAccumulatedDeficit,,,,1908265.000,2970662.000,-3377557.000,-3657615.000,-4003045.000,-4201093.000,-4484553.000,-4831797.000,-5107797.000,-5252366.000
RetainedEarningsUnappropriated,,,,,,,,,,,582641.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsOutstandingNumber,,,,,8381150.000,8381150.000,8381150.000,9131150.000,9131150.000,8381150.000,8381150.000,8381150.000,8381150.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,,,0.000,,,8381150.000,9131150.000,988115.000,8381150.000,8381150.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,,,,,,,0.100,0.100,0.100,0.100,0.100,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,,0.000,,,,,,,,,
