,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,489.000,,,,964.000,,,,-7.000,,,,0.000,,101.000,,,,24949.000
CostOfGoodsSold,,,,,,,,,,,,,,,,2020.000,,,
CurrentFederalTaxExpenseBenefit,,,,,0.000,,,,,,,,0.000,,,,,,
CurrentIncomeTaxExpenseBenefit,,,,,0.000,,,,,,,,,,,,,,
CurrentStateAndLocalTaxExpenseBenefit,,,,,0.000,,,,,,,,0.000,,,,,,
DebtConversionConvertedInstrumentSharesIssued1,,,,,,,,,,,,,,,1000000.000,,,,1000000.000
DeferredOtherTaxExpenseBenefit,,,,,0.000,,,,,,,,0.000,,,,,,
Depreciation,,,,,,,,,,,,,,,998.000,998.000,998.000,999.000,998.000
EarningsPerShareBasic,-0.000,-0.000,-0.040,-0.130,-0.030,-0.030,-0.010,0.010,-0.010,-0.010,-0.010,-0.010,-0.000,-0.030,,,,,
EarningsPerShareBasicAndDiluted,,,,,,,,,,,,,,,-0.001,-0.010,-0.000,-0.007,-0.003
ExtraordinaryItemsGross,,,,,,,,,,,,,,,,,,,15042.000
GeneralAndAdministrativeExpense,15846.000,2398.000,5544.000,7692.000,4872.000,5758.000,3430.000,2977.000,4439.000,5588.000,3335.000,2756.000,400.000,9534.000,,,,,
GrossProfit,,,,,,,,,,,,,,,,1760.000,,,
IncomeLossFromContinuingOperations,-15846.000,-2398.000,-5544.000,-7692.000,-4872.000,-5758.000,-3430.000,-2977.000,-4439.000,-5588.000,-3335.000,-2756.000,-400.000,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,,,,,,,,,,,,-9534.000,-36204.000,-273669.000,-75060.000,-102156.000,-76065.000
IncomeTaxExpenseBenefitContinuingOperations,,,,,0.000,,,,,,,,,,,,,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,,,,-1732.000,,,,-1512.000,,,,-161.000,,,,,,
IncomeTaxReconciliationOtherAdjustments,,,,,1900.000,,,,1659.000,,,,177.000,,,,,,
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,,,,-168.000,,,,-147.000,,,,-16.000,,,,,,
IncomeTaxesPaid,0.000,,,,0.000,,,,0.000,,,,0.000,,,,,,
IncreaseDecreaseInAccountsAndNotesReceivable,,,,,,,,,,,,,,,,,,,794.000
IncreaseDecreaseInAccountsPayable,,,,,836.000,,,,-340.000,,,,-1446.000,,-991.000,,,,-2500.000
IncreaseDecreaseInAccruedLiabilities,,,,,,,,,,,,,,,,,,,-15042.000
IncreaseDecreaseInDeposits,,,,,,,,,,,,,,,4880.000,,,,
IncreaseDecreaseInInterestPayableNet,144.000,,,,221.000,,,,10.000,,,,75.000,,,,,,
InterestExpense,144.000,62.000,146.000,176.000,221.000,242.000,0.000,1.000,10.000,46.000,47.000,76.000,75.000,99.000,,-5500.000,-3000.000,,-3000.000
InterestPaid,0.000,,,,0.000,,,,0.000,,,,0.000,,,,,,3000.000
InvestmentIncomeInterest,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,
LicenseCosts,,,,,,,,,,,,,,,,-154500.000,18750.000,,
NetCashProvidedByUsedInFinancingActivities,16335.000,,,,5000.000,,,,4772.000,,,,1846.000,,31417.000,,,,116763.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,16335.000,,,,5000.000,,,,4772.000,,,,1846.000,,31417.000,,,,116763.000
NetCashProvidedByUsedInOperatingActivities,-15846.000,,,,-4036.000,,,,-4779.000,,,,-1846.000,,-31316.000,,,,-91814.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-15846.000,,,,-4036.000,,,,-4779.000,,,,-1846.000,,-31316.000,,,,-91814.000
NetIncomeLoss,-15990.000,-2460.000,-5690.000,-7868.000,-5093.000,-6000.000,-3430.000,-2978.000,-4449.000,-5634.000,-3382.000,-2832.000,-475.000,-9633.000,-36204.000,-273669.000,-75060.000,-102156.000,-76065.000
OperatingExpenses,,,,,,,,,,,,,,,36204.000,115429.000,90810.000,131403.000,88106.000
OperatingIncomeLoss,,,,,,,,,,,,,,,-36204.000,-113669.000,-90810.000,-130420.000,-88106.000
OtherExpenses,15846.000,2398.000,5544.000,7692.000,4872.000,5758.000,3430.000,2977.000,4439.000,5588.000,3335.000,2756.000,400.000,9534.000,,,,,
OtherNoncashExpense,,,,,,,,,,,,,,,326900.000,,,,326900.000
