,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AccountsPayableCurrent,1704705.000,2808524.000,3472278.000,4220058.000,5009689.000,4499002.000,4423343.000,4299883.000,3940984.000
AccountsPayableRelatedPartiesCurrentAndNoncurrent,,,,3000000.000,3700000.000,4000000.000,3600000.000,3400000.000,2800000.000
AccountsReceivableNetCurrent,1043093.000,1307510.000,1943459.000,1569554.000,1653263.000,1415634.000,1991385.000,1834013.000,2656356.000
AccruedLiabilitiesCurrent,435978.000,574917.000,515830.000,472714.000,602402.000,960062.000,343480.000,365953.000,355076.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,2880136.000,3399135.000,3966113.000,4521641.000,5086995.000,5673554.000
AdditionalPaidInCapital,57024337.000,57733790.000,58042677.000,61275304.000,73804378.000,74094855.000,74649552.000,74938591.000,76729930.000
Assets,13255452.000,13957546.000,13999015.000,18771694.000,19989978.000,19711882.000,18552694.000,17977127.000,18716702.000
AssetsCurrent,7732118.000,7928953.000,6741297.000,10611547.000,11166804.000,10869437.000,10034391.000,9717552.000,10586095.000
CapitalizedComputerSoftwareGross,,,,1470899.000,1605049.000,,,,
CashAndCashEquivalentsAtCarryingValue,4957495.000,3668524.000,1492446.000,5845868.000,5454408.000,5177082.000,4346266.000,4996224.000,4941015.000
CommitmentsAndContingencies,,,0.000,,,,,,
CommonStockParOrStatedValuePerShare,0.330,0.330,3.300,0.330,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,34020255.000,34020255.000,34023255.000,36998489.000,36998489.000,37041170.000,37543448.000,37642008.000,38823487.000
CommonStockSharesOutstanding,34020255.000,34020255.000,34023255.000,36998489.000,36998489.000,37041170.000,37543448.000,37642008.000,38823487.000
CommonStockValue,11226684.000,11226684.000,11227674.000,12209501.000,3700.000,3705.000,3754.000,3764.000,3882.000
DeferredIncomeTaxLiabilities,,,,,,-1672297.000,,,
DeferredRevenue,,,,,,-460771.000,,,
DeferredRevenueAndCreditsNoncurrent,,,,,1085040.000,969395.000,793327.000,615446.000,462596.000
DeferredRevenueCurrent,330309.000,545027.000,1103173.000,1612594.000,821766.000,846395.000,822849.000,805715.000,803421.000
DeferredTaxAssetsGross,,,,,,5155555.000,,,
DeferredTaxAssetsInventory,,,,,,46680.000,,,
DeferredTaxAssetsInvestments,,,,,,265563.000,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,4000949.000,,,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,,,,10000000.000,,,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,,,,8000000.000,,,
DeferredTaxAssetsOther,,,,,,33275.000,,,
DeferredTaxLiabilitiesDeferredExpenseCapitalizedPatentCosts,,,,,,-852138.000,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,,,-820159.000,,,
DerivativeLiabilitiesCurrent,463838.000,0.000,,,,,,,
DerivativeLiabilityFairValueNet1,,,,,,0.000,,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,,,,1800000.000,1700000.000,1300000.000,,1400000.000,1300000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,,2545374.000,,,
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,,,,,,514497.000,,,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,,324941.000,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,,,324941.000,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,,,324941.000,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,,,,324941.000,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,,,,324941.000,,,
FiniteLivedIntangibleAssetsNet,2545377.000,2464142.000,2382907.000,2301671.000,2220436.000,2139202.000,2057967.000,1976732.000,1895497.000
FiniteLivedPatentsGross,,,,,,4684576.000,,,
FurnitureAndFixturesGross,,,,73680.000,85394.000,,,,
Goodwill,1832027.000,1832027.000,1832027.000,1832027.000,1832027.000,1832027.000,1832027.000,1832027.000,1832027.000
IncomeTaxExaminationPenaltiesAndInterestAccrued,,,,,,9000.000,,,
InventoryNet,1677100.000,2772117.000,3261290.000,3154518.000,3977381.000,3968436.000,3580689.000,2695880.000,2832187.000
InventoryValuationReserves,,,,,-168997.000,117184.000,,,
Liabilities,,3928468.000,,,7518897.000,7274854.000,6382999.000,6086997.000,5562077.000
LiabilitiesAndStockholdersEquity,13255452.000,13957546.000,13999015.000,18771694.000,19989978.000,19711882.000,18552694.000,17977127.000,18716702.000
LiabilitiesCurrent,2934830.000,3928468.000,5091281.000,6305366.000,6433857.000,6305459.000,5589672.000,5471551.000,5099481.000
OtherAccruedLiabilitiesCurrent,,,,,,244000.000,,,
OtherAssetsNoncurrent,34233.000,40463.000,37462.000,37462.000,37462.000,37462.000,37462.000,37462.000,14309.000
PreferredStockParOrStatedValuePerShare,,,,,1.000,1.000,1.000,1.000,1.000
PreferredStockSharesAuthorized,,,,,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000
PrepaidExpenseCurrent,54430.000,180802.000,44102.000,41607.000,81752.000,308285.000,116051.000,191435.000,156537.000
PropertyPlantAndEquipmentGross,,,,6869123.000,8132384.000,8799867.000,9112488.000,9500349.000,10062328.000
PropertyPlantAndEquipmentNet,1111697.000,1691961.000,3005322.000,3988987.000,4733249.000,4833754.000,4590847.000,4413354.000,4388774.000
