,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AccountsPayableCurrent,26053000.000,21338000.000,22580000.000,27142000.000,25766000.000,23431000.000,20044000.000,21206000.000,23766000.000,22259000.000
AccountsReceivableNetCurrent,63583000.000,58636000.000,54763000.000,62023000.000,54722000.000,56074000.000,49403000.000,54134000.000,56505000.000,56735000.000
AccrualForEnvironmentalLossContingencies,,,,,1700000.000,1700000.000,1600000.000,1600000.000,1400000.000,1400000.000
AccrualForEnvironmentalLossContingenciesUndiscountedDueWithinOneYear,,,,,,,100000.000,100000.000,100000.000,100000.000
AccruedEnvironmentalLossContingenciesCurrent,,,,,100000.000,,100000.000,,,
AccruedEnvironmentalLossContingenciesNoncurrent,,,,,,,1538000.000,,,
AccruedLiabilitiesCurrent,16589000.000,17504000.000,18747000.000,18845000.000,15874000.000,16086000.000,17359000.000,15806000.000,16378000.000,15915000.000
AccumulatedAmortizationDeferredFinanceCosts,,,,,,,6870000.000,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,137165000.000,,,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,,,210000.000,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,,,1159000.000,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,,,-1605000.000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,1753000.000,291000.000,-1266000.000,-712000.000,-1059000.000,-965000.000,-2554000.000,-2776000.000,-2696000.000,-2041000.000
AdditionalPaidInCapital,637887000.000,638211000.000,638445000.000,638655000.000,638798000.000,638981000.000,639610000.000,639825000.000,640010000.000,640503000.000
AllowanceForDoubtfulAccountsReceivableCurrent,2186000.000,1888000.000,1983000.000,2034000.000,2035000.000,1904000.000,2106000.000,1966000.000,2241000.000,2508000.000
Assets,1100973000.000,1092663000.000,1087422000.000,1090206000.000,1080695000.000,1072988000.000,1061172000.000,1000766000.000,993330000.000,996731000.000
AssetsCurrent,168523000.000,163929000.000,164064000.000,173642000.000,175313000.000,177854000.000,177347000.000,172813000.000,180930000.000,188044000.000
AssetsHeldForSaleLongLived,,,,,,,,,,900000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,1767000.000,0.000,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,,,,,,6019000.000,0.000,,,880000.000
AvailableForSaleSecuritiesFairValueDisclosure,,,,,1348.000,1098.000,210000.000,245000.000,,
CapitalLeaseObligations,,,,,31000.000,26000.000,,,,
CashAndCashEquivalentsAtCarryingValue,20955000.000,22892000.000,38858000.000,35149000.000,46970000.000,49587000.000,59902000.000,54652000.000,60486000.000,64577000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
CommonStockSharesIssued,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
CommonStockSharesOutstanding,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
CommonStockValue,,,,,,,0.000,0.000,0.000,0.000
DebtInstrumentCarryingAmount,,,,,,,715020000.000,715015000.000,715013000.000,715011000.000
DebtInstrumentUnamortizedDiscount,,,,,1883000.000,1801000.000,1715000.000,1626000.000,-1536000.000,-1444000.000
DeferredCompensationLiabilityClassifiedNoncurrent,,,,,,,1000000.000,,,
DeferredFinanceCostsNoncurrentNet,,,,,,,13269000.000,,,
DeferredIncomeTaxLiabilities,,,,,,,76957000.000,,,
DeferredTaxAssetsGross,,,,,,,137951000.000,,,
