,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,,,,,,,,,,,740000.000,,,,581000.000
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,,,4000.000,,,,,,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,,,,,,,,,,,,,,1000000.000,1100000.000,1100000.000,1000000.000,900000.000
AmortizationOfAboveAndBelowMarketLeases,,,,,,,,,,-1100000.000,-700000.000,,-1187000.000,-1300000.000,-2100000.000,-1255000.000,,-1100000.000,-900000.000,,
AmortizationOfFinancingCostsAndDiscounts,,,1933000.000,,1738000.000,,,,960000.000,,,,894000.000,,,,739000.000,,,,812000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,,,,,,,,,,37000.000
AssetImpairmentCharges,6527000.000,79629000.000,,8301000.000,,0.000,0.000,,8225000.000,0.000,0.000,-3285000.000,132000.000,0.000,0.000,0.000,4826000.000,0.000,4151000.000,0.000,0.000
AssetManagementCosts,5039000.000,4837000.000,4995000.000,436000.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareBasic,,,,,,,,,,,,,,,-0.280,,,,,,
BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,,,,,,,,,,,,,,,-16075000.000,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,,,,,,,,,-13668000.000,,,,,,
BusinessAcquisitionsProFormaRevenue,,,,,,,,,,,,,,,70058000.000,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,7645000.000,,30980000.000,,,,-26526000.000,,,,-25678000.000,,,,-6716000.000,,,,
CommonStockDividendsPerShareDeclared,,,,,,,,,,,,,,0.180,0.180,,0.180,0.180,0.180,0.180,0.180
CommonStockDividendsShares,,,,,5521002.000,,,,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTax,-41505000.000,-105262000.000,-28242000.000,-31735000.000,4223000.000,-19790000.000,6879000.000,25916000.000,-29614000.000,-17279000.000,-16355000.000,45018000.000,-10440000.000,4984000.000,-26722000.000,-3002000.000,-25579000.000,-11882000.000,1575000.000,9287000.000,100239000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,-72000.000,-151000.000,-41000.000,-104000.000,13000.000,-31000.000,429000.000,23000.000,-43000.000,-21000.000,-25000.000,76000.000,-18000.000,-11000.000,-76000.000,-29000.000,-24000.000,-11000.000,-1000.000,6000.000,58000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-41577000.000,-105413000.000,-28283000.000,-31839000.000,4236000.000,-19821000.000,7308000.000,25939000.000,-29657000.000,-17300000.000,-16380000.000,45094000.000,-10458000.000,4973000.000,-26798000.000,-3031000.000,-25603000.000,-11893000.000,1574000.000,9293000.000,100297000.000
CostsAndExpenses,168194000.000,233139000.000,147756000.000,148322000.000,129225000.000,126826000.000,111030000.000,71731000.000,113726000.000,103308000.000,103822000.000,26265000.000,90289000.000,99191000.000,85636000.000,84462000.000,87447000.000,79524000.000,68693000.000,61866000.000,62326000.000
DeconsolidationRevaluationOfRetainedInvestmentGainOrLossAmount,,,,,,,,,,,,,,,,,,,,,14168000.000
DeferredRevenueRevenueRecognized1,,,,,,,,,,,,,,,,,-1000000.000,-900000.000,600000.000,,600000.000
DepreciationAndAmortization,54843000.000,51832000.000,50688000.000,46694000.000,43165000.000,43405000.000,36861000.000,21423000.000,34622000.000,35120000.000,36012000.000,11216000.000,30022000.000,31081000.000,31446000.000,30182000.000,32044000.000,30797000.000,25133000.000,23856000.000,24529000.000
DepreciationAndAmortizationDiscontinuedOperations,,,,1686000.000,819000.000,383000.000,6878000.000,18185000.000,0.000,0.000,233000.000,25965000.000,0.000,0.000,0.000,,,,,,
DerivativeGainLossOnDerivativeNet,,,-3000.000,,-73000.000,,,,0.000,,,,,,,,,,,,-30000.000
DerivativeInstrumentsGainLossReclassificationFromAccumulatedOCIToIncomeEstimatedNetAmountToBeTransferred,,,,,1000000.000,,,,,,,,,,,,,,,,
DerivativeInstrumentsGainRecognizedInOtherComprehensiveIncomeEffectivePortion,,,,,,,,,,,,,,,,,,,,,2069000.000
DerivativeInstrumentsLossRecognizedInOtherComprehensiveIncomeEffectivePortion,,,,,,,,,,,,,,,,,,,,,0.000
