,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,3524000.000,6097000.000,6990000.000,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,121000.000,131000.000,146000.000,82000.000,106000.000,130000.000,152000.000,176000.000,199000.000
AdditionalPaidInCapitalCommonStock,87329000.000,87875000.000,88591000.000,89556000.000,90424000.000,91492000.000,97055000.000,113918000.000,115716000.000
Assets,67101000.000,65662000.000,60040000.000,53522000.000,46990000.000,37898000.000,36614000.000,45730000.000,37920000.000
AssetsCurrent,66970000.000,65479000.000,59859000.000,53306000.000,46795000.000,37727000.000,36508000.000,45648000.000,37845000.000
AvailableForSaleSecurities,,,,,,,,23346000.000,18400000.000
AvailableForSaleSecuritiesAmortizedCost,,,,,,,,23346000.000,18400000.000
CashAndCashEquivalentsAtCarryingValue,65291000.000,61164000.000,47152000.000,41373000.000,43265000.000,34020000.000,29648000.000,35710000.000,32221000.000
CashCashEquivalentsAndShortTermInvestments,,,,52200000.000,45500000.000,36200000.000,35100000.000,44400000.000,36700000.000
CashEquivalentsAtCarryingValue,65000000.000,,,,,,,,
CommonStockCapitalSharesReservedForFutureIssuance,,,,2521120.000,,,,3092244.000,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,12103421.000,12103421.000,12160933.000,12175942.000,12185242.000,12203886.000,13056253.000,16084721.000,16583607.000
CommonStockSharesOutstanding,12103421.000,12103421.000,12160933.000,12175942.000,12185242.000,12203886.000,13056253.000,16084721.000,16583607.000
CommonStockValue,12000.000,12000.000,12000.000,12000.000,12000.000,12000.000,13000.000,16000.000,17000.000
DebtInstrumentCarryingAmount,7903000.000,8000000.000,8000000.000,10000000.000,10000000.000,10000000.000,9000000.000,8000000.000,8000000.000
DebtInstrumentUnamortizedDiscountCurrent,,,,,,529000.000,464000.000,,457000.000
DebtInstrumentUnamortizedDiscountNoncurrent,,,,,,306000.000,214000.000,537000.000,453000.000
DeferredRevenueCurrent,4527000.000,4789000.000,4320000.000,3353000.000,2389000.000,2186000.000,1749000.000,1259000.000,871000.000
DeferredRevenueNoncurrent,1570000.000,400000.000,,,,,,,
DeferredTaxAssetsDeferredIncome,,,,1140000.000,,,,441000.000,
DeferredTaxAssetsGross,,,,18635000.000,,,,30169000.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,,14950000.000,,,,24484000.000,
DeferredTaxAssetsOther,,,,818000.000,,,,1753000.000,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,121000.000,,,,229000.000,
DeferredTaxAssetsTaxCreditCarryforwardsResearch,,,,1606000.000,,,,3262000.000,
DeferredTaxAssetsValuationAllowance,,,,18635000.000,,,,30169000.000,
EmployeeRelatedLiabilitiesCurrent,,,,1163000.000,785000.000,979000.000,1188000.000,1588000.000,932000.000
LettersOfCreditOutstandingAmount,,,,,,,,175000000.000,
LiabilitiesAndStockholdersEquity,67101000.000,65662000.000,60040000.000,53522000.000,46990000.000,37898000.000,36614000.000,45730000.000,37920000.000
LiabilitiesCurrent,12800000.000,10886000.000,11631000.000,14175000.000,14198000.000,13236000.000,13170000.000,10243000.000,7848000.000
LongTermDebtCurrent,4749000.000,,321000.000,1378000.000,2417000.000,3471000.000,3536000.000,333000.000,343000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,,,2622000.000,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,,,,4993000.000,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,,,4406000.000,,,,,
LongTermDebtNoncurrent,3043000.000,6812000.000,6601000.000,7464000.000,6586000.000,5694000.000,4786000.000,7130000.000,6747000.000
OperatingLeasesFutureMinimumPaymentsDue,,,,575000.000,,,,2074000.000,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,429000.000,,,,343000.000,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,,461000.000,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,,442000.000,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,,423000.000,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,146000.000,,,,405000.000,
OtherAccruedLiabilitiesNoncurrent,522000.000,773000.000,748000.000,905000.000,886000.000,,,,
OtherAssetsNoncurrent,40000.000,40000.000,40000.000,43000.000,43000.000,43000.000,,,
OtherLiabilitiesNoncurrent,,,,,,877000.000,874000.000,21000.000,337000.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseAndOtherAssetsCurrent,1679000.000,4315000.000,2204000.000,1150000.000,1305000.000,1570000.000,1395000.000,1235000.000,1126000.000
PropertyPlantAndEquipmentGross,212000.000,274000.000,287000.000,255000.000,258000.000,258000.000,258000.000,258000.000,274000.000
PropertyPlantAndEquipmentNet,91000.000,143000.000,141000.000,173000.000,152000.000,128000.000,106000.000,82000.000,75000.000
RetainedEarningsAccumulatedDeficit,-38175000.000,-41096000.000,-47543000.000,-58590000.000,-65116000.000,-73413000.000,-79284000.000,-85598000.000,-92745000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,,,,,,,,2023478.000,
ShortTermInvestments,,,10503000.000,10783000.000,2225000.000,2137000.000,5465000.000,8703000.000,4498000.000
StockholdersEquity,49166000.000,46791000.000,41060000.000,30978000.000,25320000.000,18091000.000,17784000.000,28336000.000,22988000.000
TemporaryEquityLiquidationPreference,0.000,0.000,0.000,0.000,,,,,
TemporaryEquityParOrStatedValuePerShare,,,0.001,,,,,,
TemporaryEquitySharesAuthorized,0.000,0.000,0.000,0.000,,,,,
TemporaryEquitySharesIssued,0.000,0.000,0.000,0.000,,,,,
TemporaryEquitySharesOutstanding,0.000,0.000,0.000,0.000,,,,,
UnrecognizedTaxBenefits,,,,1822000.000,,,,4177000.000,
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,,,,0.000,,,,0.000,
