,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2014-03-31,2014-12-31,2015-12-31,2016-09-30,2016-12-31
AccountsPayableCurrent,820182.000,820182.000,820182.000,820182.000,820182.000,820182.000,820182.000,820182.000,820182.000,820182.000,822182.000,,,1633811.000
AccountsPayableCurrentAndNoncurrent,,,,,,,,,,,,844542.000,22360.000,
AccountsPayableInterestBearingInterestRate,,,,,,,,,,,,,,0.052
AccountsReceivableBilledForLongTermContractsOrPrograms,,,,,,,,,,,,,,129732.000
AccountsReceivableNetCurrent,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,112929.000
AccruedLiabilitiesCurrent,1649310.000,1713145.000,1773980.000,1834817.000,1895641.000,2054894.000,2106791.000,,,2166037.000,15486885.000,,,3044640.000
AccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,,,,,2866180.000,566040.000,
AccruedLiabilitiesFairValueDisclosure,,,,,,,,,,2241751.000,,,,
AccruedProfessionalFeesCurrent,,,,,,,,,,,765379.000,,,
AccruedProfessionalFeesCurrentAndNoncurrent,,,,,,,,,,,,765379.000,,
AccruedRoyalties,,,,,11589.000,11589.000,11589.000,,,,,,,
AccruedRoyaltiesCurrent,,,,,,,,,,,144303.000,,,
AccruedSalesCommission,,,,,71033.000,71033.000,71033.000,,,,,,,
AccruedSalesCommissionCurrent,,,,,,,,,,,71033.000,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,-445.000,,,,,,,,,2510892.000
AdditionalPaidInCapital,6595917.000,6876820.000,7756280.000,7806555.000,4360064.000,4457367.000,4457367.000,4470061.000,4516992.000,4699490.000,5890933.000,7743891.000,7850291.000,14445510.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,4000.000
Assets,3901853.000,3942606.000,3977593.000,4011652.000,940.000,0.000,7117.000,11.000,9810.000,0.000,4.000,338.000,17102.000,3846445.000
AssetsCurrent,3901154.000,3941957.000,3976994.000,4011103.000,441.000,0.000,7117.000,11.000,9810.000,0.000,,,,391658.000
BillingsInExcessOfCost,,,,,,,,,,,,,,-32957.000
BusinessAcquisitionPercentageOfVotingInterestsAcquired,,,,,,,,,,,0.800,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,,,,,,,,,,,,,,2225000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssets,,,,,,,,,,,,,,576000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilities,,,,,,,,,,,,,,1544000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesOther,,,,,,,,,,,,,,326000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,,,,,,,,,,,,,,441000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedLessNoncontrollingInterest,,,,,,,,,,,,,,2538000.000
Cash,,,,,,0.000,7117.000,11.000,9810.000,,,,,
CashAndCashEquivalentsAtCarryingValue,29279.000,26332.000,17619.000,7978.000,441.000,26332.000,0.000,,,,4.000,41.000,7102.000,122921.000
CommitmentsAndContingencies,0.000,,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000,5000000000.000,5000000000.000,5000000000.000,5000000000.000
