,2016-09-30,2017-03-31
AllocatedShareBasedCompensationExpense,251000.000,1018000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,15942202.000,3115000.000
Depreciation,,300000.000
DepreciationDepletionAndAmortization,300000.000,346000.000
EarningsPerShareBasicAndDiluted,-14.220,-0.500
GeneralAndAdministrativeExpense,1042000.000,2469000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-2000000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,-14000.000
LeaseAndRentalExpense,200000.000,
NetCashProvidedByUsedInContinuingOperations,,-12439000.000
NetCashProvidedByUsedInFinancingActivities,,41000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,41000.000
NetCashProvidedByUsedInInvestingActivities,,-479000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-479000.000
NetCashProvidedByUsedInOperatingActivities,,-12001000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-12001000.000
NetIncomeLoss,-8114000.000,-11360000.000
NetIncomeLossAvailableToCommonStockholdersBasic,-8114000.000,
NonoperatingIncomeExpense,7000.000,
OperatingExpenses,8121000.000,11481000.000
OperatingIncomeLoss,-8121000.000,-11481000.000
OtherNonoperatingIncomeExpense,7000.000,121000.000
PaymentsToAcquirePropertyPlantAndEquipment,,479000.000
ProceedsFromStockOptionsExercised,,41000.000
ResearchAndDevelopmentExpense,7079000.000,9012000.000
ShareBasedCompensation,,1018000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,1100000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,11.290
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,570558.000,22549000.000
