,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,13154.000,4056.000,3956.000,4956.000,13956.000,6356.000,3106.000,3207.000,12306.000,4605.000,3206.000,3206.000,12706.000,3206.000,3207.000,3206.000,3206.000,5206.000,4206.000,0.000,0.000,674670.000
AccountsPayableCurrent,,,,,,,,,,,,,,,,,,,,,,579058.000
AccountsReceivableNetCurrent,,,,,,,,,,,,,,,,,,,,,,5815491.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,,,,,,,,,,,-4387.000,763.000,-6696.000
AdditionalPaidInCapital,,,,,,,,,,,,,,,,,,,,,8221556.000,20327248.000
AdditionalPaidInCapitalCommonStock,3198255.000,3198255.000,3198255.000,3198255.000,3198255.000,3198255.000,3198255.000,3198255.000,3198255.000,3198255.000,3198255.000,3198255.000,3198255.000,3198255.000,3198255.000,3198255.000,3198255.000,3198255.000,3198255.000,8207402.000,,
Assets,7180.000,1832.000,1757.000,7857.000,4457.000,4157.000,6809.000,1972.000,163.000,1763.000,2803.000,489.000,1489.000,1040.000,590.000,3951.000,1495.000,1356.000,351.000,4709090.000,4712877.000,23655123.000
AssetsCurrent,,,,,,,,,,,,,,,,,,,,,4712877.000,14471686.000
BillingsInExcessOfCostCurrent,,,,,,,,,,,,,,,,,,,,,,176089.000
Cash,7180.000,1832.000,1757.000,7857.000,4457.000,4157.000,6809.000,1972.000,163.000,1763.000,2803.000,489.000,1489.000,1040.000,590.000,3951.000,1495.000,1356.000,351.000,3781361.000,2525988.000,4293258.000
CashAndCashEquivalentsAtCarryingValue,,,,,,,,,,,,,,,,,,,,,2525988.000,4293258.000
CashFDICInsuredAmount,,,,,,,,,,,,,,,,,,,,250000.000,,
CommitmentsAndContingencies,0.000,,0.000,,0.000,,,,,0.000,,,0.000,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,50000000.000,50000000.000,3000000.000
CommonStockSharesIssued,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,379702.000,380205.000,1274603.000
CommonStockSharesOutstanding,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,9261017.000,379702.000,380205.000,1274603.000
CommonStockValue,93.000,93.000,93.000,93.000,93.000,93.000,93.000,93.000,93.000,93.000,93.000,93.000,93.000,93.000,93.000,93.000,93.000,93.000,93.000,4.000,4.000,13.000
CostsInExcessOfBillingsOnUncompletedContractsOrProgramsExpectedToBeCollectedWithinOneYear,,,,,,,,,,,,,,,,,,,,,,1265289.000
DeferredTaxAssetsGross,,,,,,,,,,,,,,,,,,,,,453892.000,
DeferredTaxAssetsLiabilitiesNet,,,,,,,,,,,,,,,,,,,,,0.000,
DeferredTaxAssetsNet,,,,,,,,,,,,,,,,,0.000,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,,,,,,,,,,,,,,453892.000,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,,,,,,,,,,,,,,,434930.000,,,,,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,,,,,,,,,,,,,,,70356.000,,,,,
DeferredTaxAssetsValuationAllowance,,,,,,,,,,,,,,,,,505286.000,,,,453892.000,
DueToRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,0.000
Goodwill,,,,,,,,,,,,,,,,,,,,,,3013287.000
IntangibleAssetsNetExcludingGoodwill,,,,,,,,,,,,,,,,,,,,,,5629166.000
InventoryNet,,,,,,,,,,,,,,,,,,,,,,1433704.000
Liabilities,,,,,,,,,,,,,,,,,,248208.000,255866.000,0.000,0.000,7563216.000
LiabilitiesAndStockholdersEquity,7180.000,1832.000,1757.000,7857.000,4457.000,4157.000,6809.000,1972.000,163.000,1763.000,2803.000,489.000,1489.000,1040.000,590.000,3951.000,1495.000,1356.000,351.000,4709090.000,4712877.000,23655123.000
LiabilitiesCurrent,79695.000,82271.000,91014.000,109172.000,120459.000,125298.000,134728.000,137619.000,154560.000,162016.000,173858.000,177291.000,198374.000,205606.000,216070.000,228652.000,238140.000,,,,0.000,4834121.000
LinesOfCreditCurrent,,,,,,,,,,,,,,,,,,,,,,3389956.000
LongTermLoansPayable,,,,,,,,,,,,,,,,,,,,,,2500000.000
MinorityInterest,,,,,,,,,,,,,,,,,,,,,,93514.000
NotesPayableRelatedPartiesClassifiedCurrent,66541.000,78215.000,87058.000,104216.000,106503.000,118942.000,131622.000,134412.000,142254.000,157411.000,170652.000,174085.000,185668.000,202400.000,212863.000,225446.000,234934.000,243002.000,251660.000,0.000,0.000,
OperatingLossCarryforwards,,,,,1159000.000,,,,1197000.000,,,,1239000.000,,,,1279207.000,,,,1291000.000,
OperatingLossCarryforwardsValuationAllowance,,,,,463000.000,,,,479000.000,,,,496000.000,,,,505286.000,,,,,
OtherAssetsNoncurrent,,,,,,,,,,,,,,,,,,,,,,96667.000
PreferredStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
PreferredStockSharesAuthorized,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,50000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseAndOtherAssetsCurrent,,,,,,,,,,,,,,,,,,,,,,232990.000
PropertyPlantAndEquipmentNet,,,,,,,,,,,,,,,,,,,,,,444317.000
RetainedEarningsAccumulatedDeficit,-3270863.000,-3278787.000,-3287605.000,-3299663.000,-3314350.000,3319489.000,3326267.000,-3333995.000,-3352745.000,-3358601.000,-3369403.000,-3375150.000,-3395233.000,-3402914.000,-3413828.000,-3423049.000,-3434993.000,-3445200.000,-3453863.000,-3493929.000,-3509446.000,-4322172.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,,,,,,,,,,,,,,,,,1100000.000,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,,,,,,,,,,,,,,,,,,,,3693.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,,,,,,,,,,,,,,,,,,,,,16.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,,,,,,,,,,,,,,,,,,,,,21298.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,,,,,,,,,,,,,,,,,,,42596.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,,,,,,,,,,,,,,,,,,,16.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue,,,,,,,,,,,,,,,,,,,,,19452.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,,,,,,,,,,,,,,,,,,,,,38903.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,,,,,,,,,,,,,,,,,,,,,16.000,
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,,,,,,,,,,,,,,,,,,,,,1846.000,
ShortTermInvestments,,,,,,,,,,,,,,,,,,,,927729.000,2186889.000,1430954.000
StockholdersEquity,-72515.000,-80439.000,-89257.000,-101315.000,-116002.000,-121141.000,-127919.000,-135647.000,-154397.000,-160253.000,-171055.000,-176802.000,-196885.000,-204566.000,-215480.000,-224701.000,-236645.000,-246852.000,-255515.000,4709090.000,4712877.000,15998393.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,,,,-246852.000,-255515.000,4709090.000,4712877.000,16091907.000
SubordinatedDebtCurrent,,,,,,,,,,,,,,,,,,,,,,14348.000
SubordinatedLongTermDebt,,,,,,,,,,,,,,,,,,,,,,229095.000
